n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
45,37993493,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
46,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
47,38020274,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes.,n/a,False,,
48,38140649,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
49,40431742,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
50,40490983,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
51,40573423,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
52,40857111,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
53,41012586,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
54,41056006,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
55,41129268,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,n/a,False,,
56,31988104,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
57,36738248,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
58,37872202,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
59,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
60,37946329,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
61,37973713,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
62,37976080,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,n/a,False,,
63,31988104,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,K03455,n/a,False,,
64,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,27,n/a,False,,
65,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,0,n/a,True,,
66,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,0,n/a,False,,
67,36597160,5,Number,How many individuals had samples obtained for HIV sequencing?,6,382,n/a,False,,
68,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,n/a,True,,
69,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,0,n/a,True,,
70,37052343,5,Number,How many individuals had samples obtained for HIV sequencing?,0,4310,n/a,False,,
71,37071019,5,Number,How many individuals had samples obtained for HIV sequencing?,0,3,n/a,False,,
72,37520425,5,Number,How many individuals had samples obtained for HIV sequencing?,25 or 30,14,n/a,False,,
73,37541705,5,Number,How many individuals had samples obtained for HIV sequencing?,0,57,n/a,False,,
74,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,554,n/a,True,,
75,37938856,5,Number,How many individuals had samples obtained for HIV sequencing?,820 or 46,48,n/a,False,,
76,37993493,5,Number,How many individuals had samples obtained for HIV sequencing?,33,600,n/a,False,,
77,38090027,5,Number,How many individuals had samples obtained for HIV sequencing?,5,0,n/a,False,,
78,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,234,n/a,True,,
79,40431742,5,Number,How many individuals had samples obtained for HIV sequencing?,1677,1667,n/a,False,,
80,40596906,5,Number,How many individuals had samples obtained for HIV sequencing?,30,15,n/a,False,,
81,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),208,n/a,True,,
82,40872801,5,Number,How many individuals had samples obtained for HIV sequencing?,0 (Review paper),9685,n/a,False,,
83,40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,24,n/a,True,,
84,40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,241,n/a,False,,
85,41004608,5,Number,How many individuals had samples obtained for HIV sequencing?,1182,267,n/a,False,,
86,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,Not reported,n/a,True,,
87,41093949,5,Number,How many individuals had samples obtained for HIV sequencing?,0,10605,n/a,False,,
88,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,55,n/a,True,,
89,33855437,6,List,From which countries were the sequenced samples obtained?,"Canada, Ethiopia",Ethiopia,n/a,False,,
90,35730213,6,List,From which countries were the sequenced samples obtained?,Not reported,Lesotho,n/a,False,,
91,36519389,6,List,From which countries were the sequenced samples obtained?,Not reported,"South Africa, Zimbabwe, Malawi, Mozambique",n/a,False,,
92,37104815,6,List,From which countries were the sequenced samples obtained?,France,Sub-Saharan Africa,n/a,False,,
93,37340869,6,List,From which countries were the sequenced samples obtained?,Not reported,Russia,n/a,False,,
94,37358226,6,List,From which countries were the sequenced samples obtained?,Not reported,Lesotho,n/a,False,,
95,37540331,6,List,From which countries were the sequenced samples obtained?,Not reported,Iran,n/a,False,,
96,37632071,6,List,From which countries were the sequenced samples obtained?,Not reported,Italy,n/a,False,,
97,37649807,6,List,From which countries were the sequenced samples obtained?,Not reported,Kenya,n/a,False,,
98,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe",Not reported,n/a,False,,
99,37872202,6,List,From which countries were the sequenced samples obtained?,Not reported,Thailand,n/a,False,,
100,37910452,6,List,From which countries were the sequenced samples obtained?,Not reported,Ghana,n/a,False,,
101,37966701,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,n/a,False,,
102,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland","Ukraine, Belarus, Georgia, Kazakhstan",n/a,False,,
103,38022124,6,List,From which countries were the sequenced samples obtained?,Not reported,Turkey,n/a,False,,
104,38031075,6,List,From which countries were the sequenced samples obtained?,Not reported,Sierra Leone,n/a,False,,
105,38033131,6,List,From which countries were the sequenced samples obtained?,Not reported,Ethiopia,n/a,False,,
106,38090027,6,List,From which countries were the sequenced samples obtained?,Italy,Not reported,n/a,False,,
107,38142692,6,List,From which countries were the sequenced samples obtained?,Not reported,South Africa,n/a,False,,
108,40965168,6,List,From which countries were the sequenced samples obtained?,Not applicable.,United States,n/a,False,,
109,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),"USA, Dominican Republic",n/a,True,,
110,41093949,6,List,From which countries were the sequenced samples obtained?,Not applicable.,"China, United States",n/a,False,,
111,35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,Not applicable,n/a,False,,
112,36519389,7,List,From what years were the sequenced samples obtained?,Not reported,2022,n/a,False,,
113,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2021,n/a,True,,
114,36931676,7,List,From what years were the sequenced samples obtained?,Not reported,2003–2022,n/a,False,,
115,37052343,7,List,From what years were the sequenced samples obtained?,Not reported,2014–2020,n/a,False,,
116,37649807,7,List,From what years were the sequenced samples obtained?,Not reported,2015–2021,n/a,False,,
117,37910452,7,List,From what years were the sequenced samples obtained?,Not reported,2013–2022,n/a,False,,
118,37966701,7,List,From what years were the sequenced samples obtained?,Not reported,2021–2022,n/a,False,,
119,38022124,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2022,n/a,False,,
120,38031075,7,List,From what years were the sequenced samples obtained?,Not reported,2022–2023,n/a,False,,
121,38033131,7,List,From what years were the sequenced samples obtained?,Not reported,2015–2019,n/a,False,,
122,38090027,7,List,From what years were the sequenced samples obtained?,2019-2020,Not reported,n/a,False,,
123,38142692,7,List,From what years were the sequenced samples obtained?,Not reported,2019–2020,n/a,False,,
124,40431710,7,List,From what years were the sequenced samples obtained?,2006-2024,1994–2023,n/a,False,,
125,40596906,7,List,From what years were the sequenced samples obtained?,2007-2022,2021–2023,n/a,False,,
126,41056006,7,List,From what years were the sequenced samples obtained?,Not provided,2019–2020,n/a,False,,
127,41093949,7,List,From what years were the sequenced samples obtained?,Not applicable.,1978–2023,n/a,False,,
128,41140464,7,List,From what years were the sequenced samples obtained?,Not available (deposited 2015-2025),2015–2025,n/a,False,,
129,19104010,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,n/a,False,,
130,25637519,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,n/a,False,,
131,26559830,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,n/a,False,,
132,30053052,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,n/a,False,,
133,34516245,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not reported,n/a,False,,
134,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,n/a,True,,
135,38140649,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,n/a,False,,
136,40938996,8,Boolean,Were samples cloned prior to sequencing?,Yes  ,No,n/a,False,,
137,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,n/a,True,,
138,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),No,n/a,True,,
139,21115794,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,n/a,False,,
140,23749954,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,n/a,False,,
141,24227862,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,n/a,False,,
142,26246578,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,n/a,False,,
143,27124362,9,List,Which HIV genes were reported to have been sequenced?,Not reported,RT,n/a,False,,
144,32601157,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,n/a,False,,
145,35913500,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not applicable,n/a,False,,
146,35945163,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",None,n/a,False,,
147,36571282,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",IN,n/a,False,,
148,36645792,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,n/a,False,,
149,36659824,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,n/a,False,,
150,36660819,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,n/a,False,,
151,36706364,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,n/a,False,,
152,36931676,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,n/a,False,,
153,36967989,9,List,Which HIV genes were reported to have been sequenced?,PR,None,n/a,False,,
154,37029656,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,n/a,False,,
155,37039023,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",n/a,False,,
156,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,n/a,True,,
157,37272233,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN","NRTI, NNRTI, PI, INSTI",n/a,False,,
158,37340869,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,n/a,False,,
159,37498738,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"Gag, Pol, Env",n/a,False,,
160,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,n/a,True,,
161,37554471,9,List,Which HIV genes were reported to have been sequenced?,RT,None,n/a,False,,
162,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,n/a,True,,
163,37914679,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",Not reported,n/a,False,,
164,37938856,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",RT,n/a,False,,
165,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","Pol, Env",n/a,False,,
166,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",n/a,True,,
167,38020274,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",Not reported.,n/a,False,,
168,38058846,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",Not reported,n/a,False,,
169,38090027,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,n/a,False,,
170,38314093,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT",RT,n/a,False,,
171,38427738,9,List,Which HIV genes were reported to have been sequenced?,"Gag, Pol, Env, Nef, vpu","Pol, Env",n/a,False,,
172,40400229,9,List,Which HIV genes were reported to have been sequenced?,"RT,IN",Not reported,n/a,False,,
173,40779404,9,List,Which HIV genes were reported to have been sequenced?,"RT,PR,IN",RT,n/a,False,,
174,40938996,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN, NC, Env","NC, IN",n/a,False,,
175,40965168,9,List,Which HIV genes were reported to have been sequenced?,CA,PR,n/a,False,,
176,41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"Env, NC",n/a,True,,
177,41012586,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN (presumably)",Not reported,n/a,False,,
178,41056006,9,List,Which HIV genes were reported to have been sequenced?,CA,Not reported,n/a,False,,
179,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"Pol, Env",n/a,True,,
180,41091504,9,List,Which HIV genes were reported to have been sequenced?,PR,Not reported,n/a,False,,
181,41129268,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR, IN","NRTI, NNRTI, PI, INSTI",n/a,False,,
182,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,n/a,True,,
183,36571282,10,List,What method was used for sequencing?,"Sanger sequencing, NGS",NGS,n/a,False,,
184,37017009,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,n/a,False,,
185,37071019,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,n/a,False,,
186,37104815,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,n/a,False,,
187,37147875,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,n/a,False,,
188,37381002,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",Sanger sequencing,n/a,False,,
189,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,n/a,False,,
190,37914679,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,n/a,False,,
191,38314093,10,List,What method was used for sequencing?,NGS,Not reported,n/a,False,,
192,40596906,10,List,What method was used for sequencing?,Sanger,Not reported,n/a,False,,
193,40938996,10,List,What method was used for sequencing?,"Sanger, NGS",Not reported,n/a,False,,
194,40965168,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,n/a,False,,
195,40974886,10,List,What method was used for sequencing?,NGS,Not reported,n/a,False,,
196,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,n/a,True,,
197,19104010,11,List,What type of samples were sequenced?,Not reported,PBMC,n/a,False,,
198,33855437,11,List,What type of samples were sequenced?,Not reported,PBMC,n/a,False,,
199,34516245,11,List,What type of samples were sequenced?,Not reported,Supernatants,n/a,False,,
200,35945163,11,List,What type of samples were sequenced?,Plasma,Not applicable,n/a,False,,
201,36571282,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
202,36694270,11,List,What type of samples were sequenced?,"Plasma, CSF",Not reported,n/a,False,,
203,36706364,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
204,37039023,11,List,What type of samples were sequenced?,PBMC,Whole blood,n/a,False,,
205,37052343,11,List,What type of samples were sequenced?,Not reported,Plasma,n/a,False,,
206,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen",Plasma,n/a,True,,
207,37279764,11,List,What type of samples were sequenced?,Not reported,Blood,n/a,False,,
208,37376649,11,List,What type of samples were sequenced?,PBMC,Whole blood,n/a,False,,
209,37439411,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
210,37593123,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,True,,
211,37823653,11,List,What type of samples were sequenced?,PBMC,Not reported,n/a,False,,
212,37938856,11,List,What type of samples were sequenced?,Not reported,Plasma,n/a,False,,
213,37957382,11,List,What type of samples were sequenced?,"Plasma, PBMC",Plasma,n/a,False,,
214,38058846,11,List,What type of samples were sequenced?,Not reported,Plasma,n/a,True,,
215,38072961,11,List,What type of samples were sequenced?,"CSF, Plasma",CSF,n/a,False,,
216,38090027,11,List,What type of samples were sequenced?,"Plasma, PBMC",Not reported,n/a,False,,
217,38314093,11,List,What type of samples were sequenced?,Serum,Blood,n/a,False,,
218,40400229,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
219,40596906,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
220,40779404,11,List,What type of samples were sequenced?,PBMC,Not reported,n/a,False,,
221,40857111,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
222,40938996,11,List,What type of samples were sequenced?,None,PBMC,n/a,False,,
223,40965168,11,List,What type of samples were sequenced?,Not applicable,Plasma,n/a,True,,
224,40974886,11,List,What type of samples were sequenced?,PBMC (Whole blood OK),Whole blood,n/a,False,,
225,41004608,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
226,41012586,11,List,What type of samples were sequenced?,Plasma (presumably),Not reported,n/a,True,,
227,41056006,11,List,What type of samples were sequenced?,Plasma,Not reported,n/a,False,,
228,41057785,11,List,What type of samples were sequenced?,Plasma (not stated),Not reported,n/a,False,,
229,41093949,11,List,What type of samples were sequenced?,None,PBMC,n/a,False,,
230,35913500,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
231,35945163,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
232,36660819,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,n/a,False,,
233,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,True,,
234,36931676,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,n/a,False,,
235,37071019,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
236,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
237,38140667,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
238,40400229,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes (PrEP),No,n/a,False,,
239,40938996,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
240,40974886,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,n/a,False,,
241,41056006,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
242,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,True,,
243,35730213,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,n/a,False,,
244,36415058,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,n/a,False,,
245,37071019,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,n/a,False,,
246,37823653,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,n/a,False,,
247,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,n/a,True,,
248,40965168,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,n/a,True,,
249,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,n/a,True,,
250,35913500,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
251,35945163,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
252,36415058,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
253,36659824,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
254,37071019,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
255,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,True,,
256,37376649,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
257,37498738,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
258,37520425,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
259,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,Unknown,n/a,False,,
260,37976185,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
261,38140667,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
262,40400229,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
263,40857111,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
264,40938996,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
265,41056006,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
266,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,True,,
267,30053052,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",n/a,False,,
268,35945163,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"INSTI, NNRTI",None,n/a,False,,
269,36519389,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",n/a,False,,
270,36659824,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,n/a,False,,
271,36660819,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",Not reported,n/a,False,,
272,36694270,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, NNRTI, INSTI",NRTIs,n/a,False,,
273,36851704,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,n/a,False,,
274,36931676,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,n/a,False,,
275,36961945,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,n/a,False,,
276,37071019,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,INSTIs,n/a,False,,
277,37340869,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",Not reported,n/a,False,,
278,37358226,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs",n/a,False,,
279,37376649,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,n/a,False,,
280,37495103,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI","NRTI, NNRTI",n/a,False,,
281,37498738,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",Not reported,n/a,False,,
282,37520425,15,List,Which drug classes were received by individuals in the study before sample sequencing?,INSTI,None,n/a,False,,
283,37540331,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs",n/a,False,,
284,37541705,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI","NRTIs, PIs",n/a,False,,
285,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs, PIs, INSTIs",n/a,False,,
286,37574435,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI","NRTI, NNRTI",n/a,False,,
287,37649807,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs, INSTIs",n/a,False,,
