n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
26,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,14,NO,True,,
27,36851760,5,Number,How many individuals had samples obtained for HIV sequencing?,107,75,NO,False,,
28,37439411,5,Number,How many individuals had samples obtained for HIV sequencing?,9387,15369,yes,False,,
29,37520425,5,Number,How many individuals had samples obtained for HIV sequencing?,25 or 30,16,yes,False,,
30,37593123,5,Number,How many individuals had samples obtained for HIV sequencing?,57902,0,NO,False,,
31,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,110,NO,True,,
32,37880705,5,Number,How many individuals had samples obtained for HIV sequencing?,1070,0,NO,False,,
33,38020274,5,Number,How many individuals had samples obtained for HIV sequencing?,311,Not reported,yes,False,,
34,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,234,yes,True,,
35,40431742,5,Number,How many individuals had samples obtained for HIV sequencing?,1677,1667,NO,False,,
36,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),241,NO,True,,
37,40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,"1,260",yes,False,,
38,40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,24,yes,True,,
39,40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,241,NO,False,,
40,41004608,5,Number,How many individuals had samples obtained for HIV sequencing?,1182,1106,yes,False,,
41,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,182,yes,True,,
42,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,77,NO,True,,
43,27009474,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,NO,False,,
44,29373677,6,List,From which countries were the sequenced samples obtained?,Not reported,France,NO,False,,
45,35913500,6,List,From which countries were the sequenced samples obtained?,Not Reported,United States,yes,False,,
46,36961945,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,NO,False,,
47,37541705,6,List,From which countries were the sequenced samples obtained?,"Botswana, South Africa, Thailand, and the U.S.",Not applicable,yes,False,,
48,37554471,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,yes,False,,
49,37593123,6,List,From which countries were the sequenced samples obtained?,China,Not applicable,yes,False,,
50,37701387,6,List,From which countries were the sequenced samples obtained?,Italy,Not applicable,NO,False,,
51,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe","Not reported (multi-country study; only regions of enrollment given: Africa, Asia, Australia, Europe, South America, USA)",NO,False,,
52,37880705,6,List,From which countries were the sequenced samples obtained?,Ethiopia,Not applicable,NO,False,,
53,37957382,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,yes,False,,
54,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland",Poland,NO,False,,
55,38152686,6,List,From which countries were the sequenced samples obtained?,Not reported,Brazil,yes,False,,
56,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),"USA, Dominican Republic",NO,True,,
57,41140464,6,List,From which countries were the sequenced samples obtained?,Tanzania,Not applicable,NO,False,,
58,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2021,yes,True,,
59,36738248,7,List,From what years were the sequenced samples obtained?,Not reported,2002–2008,NO,False,,
60,37520425,7,List,From what years were the sequenced samples obtained?,"2016-2017, 2019-2020",2019–2021,yes,False,,
61,37541705,7,List,From what years were the sequenced samples obtained?,2020-2021,Not applicable,yes,False,,
62,37593123,7,List,From what years were the sequenced samples obtained?,2004-2022,Not applicable,yes,False,,
63,37701387,7,List,From what years were the sequenced samples obtained?,2020-2021,Not applicable,NO,False,,
64,37880705,7,List,From what years were the sequenced samples obtained?,2003-2018,Not applicable,NO,False,,
65,41056006,7,List,From what years were the sequenced samples obtained?,Not provided,2019–2020,yes,False,,
66,29373677,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,NO,False,,
67,30053052,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,NO,False,,
68,31988104,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,NO,False,,
69,34516245,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,False,,
70,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,True,,
71,40938996,8,Boolean,Were samples cloned prior to sequencing?,Yes  ,Not applicable,NO,False,,
72,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,True,,
73,41093949,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,False,,
74,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),Not applicable,yes,True,,
75,26311878,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,NO,False,,
76,27124362,9,List,Which HIV genes were reported to have been sequenced?,Not reported,RT,NO,False,,
77,28559249,9,List,Which HIV genes were reported to have been sequenced?,RT,None,NO,False,,
78,30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,yes,False,,
79,37039023,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",yes,False,,
80,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,NO,True,,
81,37498738,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",NO,False,,
82,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,Not applicable,NO,True,,
83,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,yes,True,,
84,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","Pol, PR, RT, IN, CA, Env",yes,False,,
85,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",yes,True,,
86,38427738,9,List,Which HIV genes were reported to have been sequenced?,"Gag, Pol, Env, Nef, vpu","Pol, CA, Env",NO,False,,
87,41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, Env",NO,True,,
88,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, Env",yes,True,,
89,21115794,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,NO,False,,
90,26311878,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,yes,False,,
91,30053052,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,NO,False,,
92,30803972,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,yes,False,,
93,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,yes,True,,
94,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,NO,False,,
95,37872202,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,yes,False,,
96,37880705,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,NO,False,,
97,38020274,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,NO,False,,
98,38427738,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,NO,False,,
99,40431710,10,List,What method was used for sequencing?,Sanger,NGS,NO,False,,
100,40965168,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,yes,False,,
101,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,yes,True,,
102,31988104,11,List,What type of samples were sequenced?,Not reported,Plasma,yes,False,,
103,35913500,11,List,What type of samples were sequenced?,Not reported,Plasma,NO,False,,
104,36659824,11,List,What type of samples were sequenced?,Not reported,Plasma,yes,False,,
105,36660819,11,List,What type of samples were sequenced?,Not reported,Plasma; PBMC,NO,False,,
106,36931676,11,List,What type of samples were sequenced?,"Plasma, CSF, PBMC",Plasma,NO,False,,
107,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen","Plasma, PBMC",NO,True,,
108,37279764,11,List,What type of samples were sequenced?,Not reported,Plasma,yes,False,,
109,37340869,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",yes,False,,
110,37376649,11,List,What type of samples were sequenced?,PBMC,Whole blood,NO,False,,
111,37554471,11,List,What type of samples were sequenced?,Not reported,Plasma,NO,False,,
112,37593123,11,List,What type of samples were sequenced?,Plasma,Not applicable,NO,True,,
113,37817087,11,List,What type of samples were sequenced?,"Serum, Plasma, DBS",Plasma,NO,False,,
114,37938856,11,List,What type of samples were sequenced?,Not reported,Plasma,NO,False,,
115,38058846,11,List,What type of samples were sequenced?,Not reported,Plasma,NO,True,,
116,40965168,11,List,What type of samples were sequenced?,Not applicable,Plasma,NO,True,,
117,40974886,11,List,What type of samples were sequenced?,PBMC (Whole blood OK),"Whole blood, Plasma",yes,False,,
118,41012586,11,List,What type of samples were sequenced?,Plasma (presumably),Not reported,NO,True,,
119,31988104,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,yes,False,,
120,36738248,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported,Yes,NO,False,,
121,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,NO,True,,
122,37376649,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,NO,False,,
123,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,yes,False,,
124,37537871,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,yes,False,,
125,37554471,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,yes,False,,
126,37573167,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,NO,False,,
127,37914679,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,yes,False,,
128,38140553,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,yes,False,,
129,40400229,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes (PrEP),No,NO,False,,
130,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,NO,True,,
131,37701387,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,NO,False,,
132,37973713,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,NO,False,,
133,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,yes,True,,
134,40965168,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,NO,True,,
135,27009474,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,NO,False,,
136,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,yes,True,,
137,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,yes,True,,
138,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,Not reported,NO,False,,
139,37541705,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,yes,False,,
140,37554471,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,yes,False,,
141,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,yes,False,,
142,38140553,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,yes,False,,
143,41088231,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?, No,Yes,yes,False,,
144,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,NO,True,,
145,27009474,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",None,NO,False,,
146,30053052,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",NO,False,,
147,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",None,NO,False,,
148,35913500,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI, INSTI",NO,False,,
149,36738248,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI",yes,False,,
150,36851704,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,yes,False,,
151,37381002,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",NO,False,,
152,37498738,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",INSTI,NO,False,,
153,37541705,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI",None,NO,False,,
154,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI, INSTI",yes,False,,
155,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,NO,True,,
156,41088231,15,List,Which drug classes were received by individuals in the study before sample sequencing?,None,"NRTI, INSTI",NO,False,,
157,41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,NO,True,,
158,27009474,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Tenofovir, Emtricitabine, Elvitegravir",None,NO,False,,
159,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",None,NO,False,,
160,35913500,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"tenofovir alafenamide (TAF), emtricitabine (FTC), bictegravir (BIC), darunavir/cobicistat (DRV-c), abacavir (ABC), lamivudine (3TC), dolutegravir (DTG), tenofovir disoproxil fumarate (TDF), doravirine (DOR), elvitegravir/cobicistat (ELV-c), rilpivirine (RPV); all patients also received long-acting cabotegravir (CAB) plus rilpivirine (RPV) injections",NO,False,,
161,36779485,16,List,Which drugs were received by individuals in the study before sample sequencing?,RPV,Not reported,NO,False,,
162,36851760,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Lamivudine (3TC), zidovudine (ZDV), abacavir (ABC), nevirapine (NVP), efavirenz (EFV), tenofovir (TDF), emtricitabine (FTC), lopinavir/ritonavir (LPV/r)",NO,False,,
163,37376649,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Lamivudine (3TC), Tenofovir (TAF), Dolutegravir (DTG)",Tenofovir alafenamide (TAF),yes,False,,
164,37381002,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TDF), zidovudine (AZT), lamivudine (3TC), efavirenz (EFV), nevirapine (NVP)",NO,False,,
165,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC",None,NO,True,,
166,37546367,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Efavirenz (EFV), nevirapine (NVP), lamivudine (3TC), emtricitabine (FTC)",yes,False,,
167,37554471,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Etravirine (ETR), dolutegravir (DTG), darunavir (DRV), ritonavir (RTV); prior exposure to tenofovir (TDF), lamivudine (3TC), emtricitabine (FTC), abacavir (ABC), and efavirenz (EFV) implied by archived resistance; later cabotegravir (CAB), rilpivirine (RPV), and emtricitabine/tenofovir alafenamide (FTC/TAF)",yes,False,,
168,37573167,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Enfuvirtide, maraviroc (all other treatments reported only by drug class)",NO,False,,
169,37574435,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, BIC, FTC, TAF","Lamivudine/emtricitabine (3TC/FTC), abacavir (ABC), zidovudine (AZT), tenofovir disoproxil fumarate (TDF), tenofovir alafenamide (TAF), efavirenz (EFV), nevirapine (NVP), rilpivirine (RPV), ritonavir-boosted lopinavir (LPV/r), atazanavir (ATV, ATV/r), ritonavir-boosted darunavir (DRV/r), cobicistat-boosted darunavir (DRV/c), ritonavir (RTV), raltegravir (RAL), dolutegravir (DTG), cobicistat-boosted elvitegravir (EVG/c)",NO,False,,
170,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV","Zidovudine (AZT), stavudine (D4T), tenofovir (TDF), lamivudine/emtricitabine (3TC/FTC), abacavir (ABC), didanosine (DDI), atazanavir (ATV/r), lopinavir (LPV/r), indinavir (IND/IDV), nelfinavir (NFV)",NO,True,,
171,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Zidovudine (ZDV),NO,True,,
172,38020274,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TDF), zidovudine (AZT), lamivudine (3TC), abacavir (ABC), lopinavir/ritonavir (LPV/r), atazanavir/ritonavir (ATV/r), darunavir/ritonavir (DRV/r); nevirapine (NVP) and stavudine (d4T) noted as historically used regimens",NO,False,,
173,40596906,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not stated,"zidovudine (ZDV/AZT), lamivudine (3TC), nevirapine (NVP), lopinavir/ritonavir (LPV/r), efavirenz (EFV)",yes,True,,
174,40779404,16,List,Which drugs were received by individuals in the study before sample sequencing?,TFV (no other ARVs specified; Data in supplementary methods),"Tenofovir (TFV); individual prior drugs otherwise only in unavailable supplement. All participants received the study drug regimen bictegravir (BIC), emtricitabine (FTC), and tenofovir alafenamide (TAF) after baseline sampling.",yes,True,,
175,41088231,16,List,Which drugs were received by individuals in the study before sample sequencing?,None,"bictegravir (BIC), emtricitabine (FTC), tenofovir alafenamide (TAF)",NO,False,,
