n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
23,36645792,5,Number,How many individuals had samples obtained for HIV sequencing?,"120 * 76% = 95, or 120 or 129",6,n/a,False,,
24,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,0,n/a,True,,
25,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,1045,n/a,True,,
26,36706364,5,Number,How many individuals had samples obtained for HIV sequencing?,62 or 3,0,n/a,False,,
27,37340869,5,Number,How many individuals had samples obtained for HIV sequencing?,1651,0,n/a,False,,
28,37554471,5,Number,How many individuals had samples obtained for HIV sequencing?,1,0,n/a,False,,
29,37574435,5,Number,How many individuals had samples obtained for HIV sequencing?,70 or 79,0,n/a,False,,
30,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,0,n/a,True,,
31,37993493,5,Number,How many individuals had samples obtained for HIV sequencing?,33,600,n/a,False,,
32,38090027,5,Number,How many individuals had samples obtained for HIV sequencing?,5,0,n/a,False,,
33,38140667,5,Number,How many individuals had samples obtained for HIV sequencing?,0,146,n/a,False,,
34,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,Samples were obtained from 488 individuals for HIV sequencing.,n/a,True,,
35,40400229,5,Number,How many individuals had samples obtained for HIV sequencing?,47,Samples were obtained from 54 participants who were diagnosed with HIV during the trial.,n/a,False,,
36,40431742,5,Number,How many individuals had samples obtained for HIV sequencing?,1677,Samples from 1667 individuals were included in the mutation analysis.,n/a,False,,
37,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),The paper mentions resistance testing data for 22 participants.,n/a,True,,
38,40872801,5,Number,How many individuals had samples obtained for HIV sequencing?,0 (Review paper),A total of 9685 individuals had samples obtained for HIV sequencing.,n/a,False,,
39,40938120,5,Number,How many individuals had samples obtained for HIV sequencing?,1048,"Samples were obtained from 1,260 individuals.",n/a,False,,
40,40965168,5,Number,How many individuals had samples obtained for HIV sequencing?,0,The paper involved 24 patient samples for HIV sequencing.,n/a,True,,
41,40974886,5,Number,How many individuals had samples obtained for HIV sequencing?,223,241 individuals had samples obtained for HIV sequencing.,n/a,False,,
42,41012586,5,Number,How many individuals had samples obtained for HIV sequencing?,249 (uncertain),The paper does not specify the number of individuals from whom samples were obtained for sequencing.,n/a,False,,
43,41056006,5,Number,How many individuals had samples obtained for HIV sequencing?,10,"182 participants received at least one dose of study drug, and those who met virologic failure criteria were included in the resistance analysis population.",n/a,True,,
44,41112839,5,Number,How many individuals had samples obtained for HIV sequencing?,237,Samples were obtained from 251 individuals for HIV sequencing.,n/a,False,,
45,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,Samples were obtained from a total of 54 individuals in the PURPOSE 1 and PURPOSE 2 trials.,n/a,True,,
46,27009474,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,n/a,False,,
47,35945163,6,List,From which countries were the sequenced samples obtained?,"UK, USA, Belgium, Canada, Netherlands, Switzerland, Portugal, Italy, South Korea, Spain",No,n/a,False,,
48,36659824,6,List,From which countries were the sequenced samples obtained?,France,No,n/a,False,,
49,37541705,6,List,From which countries were the sequenced samples obtained?,"Botswana, South Africa, Thailand, and the U.S.",No,n/a,False,,
50,37701387,6,List,From which countries were the sequenced samples obtained?,Italy,No,n/a,False,,
51,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe",No,n/a,False,,
52,38090027,6,List,From which countries were the sequenced samples obtained?,Italy,No,n/a,False,,
53,38140667,6,List,From which countries were the sequenced samples obtained?,Not reported,"Canada, Tanzania, Brazil, Nigeria",n/a,False,,
54,41012586,6,List,From which countries were the sequenced samples obtained?,Italy,The paper does not mention any countries from which sequenced samples were obtained.,n/a,False,,
55,41056006,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),The sequenced samples were obtained from the USA and the Dominican Republic.,n/a,True,,
56,41093949,6,List,From which countries were the sequenced samples obtained?,Not applicable.,The samples were obtained from China and the United States.,n/a,False,,
57,41130593,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),The paper mentions samples from South Africa and other unspecified countries.,n/a,False,,
58,29373677,7,List,From what years were the sequenced samples obtained?,2015,No,n/a,False,,
59,35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,No,n/a,False,,
60,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020-2021,n/a,True,,
61,36659824,7,List,From what years were the sequenced samples obtained?,2019-2020,No,n/a,False,,
62,37541705,7,List,From what years were the sequenced samples obtained?,2020-2021,No,n/a,False,,
63,37701387,7,List,From what years were the sequenced samples obtained?,2020-2021,No,n/a,False,,
64,38140667,7,List,From what years were the sequenced samples obtained?,Not reported,"2012-2014, 2019, 2021, 2018",n/a,False,,
65,40872801,7,List,From what years were the sequenced samples obtained?,2004-2021,"The sequenced samples were obtained from studies published up to 2024, covering various years including 2005-2021.",n/a,False,,
66,41056006,7,List,From what years were the sequenced samples obtained?,Not provided,The samples were obtained between 22 November 2019 and 27 August 2020.,n/a,False,,
67,41093949,7,List,From what years were the sequenced samples obtained?,Not applicable.,The samples were obtained from 1978 to 2023.,n/a,False,,
68,41140464,7,List,From what years were the sequenced samples obtained?,Not available (deposited 2015-2025),The sequenced samples were obtained from the years 2015 to 2025.,n/a,False,,
69,27009474,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,n/a,False,,
70,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,n/a,True,,
71,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,"No, samples were not cloned prior to sequencing.",n/a,True,,
72,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),"No, samples were not cloned prior to sequencing.",n/a,True,,
73,19104010,9,List,Which HIV genes were reported to have been sequenced?,IN,No,n/a,False,,
74,21115794,9,List,Which HIV genes were reported to have been sequenced?,IN,No,n/a,False,,
75,23749954,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
76,24227862,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
77,25637519,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
78,26246578,9,List,Which HIV genes were reported to have been sequenced?,IN,No,n/a,False,,
79,26559830,9,List,Which HIV genes were reported to have been sequenced?,PR,No,n/a,False,,
80,30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,n/a,False,,
81,32601157,9,List,Which HIV genes were reported to have been sequenced?,IN,No,n/a,False,,
82,35913500,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,n/a,False,,
83,35945163,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,n/a,False,,
84,36645792,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",IN,n/a,False,,
85,36659824,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,n/a,False,,
86,36706364,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,n/a,False,,
87,36967989,9,List,Which HIV genes were reported to have been sequenced?,PR,No,n/a,False,,
88,36982978,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"RT, IN",n/a,False,,
89,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,n/a,True,,
90,37340869,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
91,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,True,,
92,37554471,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
93,37574435,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
94,37585352,9,List,Which HIV genes were reported to have been sequenced?,Pol,Near full length genome,n/a,False,,
95,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Near full length genome,n/a,True,,
96,37872202,9,List,Which HIV genes were reported to have been sequenced?,gp120,No,n/a,False,,
97,37938856,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",RT,n/a,False,,
98,37976185,9,List,Which HIV genes were reported to have been sequenced?,RT,No,n/a,False,,
99,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",n/a,True,,
100,38058846,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",IN,n/a,False,,
101,38090027,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,n/a,False,,
102,38140667,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,n/a,False,,
103,40763144,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN","The paper mentions sequencing of mutations in the NRTI, NNRTI, PI, and INSTI genes, but it does not specify individual gene sequences.",n/a,False,,
104,40872801,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR",The paper reports sequencing of the RT and integrase gene.,n/a,False,,
105,41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"The paper reports sequencing of the entire HIV genome, including nonintegrase genes.",n/a,True,,
106,41012586,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN (presumably)",The paper does not report sequencing of specific HIV genes.,n/a,False,,
107,41057785,9,List,Which HIV genes were reported to have been sequenced?,"RT,PR,IN","The paper discusses mutations in several HIV genes, including those conferring resistance.",n/a,False,,
108,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"The sequenced genes include the near full-length genome (NFLG), specifically mentioning regions of vif and env genes, and the pol gene.",n/a,True,,
109,41091504,9,List,Which HIV genes were reported to have been sequenced?,PR,The paper does not report specific HIV genes that were sequenced.,n/a,False,,
110,41129268,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR, IN","The study focused on sequences relevant to drug resistance, particularly in the context of integrase inhibitors, protease inhibitors, NRTIs, NNRTIs, and integrase inhibitors.",n/a,False,,
111,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,n/a,True,,
112,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,n/a,False,,
113,37537871,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing, Oxford nanopore",Oxford Nanopore sequencing,n/a,False,,
114,38314093,10,List,What method was used for sequencing?,NGS,No,n/a,False,,
115,40431710,10,List,What method was used for sequencing?,Sanger,Next generation sequencing was used for genotypic resistance tests.,n/a,False,,
116,40431742,10,List,What method was used for sequencing?,Sanger  ,The paper used a PCR-based method for sequencing the HIV-1 pol gene fragments.,n/a,False,,
117,40779404,10,List,What method was used for sequencing?,NGS,The study used population sequencing level.,n/a,False,,
118,40857111,10,List,What method was used for sequencing?,Not stated,The paper does not detail the specific method used for sequencing.,n/a,False,,
119,40965168,10,List,What method was used for sequencing?,Not stated,The paper mentions the use of population sequencing.,n/a,False,,
120,40974886,10,List,What method was used for sequencing?,NGS,The GenoSure Archive method was used for sequencing.,n/a,False,,
121,41004608,10,List,What method was used for sequencing?,NGS,The paper used a sequence capture method and the short read data were assembled into consensus whole genomes using Canu Genomancer.,n/a,False,,
122,41012586,10,List,What method was used for sequencing?,Not stated,The paper does not detail any sequencing methods.,n/a,False,,
123,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing was used.,n/a,True,,
124,41112839,10,List,What method was used for sequencing?,Sanger,Big Dye Terminator v3.1 and ABI 3100 Avant sequencer were used for sequencing.,n/a,False,,
125,35945163,11,List,What type of samples were sequenced?,Plasma,No,n/a,False,,
126,36571282,11,List,What type of samples were sequenced?,Plasma,No,n/a,False,,
127,36660819,11,List,What type of samples were sequenced?,Not reported,PBMC,n/a,False,,
128,36779485,11,List,What type of samples were sequenced?,Plasma,No,n/a,False,,
129,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen",Plasma; PBMC,n/a,True,,
130,37279764,11,List,What type of samples were sequenced?,Not reported,Plasma,n/a,False,,
131,37376649,11,List,What type of samples were sequenced?,PBMC,Whole Blood,n/a,False,,
132,37585352,11,List,What type of samples were sequenced?,PBMC,No,n/a,False,,
133,37593123,11,List,What type of samples were sequenced?,Plasma,No,n/a,True,,
134,37957382,11,List,What type of samples were sequenced?,"Plasma, PBMC",Plasma,n/a,False,,
135,37976185,11,List,What type of samples were sequenced?,Plasma,No,n/a,False,,
136,38058846,11,List,What type of samples were sequenced?,Not reported,Plasma,n/a,True,,
137,38140667,11,List,What type of samples were sequenced?,Not reported,Plasma,n/a,False,,
138,38314093,11,List,What type of samples were sequenced?,Serum,Plasma,n/a,False,,
139,40400229,11,List,What type of samples were sequenced?,Plasma,"The paper does not specify the type of clinical specimens sequenced, whether blood or other fluids.",n/a,False,,
140,40596906,11,List,What type of samples were sequenced?,Plasma,The sequenced samples were clinical specimens from mother-child pairs with confirmed vertical transmission of HIV-1.,n/a,False,,
141,40779404,11,List,What type of samples were sequenced?,PBMC,The paper mentions that whole blood samples were used for sequencing.,n/a,False,,
142,40857111,11,List,What type of samples were sequenced?,Plasma,The paper does not specify the type of samples that were sequenced.,n/a,False,,
143,40938996,11,List,What type of samples were sequenced?,None,"Plasma, PBMC",n/a,False,,
144,40965168,11,List,What type of samples were sequenced?,Not applicable,The paper sequenced viral supernatants obtained from patient isolates.,n/a,True,,
145,41012586,11,List,What type of samples were sequenced?,Plasma (presumably),The paper does not specify the type of samples sequenced.,n/a,True,,
146,41057785,11,List,What type of samples were sequenced?,Plasma (not stated),The paper does not specify the type of clinical specimens sequenced.,n/a,False,,
147,28559249,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
148,35913500,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
149,36659824,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
150,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,True,,
151,36982978,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
152,37340869,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
153,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
154,37537871,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,n/a,False,,
155,37775947,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
156,38140667,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,n/a,False,,
157,40974886,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,"No, the study included individuals without prior virological failure.",n/a,False,,
158,41004608,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,"Yes, the paper mentions sequences obtained from individuals with virological failure.",n/a,False,,
159,41012586,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,The paper does not mention any sequences obtained from individuals with virological failure.,n/a,False,,
160,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,The paper does not mention if any sequences were obtained from individuals with virological failure.,n/a,True,,
161,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,"Yes, the patients were part of the PrEP Impact trial.",n/a,True,,
162,40431710,13,Boolean,Were the patients in the study in a clinical trial?,No,"Yes, the patient was enrolled in the Swiss HIV Cohort Study and participated in the TMC-125 trial.",n/a,False,,
163,40965168,13,Boolean,Were the patients in the study in a clinical trial?,No,"Yes, the paper mentions that the patient plasma samples were obtained from clinical studies.",n/a,True,,
164,28559249,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
165,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,n/a,True,,
166,35913500,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
167,36659824,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
168,36982978,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
169,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,True,,
170,37340869,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
171,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,n/a,False,,
172,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
173,37914679,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
174,38140667,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,n/a,False,,
175,41004608,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,"Yes, the paper reports sequences from individuals who had previously received ARV drugs.",n/a,False,,
176,41012586,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,The paper does not report HIV sequences from individuals who had previously received ARV drugs.,n/a,False,,
177,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,The paper does not specify whether the sequences were from individuals who had previously received ARV drugs.,n/a,True,,
178,28559249,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,n/a,False,,
179,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",No,n/a,False,,
180,36645792,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI","NRTI, INSTI",n/a,False,,
181,36659824,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",No,n/a,False,,
182,36694270,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, NNRTI, INSTI",NRTI,n/a,False,,
183,36982978,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, PI, INSTI",n/a,False,,
184,37340869,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",No,n/a,False,,
185,37439411,15,List,Which drug classes were received by individuals in the study before sample sequencing?,NNRTI,No,n/a,False,,
186,37546367,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",No,n/a,False,,
187,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI, INSTI",n/a,False,,
188,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, INSTI",n/a,True,,
189,37896785,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI",n/a,False,,
190,37914679,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, INSTI",n/a,False,,
191,38140667,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, INSTI",n/a,False,,
192,38314093,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",n/a,False,,
193,41004608,15,List,Which drug classes were received by individuals in the study before sample sequencing?,None,The individuals in the study received integrase strand transfer inhibitors (INSTIs) before sample sequencing.,n/a,False,,
194,41012586,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI, NRTI (presumably)",The paper does not specify drug classes received by individuals prior to sequencing.,n/a,False,,
195,41023944,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI,NNRTI,INSTI","Individuals received NRTIs, NNRTIs, and PIs before sample sequencing.",n/a,False,,
196,41056006,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI, CAI","Participants received drugs from the NRTI, integrase inhibitor, and fusion inhibitor classes.",n/a,False,,
197,41130593,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, CAI",NRTIs and INSTIs were received by individuals in the study.,n/a,False,,
198,41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",The paper does not provide information on the drug classes received by individuals prior to sequencing.,n/a,True,,
199,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",No,n/a,False,,
200,36597160,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF,FTC,EVG",No,n/a,False,,
201,36659824,16,List,Which drugs were received by individuals in the study before sample sequencing?,"BIC, FTC, TAF",No,n/a,False,,
202,36694270,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, EFV, LPV/r, EVG, ABC, DTG",No,n/a,False,,
203,36851704,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TDF, FTC, 3TC, DTG, ATV/r, LPV/r",n/a,False,,
204,36982978,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Lamivudine (3TC), Abacavir (ABC), Zidovudine (AZT), Stavudine (D4T), Emtricitabine (FTC), Didanosine (DDI), Tenofovir (TFV), Tenofovir alafenamide (TAF), Darunavir, Saquinavir, Lopinavir",n/a,False,,
205,37340869,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",No,n/a,False,,
206,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC","Lopinavir (LPV), Dolutegravir (DTG), Raltegravir (RAL)",n/a,True,,
207,37554471,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Etravirine (ETR), Dolutegravir (DTG), Darunavir (DRV), Ritonavir (RTV), Tenofovir (TFV), Lamivudine (3TC), Emtricitabine (FTC), Abacavir (ABC), Efavirenz (EFV)",n/a,False,,
208,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV","NRTI (Nucleoside Reverse Transcriptase Inhibitor), including Abacavir (ABC), Zidovudine (AZT), Lamivudine (3TC), Emtricitabine (FTC), Tenofovir (TFV); NNRTI (Non-Nucleosid Reverse Transcriptase Inhibitor), including Nevirapine (NVP), Efavirenz (EFV); PI (Protease Inhibitor), including Lopinavir (LPV), Atazanavir (ATV), Darunavir (DRV)",n/a,True,,
209,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TFV), Lamivudine (3TC), Dolutegravir (DTG)",n/a,True,,
210,37896785,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Lamivudine (3TC), Emtricitabine (FTC), Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Darunavir (DRV), Lopinavir (LPV), Atazanavir (ATV)",n/a,False,,
211,37946329,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"NVP, ETR, ABC, 3TC, DTG, ATV, LPV, RAL, SQV",n/a,False,,
212,38090027,16,List,Which drugs were received by individuals in the study before sample sequencing?,"BIC, FTC, TAF, EVG","Elvitegravir (EVG), Cobicistat (COBI), Emtricitabine (FTC), Tenofovir alafenamide (TAF), Darunavir (DRV), Dolutegravir (DTG), Rilpivirine (RPV)",n/a,False,,
213,38140667,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TFV), Lamivudine (3TC), Dolutegravir (DTG), Rilpivirine (RPV)",n/a,False,,
214,38314093,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Efavirenz (EFV), Nevirapine (NVP), Zidovudine (AZT), Lamivudine (3TC)",n/a,False,,
215,40400229,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, FTC","Specific drugs received included TDF, FTC, DTG, DRV, 3TC, ABC, and RAL, reflecting the treatments received prior to HIV sequencing.",n/a,False,,
216,40431710,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, ddI, d4T, 3TC, ABC, TDF, TAF, DLV, ETR, DOR, IDV, RTV, NFV, LPV, ATV, DRV, EVG, DTG, FOS","Zidovudine (AZT), ritonavir (RTV), didanosine (ddI), abacavir (ABC), tenofovir disoproxil (TDF), lopinavir (LPV), etravirine (ETR), atazanavir (ATV), raltegravir (RAL), emtricitabine (FTC), dolutegravir (DTG), darunavir (DRV), and bictegravir (BIC).",n/a,False,,
217,40490983,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, 3TC, TDF, ABC, EFV, NVP, LPV, RTV, ATV (RTV is for boosting)","The paper mentioned specific drugs such as atazanavir/ritonavir and lopinavir/ritonavir received prior to sequencing. The NRTIs lamivudine, zidovudine, and tenofovir were received before sequencing",n/a,False,,
218,40596906,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not stated,"Individuals in the study received zidovudine (ZDV), lamivudine (3TC), nevirapine (NVP), lopinavir/ritonavir, and efavirenz (EFV) before sample sequencing.",n/a,True,,
219,40763144,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, ABC, 3TC, TDF, ATV, LPV, RTV, DTG","The study involved participants on various ART regimens including TDF/3TC/DTG, AZT/3TC/DTG, ABC/3TC/DTG, ABC/3TC/LPVr, TDF/3TC/ATVr, AZT/3TC/ATVr, and others before sample sequencing.",n/a,False,,
220,40779404,16,List,Which drugs were received by individuals in the study before sample sequencing?,TFV (no other ARVs specified; Data in supplementary methods),"Participants received Tenofovir, INSTIs, NNRTIs, and PIs before sample sequencing.",n/a,True,,
