n,PMID,QID,Type,Human Answer,n_models_wrong,all_models_wrong,annotation_verdict,reason
63,37872202,2,Boolean,Yes,2,False,,
64,37878637,2,Boolean,No,1,False,,
65,37896860,2,Boolean,No,1,False,,
66,37946329,2,Boolean,No,1,False,,
67,37976080,2,Boolean,No,1,False,,
68,37993493,2,Boolean,No,1,False,,
69,38005921,2,Boolean,No,4,False,,
70,38020274,2,Boolean,No,1,False,,
71,38140649,2,Boolean,No,1,False,,
72,38427738,2,Boolean,Yes,1,False,,
73,40431742,2,Boolean,No,1,False,,
74,40490983,2,Boolean,No,1,False,,
75,40573423,2,Boolean,No,1,False,,
76,40857111,2,Boolean,No,4,False,,
77,41012586,2,Boolean,No,1,False,,
78,41056006,2,Boolean,No,3,False,,
79,41088231,2,Boolean,No,1,False,,
80,41091504,2,Boolean,No,1,False,,
81,41129268,2,Boolean,No,2,False,,
82,31988104,3,Boolean,No,1,False,,
83,36738248,3,Boolean,No,1,False,,
84,37279764,3,Boolean,Yes,1,False,,
85,37674678,3,Boolean,Yes,4,False,,
86,37872202,3,Boolean,No,1,False,,
87,37878637,3,Boolean,No,4,False,,
88,37880705,3,Boolean,No,1,False,,
89,37946329,3,Boolean,No,1,False,,
90,37973713,3,Boolean,No,2,False,,
91,37976080,3,Boolean,No,1,False,,
92,38005921,3,Boolean,Yes,2,False,,
93,38314093,3,Boolean,No,1,False,,
94,31988104,4,List,Not reported,1,False,,
95,37878637,4,List,Not reported,2,False,,
96,38140553,4,List,Not reported,2,False,,
97,41029850,4,List,"PQ893197, PQ893192, OQ985810, OR259747 and PQ893191 & submission ID: 2961867) ",1,False,,
98,30053052,5,Number,51,4,False,,
99,31988104,5,Number,0,2,False,,
100,33855437,5,Number,6,1,False,,
101,35913500,5,Number,51,5,True,,
102,35945163,5,Number,6,4,False,,
103,36597160,5,Number,6,3,False,,
104,36645792,5,Number,"120 * 76% = 95, or 120 or 129",1,False,,
105,36659824,5,Number,14,5,True,,
106,36660819,5,Number,8 and 10,5,True,,
107,36706364,5,Number,62 or 3,1,False,,
108,36738248,5,Number,527,1,False,,
109,36779485,5,Number,1649,1,False,,
110,36851760,5,Number,107,1,False,,
111,36931676,5,Number,0,1,False,,
112,37052343,5,Number,0,1,False,,
113,37071019,5,Number,0,1,False,,
114,37340869,5,Number,1651,3,False,,
115,37439411,5,Number,9387,2,False,,
116,37515146,5,Number,379,1,False,,
117,37520425,5,Number,25 or 30,3,False,,
118,37541705,5,Number,0,1,False,,
119,37546367,5,Number,2074,1,False,,
120,37554471,5,Number,1,3,False,,
121,37574435,5,Number,70 or 79,1,False,,
122,37593123,5,Number,57902,3,False,,
123,37626789,5,Number,551,5,True,,
124,37701387,5,Number,0 or 30,1,False,,
125,37880705,5,Number,1070,2,False,,
126,37938856,5,Number,820 or 46,2,False,,
127,37946329,5,Number,921,1,False,,
128,37993493,5,Number,33,3,False,,
129,38020274,5,Number,311,3,False,,
130,38033131,5,Number,0,1,False,,
131,38090027,5,Number,5,3,False,,
132,38140667,5,Number,0,1,False,,
133,40391923,5,Number,227,5,True,,
134,40400229,5,Number,47,2,False,,
135,40431742,5,Number,1677,4,False,,
136,40596906,5,Number,30,1,False,,
137,40713598,5,Number,20,1,False,,
138,40763144,5,Number,295,1,False,,
139,40839365,5,Number,212,1,False,,
140,40857111,5,Number,7 (Uncertain),5,True,,
141,40872801,5,Number,0 (Review paper),3,False,,
142,40938120,5,Number,1048,4,False,,
143,40965168,5,Number,0,5,True,,
144,40974886,5,Number,223,4,False,,
145,41004608,5,Number,1182,2,False,,
146,41012586,5,Number,249 (uncertain),1,False,,
147,41056006,5,Number,10,5,True,,
148,41093949,5,Number,0,1,False,,
149,41112839,5,Number,237,1,False,,
150,41129268,5,Number,333,1,False,,
151,41130593,5,Number,64,5,True,,
152,27009474,6,List,Not reported,2,False,,
153,29373677,6,List,Not reported,1,False,,
154,33855437,6,List,"Canada, Ethiopia",1,False,,
155,35730213,6,List,Not reported,1,False,,
156,35913500,6,List,Not Reported,2,False,,
157,35945163,6,List,"UK, USA, Belgium, Canada, Netherlands, Switzerland, Portugal, Italy, South Korea, Spain",2,False,,
158,36519389,6,List,Not reported,2,False,,
159,36659824,6,List,France,1,False,,
160,36779485,6,List,South Africa,1,False,,
161,36795586,6,List,Not reported,1,False,,
162,36931676,6,List,Sweden,1,False,,
163,36961945,6,List,Not reported,2,False,,
164,37104815,6,List,France,2,False,,
165,37340869,6,List,Not reported,2,False,,
166,37358226,6,List,Not reported,2,False,,
167,37540331,6,List,Not reported,1,False,,
168,37541705,6,List,"Botswana, South Africa, Thailand, and the U.S.",3,False,,
169,37554471,6,List,Not reported,1,False,,
170,37593123,6,List,China,3,False,,
171,37632071,6,List,Not reported,1,False,,
172,37649807,6,List,Not reported,2,False,,
173,37701387,6,List,Italy,3,False,,
174,37775947,6,List,"South America, Africa, USA, Asia, Australia, Europe",4,False,,
175,37872202,6,List,Not reported,1,False,,
176,37880705,6,List,Ethiopia,2,False,,
177,37910452,6,List,Not reported,1,False,,
178,37957382,6,List,Not reported,3,False,,
179,37966701,6,List,Not reported,2,False,,
180,37973713,6,List,"Ukraine, Poland",4,False,,
181,38022124,6,List,Not reported,1,False,,
182,38031075,6,List,Not reported,1,False,,
183,38033131,6,List,Not reported,2,False,,
184,38090027,6,List,Italy,3,False,,
185,38140667,6,List,Not reported,1,False,,
186,38142692,6,List,Not reported,2,False,,
187,38152686,6,List,Not reported,3,False,,
188,40857111,6,List,Not provided (multicenter trial),1,False,,
189,40965168,6,List,Not applicable.,1,False,,
190,41012586,6,List,Italy,2,False,,
191,41056006,6,List,Not provided (multicenter trial),5,True,,
192,41093949,6,List,Not applicable.,3,False,,
193,41130593,6,List,Not provided (multicenter trial),2,False,,
194,41140464,6,List,Tanzania,2,False,,
195,29373677,7,List,2015,2,False,,
196,35913500,7,List,2021-2022,4,False,,
197,36519389,7,List,Not reported,2,False,,
198,36597160,7,List,2014,1,False,,
199,36645792,7,List,Not reported,5,True,,
200,36659824,7,List,2019-2020,1,False,,
201,36738248,7,List,Not reported,1,False,,
202,36931676,7,List,Not reported,2,False,,
203,37052343,7,List,Not reported,1,False,,
204,37439411,7,List,2000-2020,1,False,,
205,37520425,7,List,"2016-2017, 2019-2020",2,False,,
206,37541705,7,List,2020-2021,3,False,,
207,37574435,7,List,2016-2022,1,False,,
208,37593123,7,List,2004-2022,2,False,,
209,37649807,7,List,Not reported,2,False,,
210,37701387,7,List,2020-2021,3,False,,
211,37880705,7,List,2003-2018,3,False,,
212,37910452,7,List,Not reported,1,False,,
213,37966701,7,List,Not reported,2,False,,
214,38022124,7,List,Not reported,1,False,,
215,38031075,7,List,Not reported,1,False,,
216,38033131,7,List,Not reported,2,False,,
217,38090027,7,List,2019-2020,1,False,,
218,38140667,7,List,Not reported,1,False,,
219,38142692,7,List,Not reported,2,False,,
220,40431710,7,List,2006-2024,2,False,,
221,40596906,7,List,2007-2022,2,False,,
222,40872801,7,List,2004-2021,1,False,,
223,41056006,7,List,Not provided,4,False,,
224,41093949,7,List,Not applicable.,3,False,,
225,41140464,7,List,Not available (deposited 2015-2025),2,False,,
226,19104010,8,Boolean,No,1,False,,
227,25637519,8,Boolean,No,1,False,,
228,26559830,8,Boolean,No,2,False,,
229,27009474,8,Boolean,Yes,2,False,,
230,29373677,8,Boolean,No,1,False,,
231,30053052,8,Boolean,No,3,False,,
232,31988104,8,Boolean,No,2,False,,
233,34516245,8,Boolean,Yes,3,False,,
234,37957382,8,Boolean,Yes,5,True,,
235,38140649,8,Boolean,No,1,False,,
236,38427738,8,Boolean,No,1,False,,
237,40938996,8,Boolean,Yes  ,4,False,,
238,41088231,8,Boolean,Yes,5,True,,
239,41093949,8,Boolean,Yes,2,False,,
240,41130593,8,Boolean,Yes (single genome),5,True,,
241,19104010,9,List,IN,1,False,,
242,21115794,9,List,IN,3,False,,
243,23749954,9,List,RT,3,False,,
244,24227862,9,List,RT,2,False,,
245,25637519,9,List,RT,1,False,,
246,26246578,9,List,IN,2,False,,
247,26311878,9,List,Not reported,3,False,,
248,26559830,9,List,PR,1,False,,
249,27124362,9,List,Not reported,3,False,,
250,28559249,9,List,RT,2,False,,
251,30803972,9,List,Not reported,3,False,,
252,32601157,9,List,IN,2,False,,
253,33855437,9,List,RT,1,False,,
254,34516245,9,List,RT,1,False,,
255,35913500,9,List,"RT, IN",3,False,,
256,35945163,9,List,"RT, IN",2,False,,
257,36571282,9,List,"RT, IN",1,False,,
258,36645792,9,List,"RT, IN",2,False,,
259,36659824,9,List,"RT, IN",3,False,,
260,36660819,9,List,"RT, IN",2,False,,
261,36706364,9,List,"RT, IN",3,False,,
262,36931676,9,List,RT,2,False,,
263,36967989,9,List,PR,3,False,,
264,36982978,9,List,Not reported,1,False,,
265,37029656,9,List,IN,1,False,,
266,37039023,9,List,NFLG,4,False,,
267,37071019,9,List,Not reported,5,True,,
268,37272233,9,List,"PR, RT, IN",1,False,,
269,37340869,9,List,RT,3,False,,
270,37498738,9,List,NFLG,4,False,,
271,37541705,9,List,RT,5,True,,
272,37554471,9,List,RT,3,False,,
273,37574435,9,List,RT,1,False,,
274,37585352,9,List,Pol,1,False,,
275,37701387,9,List,Not reported,1,False,,
276,37823653,9,List,"NFLG, Envelope",5,True,,
277,37872202,9,List,gp120,2,False,,
278,37914679,9,List,"PR, RT, IN",2,False,,
279,37938856,9,List,"PR, RT, IN",2,False,,
280,37957382,9,List,"Full genome, NFLG",4,False,,
281,37976185,9,List,RT,1,False,,
282,38005921,9,List,Not reported,5,True,,
283,38020274,9,List,"PR, RT, IN",1,False,,
284,38058846,9,List,"PR, RT, IN",3,False,,
285,38090027,9,List,"RT, IN",3,False,,
286,38140667,9,List,Not reported,2,False,,
287,38314093,9,List,"PR, RT",1,False,,
288,38427738,9,List,"Gag, Pol, Env, Nef, vpu",3,False,,
289,40400229,9,List,"RT,IN",2,False,,
290,40490983,9,List,"RT, PR",1,False,,
291,40763144,9,List,"PR, RT, IN",1,False,,
292,40779404,9,List,"RT,PR,IN",1,False,,
293,40872801,9,List,"RT, PR",1,False,,
294,40938996,9,List,"RT, IN, NC, Env",3,False,,
295,40965168,9,List,CA,2,False,,
296,41004608,9,List,Whole genome,5,True,,
297,41012586,9,List,"PR, RT, IN (presumably)",3,False,,
298,41056006,9,List,CA,1,False,,
299,41057785,9,List,"RT,PR,IN",1,False,,
300,41088231,9,List,Whole genome,5,True,,
301,41091504,9,List,PR,2,False,,
302,41129268,9,List,"RT, PR, IN",2,False,,
303,21115794,10,List,Not reported,1,False,,
304,26311878,10,List,Not reported,1,False,,
305,30053052,10,List,Not reported,1,False,,
306,30803972,10,List,Not reported,2,False,,
307,32601157,10,List,Not reported,1,False,,
308,36454248,10,List,Not reported,5,True,,
309,36571282,10,List,"Sanger sequencing, NGS",1,False,,
310,37017009,10,List,"Sanger sequencing, Illumina sequencing",1,False,,
311,37071019,10,List,Sanger sequencing,2,False,,
312,37104815,10,List,"Sanger sequencing, Illumina sequencing",2,False,,
313,37147875,10,List,"Sanger sequencing, Illumina sequencing",1,False,,
314,37381002,10,List,"Sanger sequencing, Illumina sequencing",1,False,,
315,37498738,10,List,"Sanger sequencing, Illumina sequencing",4,False,,
316,37537871,10,List,"Sanger sequencing, Illumina sequencing, Oxford nanopore",1,False,,
317,37872202,10,List,Not reported,1,False,,
318,37880705,10,List,Not reported,2,False,,
319,37914679,10,List,"Sanger sequencing, Illumina sequencing",1,False,,
320,37946329,10,List,Not reported,1,False,,
321,38020274,10,List,Not reported,1,False,,
322,38314093,10,List,NGS,2,False,,
323,38427738,10,List,Not reported,2,False,,
324,40431710,10,List,Sanger,4,False,,
325,40431742,10,List,Sanger  ,1,False,,
326,40596906,10,List,Sanger,1,False,,
327,40779404,10,List,NGS,1,False,,
328,40857111,10,List,Not stated,1,False,,
329,40938996,10,List,"Sanger, NGS",2,False,,
330,40965168,10,List,Not stated,4,False,,
331,40974886,10,List,NGS,2,False,,
332,41004608,10,List,NGS,1,False,,
333,41012586,10,List,Not stated,1,False,,
334,41093949,10,List,Not stated,5,True,,
335,41112839,10,List,Sanger,1,False,,
336,19104010,11,List,Not reported,1,False,,
337,31988104,11,List,Not reported,2,False,,
338,33855437,11,List,Not reported,1,False,,
339,34516245,11,List,Not reported,1,False,,
340,35913500,11,List,Not reported,2,False,,
341,35945163,11,List,Plasma,2,False,,
342,36571282,11,List,Plasma,3,False,,
343,36659824,11,List,Not reported,3,False,,
344,36660819,11,List,Not reported,3,False,,
345,36694270,11,List,"Plasma, CSF",1,False,,
346,36706364,11,List,Plasma,1,False,,
347,36779485,11,List,Plasma,3,False,,
348,36795586,11,List,Not reported,1,False,,
349,36931676,11,List,"Plasma, CSF, PBMC",2,False,,
350,37039023,11,List,PBMC,1,False,,
351,37052343,11,List,Not reported,1,False,,
352,37104815,11,List,"Whole Blood, Semen",5,True,,
353,37279764,11,List,Not reported,4,False,,
354,37340869,11,List,Not reported,3,False,,
355,37376649,11,List,PBMC,4,False,,
356,37439411,11,List,Plasma,1,False,,
357,37515095,11,List,Plasma,1,False,,
358,37554471,11,List,Not reported,1,False,,
359,37585352,11,List,PBMC,1,False,,
360,37593123,11,List,Plasma,5,True,,
361,37649807,11,List,Not reported,1,False,,
362,37701387,11,List,Not reported,1,False,,
363,37817087,11,List,"Serum, Plasma, DBS",2,False,,
364,37823653,11,List,PBMC,1,False,,
365,37938856,11,List,Not reported,4,False,,
366,37957382,11,List,"Plasma, PBMC",3,False,,
367,37976185,11,List,Plasma,1,False,,
368,38058846,11,List,Not reported,5,True,,
369,38072961,11,List,"CSF, Plasma",1,False,,
370,38090027,11,List,"Plasma, PBMC",1,False,,
371,38140667,11,List,Not reported,1,False,,
372,38152686,11,List,Plasma,1,False,,
373,38314093,11,List,Serum,3,False,,
374,40400229,11,List,Plasma,2,False,,
375,40596906,11,List,Plasma,2,False,,
376,40779404,11,List,PBMC,3,False,,
377,40857111,11,List,Plasma,2,False,,
378,40938996,11,List,None,2,False,,
379,40965168,11,List,Not applicable,5,True,,
380,40974886,11,List,PBMC (Whole blood OK),3,False,,
381,41004608,11,List,Plasma,1,False,,
382,41012586,11,List,Plasma (presumably),5,True,,
383,41056006,11,List,Plasma,1,False,,
384,41057785,11,List,Plasma (not stated),3,False,,
385,41093949,11,List,None,1,False,,
386,28559249,12,Boolean,No,1,False,,
387,31988104,12,Boolean,No,2,False,,
388,35913500,12,Boolean,Yes,3,False,,
389,35945163,12,Boolean,Yes,1,False,,
390,36659824,12,Boolean,Yes,1,False,,
391,36660819,12,Boolean,Yes,2,False,,
392,36738248,12,Boolean,Not reported,2,False,,
393,36779485,12,Boolean,Yes,1,False,,
394,36795586,12,Boolean,No,1,False,,
395,36851704,12,Boolean,No,5,True,,
396,36931676,12,Boolean,Yes,3,False,,
397,36982978,12,Boolean,No,1,False,,
398,37039023,12,Boolean,No,1,False,,
399,37071019,12,Boolean,No,2,False,,
400,37272233,12,Boolean,No,2,False,,
401,37340869,12,Boolean,Yes,2,False,,
402,37376649,12,Boolean,No,2,False,,
403,37498738,12,Boolean,No,1,False,,
404,37515095,12,Boolean,No,4,False,,
405,37537871,12,Boolean,Yes,3,False,,
406,37554471,12,Boolean,No,2,False,,
407,37573167,12,Boolean,No,2,False,,
408,37585352,12,Boolean,No,1,False,,
409,37755428,12,Boolean,No,1,False,,
410,37775947,12,Boolean,No,2,False,,
411,37817087,12,Boolean,No,1,False,,
412,37914679,12,Boolean,Yes,2,False,,
413,37941373,12,Boolean,Yes,1,False,,
414,37976080,12,Boolean,No,1,False,,
415,37976185,12,Boolean,No,1,False,,
416,38140553,12,Boolean,No,2,False,,
417,38140667,12,Boolean,No,3,False,,
418,40400229,12,Boolean,Yes (PrEP),4,False,,
419,40779404,12,Boolean,Unknown,1,False,,
420,40938996,12,Boolean,No,1,False,,
421,40974886,12,Boolean,Yes,3,False,,
422,41004608,12,Boolean,No,1,False,,
423,41012586,12,Boolean,Yes,2,False,,
424,41056006,12,Boolean,Yes,1,False,,
425,41088231,12,Boolean,No,1,False,,
426,41130593,12,Boolean,Yes (PrEP),1,False,,
427,41140464,12,Boolean,Yes,5,True,,
428,35730213,13,Boolean,No,1,False,,
429,36415058,13,Boolean,No,2,False,,
430,37071019,13,Boolean,No,1,False,,
431,37701387,13,Boolean,Yes,1,False,,
432,37823653,13,Boolean,No,1,False,,
433,37910452,13,Boolean,No,1,False,,
434,37938856,13,Boolean,No,1,False,,
435,37973713,13,Boolean,Yes,3,False,,
436,40400229,13,Boolean,No,5,True,,
437,40431710,13,Boolean,No,3,False,,
438,40965168,13,Boolean,No,5,True,,
439,24227862,14,Boolean,No,1,False,,
440,26246578,14,Boolean,No,1,False,,
441,27009474,14,Boolean,Yes,2,False,,
442,28559249,14,Boolean,No,2,False,,
443,31988104,14,Boolean,14,5,True,,
444,34516245,14,Boolean,No,1,False,,
445,35913500,14,Boolean,Yes,3,False,,
446,35945163,14,Boolean,Yes,1,False,,
447,36415058,14,Boolean,No,1,False,,
448,36659824,14,Boolean,Yes,3,False,,
449,36660819,14,Boolean,Yes,1,False,,
450,36738248,14,Boolean,Yes,1,False,,
451,36779485,14,Boolean,Yes,1,False,,
452,36795586,14,Boolean,No,1,False,,
453,36931676,14,Boolean,Yes,1,False,,
454,36982978,14,Boolean,No,1,False,,
455,37071019,14,Boolean,No,2,False,,
456,37272233,14,Boolean,No,5,True,,
457,37340869,14,Boolean,Yes,1,False,,
458,37358226,14,Boolean,No,1,False,,
459,37376649,14,Boolean,Yes,1,False,,
460,37498738,14,Boolean,Yes,1,False,,
461,37520425,14,Boolean,Yes,1,False,,
462,37537871,14,Boolean,Yes,4,False,,
463,37541705,14,Boolean,Yes,2,False,,
464,37554471,14,Boolean,No,2,False,,
465,37649807,14,Boolean,No,1,False,,
466,37755428,14,Boolean,No,4,False,,
467,37775947,14,Boolean,No,1,False,,
468,37817087,14,Boolean,No,1,False,,
469,37914679,14,Boolean,No,2,False,,
470,37976185,14,Boolean,Yes,1,False,,
471,38033131,14,Boolean,No,1,False,,
472,38140553,14,Boolean,No,2,False,,
473,38140667,14,Boolean,No,3,False,,
474,38142692,14,Boolean,No,1,False,,
475,40400229,14,Boolean,Yes,1,False,,
476,40857111,14,Boolean,Yes,1,False,,
477,40938996,14,Boolean,No,1,False,,
478,41004608,14,Boolean,No,1,False,,
479,41012586,14,Boolean,Yes,2,False,,
480,41056006,14,Boolean,Yes,2,False,,
481,41088231,14,Boolean, No,2,False,,
482,41140464,14,Boolean,Yes,5,True,,
483,24227862,15,List,Not applicable,1,False,,
484,27009474,15,List,"NRTI, INSTI",2,False,,
485,28559249,15,List,Not reported,2,False,,
486,30053052,15,List,Not reported,2,False,,
487,34516245,15,List,Not reported,1,False,,
488,35730213,15,List,"NRTI, NNRTI, INSTI",4,False,,
489,35913500,15,List,Not reported,2,False,,
490,35945163,15,List,"INSTI, NNRTI",1,False,,
491,36519389,15,List,Not reported,1,False,,
492,36645792,15,List,"NRTI, NNRTI",1,False,,
493,36659824,15,List,"NRTI, INSTI",3,False,,
494,36660819,15,List,"NNRTI, INSTI",2,False,,
495,36694270,15,List,"NRTI, PI, NNRTI, INSTI",3,False,,
496,36738248,15,List,Not reported,1,False,,
497,36779485,15,List,"NRTI, NNRTI",2,False,,
498,36795586,15,List,Not reported,1,False,,
499,36851704,15,List,"NRTI, NNRTI, PI, INSTI",4,False,,
500,36931676,15,List,"NRTI, NNRTI, PI, INSTI",3,False,,
501,36961945,15,List,Not reported,1,False,,
502,36982978,15,List,Not reported,1,False,,
503,37042390,15,List,"NRTI, PI, INSTI",1,False,,
504,37071019,15,List,Not reported,2,False,,
505,37147875,15,List,Not reported,1,False,,
506,37340869,15,List,"NNRTI, INSTI",2,False,,
507,37358226,15,List,Not reported,2,False,,
508,37376649,15,List,"NRTI, INSTI",3,False,,
509,37381002,15,List,Not reported,1,False,,
510,37439411,15,List,NNRTI,2,False,,
511,37495103,15,List,"NRTI, NNRTI, PI, INSTI",1,False,,
512,37498738,15,List,"NRTI, INSTI",3,False,,
513,37520425,15,List,INSTI,2,False,,
514,37540331,15,List,Not reported,1,False,,
515,37541705,15,List,"PI, INSTI",4,False,,
516,37546367,15,List,"NRTI, NNRTI, PI",2,False,,
517,37554471,15,List,Not reported,4,False,,
518,37574435,15,List,"NRTI, INSTI",1,False,,
519,37649807,15,List,Not reported,1,False,,
520,37755428,15,List,Not reported,5,True,,
521,37775947,15,List,Not reported,1,False,,
522,37896785,15,List,Not reported,2,False,,
523,37914679,15,List,Not reported,2,False,,
524,37946329,15,List,"NRTI, NNRTI, PI, INSTI",1,False,,
525,37957382,15,List,"NRTI, PI, INSTI",2,False,,
526,38022124,15,List,Not reported,1,False,,
527,38031075,15,List,Not reported,2,False,,
528,38033131,15,List,Not reported,2,False,,
529,38058846,15,List,"NRTI, NNRTI, PI, INSTI",1,False,,
530,38090027,15,List,"NRTI, NNRTI, PI, INSTI",1,False,,
531,38140667,15,List,Not reported,1,False,,
532,38142692,15,List,Not reported,2,False,,
533,38152686,15,List,"NRTI, INSTI",2,False,,
534,38314093,15,List,Not reported,3,False,,
535,40391923,15,List,"NRTI, NNRTI, INSTI",1,False,,
536,40400229,15,List,RT,1,False,,
537,40839365,15,List,"NRTI, NNRTI, INSTI",3,False,,
538,40857111,15,List,"NRTI, INSTI",2,False,,
539,40938996,15,List,None,1,False,,
540,40974886,15,List,"NRTI, NNRTI, PI, INSTI",3,False,,
541,41004608,15,List,None,1,False,,
542,41012586,15,List,"PI, INSTI, NRTI (presumably)",3,False,,
543,41023944,15,List,"NRTI,NNRTI,INSTI",4,False,,
544,41056006,15,List,"NRTI, INSTI, CAI",2,False,,
545,41088231,15,List,None,2,False,,
546,41130593,15,List,"NRTI, CAI",3,False,,
547,41140464,15,List,"NRTI, NNRTI, PI, INSTI",5,True,,
548,24227862,16,List,Not applicable,1,False,,
549,27009474,16,List,"Tenofovir, Emtricitabine, Elvitegravir",2,False,,
550,28559249,16,List,Not reported,1,False,,
551,30053052,16,List,Not reported,1,False,,
552,34516245,16,List,Not reported,1,False,,
553,35730213,16,List,"EFV, DTG, TDF, 3TC",4,False,,
554,35913500,16,List,Not reported,2,False,,
555,35945163,16,List,"CAB, RPV",1,False,,
556,36454248,16,List,"3TC, TDF, AZT, D4T, ABC, DDI, FTC, EFV, LPV, DRV, NFV, RAL",2,False,,
557,36519389,16,List,Not reported,1,False,,
558,36597160,16,List,"TDF,FTC,EVG",3,False,,
559,36659824,16,List,"BIC, FTC, TAF",3,False,,
560,36660819,16,List,"CAB, RPV",2,False,,
561,36694270,16,List,"3TC, TDF, EFV, LPV/r, EVG, ABC, DTG",3,False,,
562,36706364,16,List,"TDF, 3TC, FTC, EFV, NVP, DTG",1,False,,
563,36779485,16,List,RPV,4,False,,
564,36851704,16,List,Not reported,1,False,,
565,36851760,16,List,Not reported,2,False,,
566,36931676,16,List,DTG,3,False,,
567,36961945,16,List,Not reported,1,False,,
568,36982978,16,List,Not reported,1,False,,
569,37017009,16,List,"LPV, ATV, EFV, NVP, 3TC, ABC, AZT, FTC, D4T, TDF",2,False,,
570,37042390,16,List,"RAL, DRV",1,False,,
571,37071019,16,List,Not reported,2,False,,
572,37104815,16,List,"TDF, FTC, ABC, 3TC",1,False,,
573,37147875,16,List,Not reported,1,False,,
574,37340869,16,List,"CAB, RPV",3,False,,
575,37358226,16,List,Not reported,2,False,,
576,37376649,16,List,"Lamivudine (3TC), Tenofovir (TAF), Dolutegravir (DTG)",4,False,,
577,37381002,16,List,Not reported,1,False,,
578,37495103,16,List,"TDF, FTC, EFV, ABC, 3TC, DTG, LPV, Elsulfavirine, RAL, DRV, AZT",1,False,,
579,37498738,16,List,DTG,2,False,,
580,37515095,16,List,"3TC, ABC, AZT, D4T, DDI, FTC, TDF, ETR, EFV, NVP, RPV",2,False,,
581,37520425,16,List,DTG,2,False,,
582,37541705,16,List,"LPV, DTG, RAL, ABC, 3TC",5,True,,
583,37546367,16,List,Not reported,3,False,,
584,37554471,16,List,Not reported,4,False,,
585,37573167,16,List,Not reported,2,False,,
586,37574435,16,List,"DTG, BIC, FTC, TAF",4,False,,
587,37626789,16,List,"AZT, 3TC, NVP, D4T, EFV, ABC, EFV, TDF",1,False,,
588,37632026,16,List,"AZT, D4T, XTC, TDF, ATV, LPV, DRV",5,True,,
589,37649807,16,List,Not reported,1,False,,
590,37701387,16,List,Not reported,1,False,,
591,37755428,16,List,Not reported,5,True,,
592,37775947,16,List,Not reported,1,False,,
593,37896785,16,List,Not reported,1,False,,
594,37938856,16,List,"3TC, TDF, EFV, DTG, ATV",1,False,,
595,37946329,16,List,Not reported,2,False,,
596,37957382,16,List,"DTG, DRV, TFV, FTC ",2,False,,
597,37993493,16,List,"TDF, 3TC, DTG, ABC, LPV, ATV, EFV",1,False,,
598,38020274,16,List,Not reported,3,False,,
599,38022124,16,List,Not reported,1,False,,
