Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-6 Astra QSP,35913500,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,35913500,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs, PIs, INSTIs",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,35913500,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir alafenamide (TAF), tenofovir disoproxil fumarate (TDF), emtricitabine (FTC), lamivudine (3TC), abacavir (ABC), bictegravir (BIC), dolutegravir (DTG), elvitegravir (ELV), darunavir (DRV), doravirine (DOR), rilpivirine (RPV), cabotegravir (CAB)",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,35913500,6,List,From which countries were the sequenced samples obtained?,Not Reported,United States,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,36597160,5,Number,How many individuals had samples obtained for HIV sequencing?,6,154,ok,model error,
GPT-6 Astra QSP,36597160,7,List,From what years were the sequenced samples obtained?,2014,Not reported,ok,model error,
GPT-6 Astra QSP,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2021,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,36659824,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,36660819,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,36660819,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-6 Astra QSP,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,14,ambiguous,annotation/convention,ambiguous: annotation hedges: '8 and 10'
GPT-6 Astra QSP,36694270,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-6 Astra QSP,36738248,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported,Yes,ok,model error,
GPT-6 Astra QSP,36779485,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-6 Astra QSP,36779485,11,List,What type of samples were sequenced?,Plasma,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36779485,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36779485,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36779485,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36779485,16,List,Which drugs were received by individuals in the study before sample sequencing?,RPV,None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36779485,5,Number,How many individuals had samples obtained for HIV sequencing?,1649,0,ok,model error,
GPT-6 Astra QSP,36779485,6,List,From which countries were the sequenced samples obtained?,South Africa,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36795586,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-6 Astra QSP,36795586,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36795586,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36795586,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36795586,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTIs; NNRTIs; PIs,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36795586,6,List,From which countries were the sequenced samples obtained?,Not reported,Botswana; Eswatini; Lesotho; Malawi; Tanzania; Uganda,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,36851704,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,ok,model error,
GPT-6 Astra QSP,36851760,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Lamivudine (3TC); zidovudine (ZDV); abacavir (ABC); nevirapine (NVP); efavirenz (EFV); tenofovir disoproxil fumarate (TDF); emtricitabine (FTC); lopinavir; ritonavir,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,36920025,10,List,What method was used for sequencing?,Illumina sequencing,,ok,model error,no answer: the request for this paper was blocked by the provider
GPT-6 Astra QSP,36920025,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,,ok,model error,no answer: the request for this paper was blocked by the provider
GPT-6 Astra QSP,36920025,3,Boolean,Were sequences from the paper made publicly available?,Yes,,ok,model error,no answer: the request for this paper was blocked by the provider
GPT-6 Astra QSP,36920025,9,List,Which HIV genes were reported to have been sequenced?,PR,,ok,model error,no answer: the request for this paper was blocked by the provider
GPT-6 Astra QSP,36931676,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-6 Astra QSP,36931676,11,List,What type of samples were sequenced?,"Plasma, CSF, PBMC",Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36931676,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36931676,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36931676,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36931676,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36931676,6,List,From which countries were the sequenced samples obtained?,Sweden,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,36961945,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,model error,
GPT-6 Astra QSP,36967989,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-6 Astra QSP,36982978,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-6 Astra QSP,37039023,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37039023,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",ok,model error,
GPT-6 Astra QSP,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen",Plasma; PBMC,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37147875,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
GPT-6 Astra QSP,37272233,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37279764,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,
GPT-6 Astra QSP,37340869,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,37340869,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-6 Astra QSP,37340869,5,Number,How many individuals had samples obtained for HIV sequencing?,1651,1431,ok,model error,
GPT-6 Astra QSP,37340869,6,List,From which countries were the sequenced samples obtained?,Not reported,Russia,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,37376649,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37376649,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",NRTIs,ok,model error,
GPT-6 Astra QSP,37376649,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Lamivudine (3TC), Tenofovir (TAF), Dolutegravir (DTG)",Tenofovir alafenamide (TAF),ok,model error,
GPT-6 Astra QSP,37439411,5,Number,How many individuals had samples obtained for HIV sequencing?,9387,15369,ok,model error,
GPT-6 Astra QSP,37498738,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37498738,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",INSTIs,ok,model error,
GPT-6 Astra QSP,37498738,9,List,Which HIV genes were reported to have been sequenced?,NFLG,PR; RT; IN; CA; Env,ok,model error,
GPT-6 Astra QSP,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37515146,5,Number,How many individuals had samples obtained for HIV sequencing?,379,391,ok,annotation/convention,R6 QID 5 denominator: both 391 and 379 are stated in the paper
GPT-6 Astra QSP,37520425,5,Number,How many individuals had samples obtained for HIV sequencing?,25 or 30,Not reported,ambiguous,annotation/convention,ambiguous: annotation hedges: '25 or 30'
GPT-6 Astra QSP,37520425,7,List,From what years were the sequenced samples obtained?,"2016-2017, 2019-2020",2019–2021,ok,model error,
GPT-6 Astra QSP,37537871,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,ok,model error,
GPT-6 Astra QSP,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-6 Astra QSP,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-6 Astra QSP,37541705,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37541705,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC",None,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37541705,6,List,From which countries were the sequenced samples obtained?,"Botswana, South Africa, Thailand, and the U.S.",Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37541705,7,List,From what years were the sequenced samples obtained?,2020-2021,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37546367,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Nevirapine (NVP), efavirenz (EFV)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,37546367,5,Number,How many individuals had samples obtained for HIV sequencing?,2074,3274,ok,annotation/convention,R6 QID 5 denominator: both 3274 and 2074 are stated in the paper
GPT-6 Astra QSP,37554471,5,Number,How many individuals had samples obtained for HIV sequencing?,1,0,ok,model error,
GPT-6 Astra QSP,37573167,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37573167,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Enfuvirtide, maraviroc, ritonavir",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,37574435,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, BIC, FTC, TAF","Lamivudine (3TC), emtricitabine (FTC), abacavir (ABC), zidovudine (AZT), tenofovir disoproxil fumarate (TDF), tenofovir alafenamide (TAF), efavirenz (EFV), nevirapine (NVP), rilpivirine (RPV), atazanavir (ATV), darunavir (DRV), lopinavir (LPV), ritonavir (RTV), dolutegravir (DTG), elvitegravir (EVG), raltegravir (RAL)",ok,model error,
GPT-6 Astra QSP,37574435,7,List,From what years were the sequenced samples obtained?,2016-2022,Not reported,ok,model error,
GPT-6 Astra QSP,37585352,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,37593123,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-6 Astra QSP,37593123,11,List,What type of samples were sequenced?,Plasma,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37593123,5,Number,How many individuals had samples obtained for HIV sequencing?,57902,0,ok,model error,
GPT-6 Astra QSP,37593123,6,List,From which countries were the sequenced samples obtained?,China,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37593123,7,List,From what years were the sequenced samples obtained?,2004-2022,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,110,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV","Abacavir (ABC); lamivudine (3TC) or emtricitabine (FTC), reported jointly as XTC; stavudine (d4T); zidovudine (AZT); tenofovir disoproxil fumarate (TDF); didanosine (ddI); atazanavir; lopinavir; ritonavir (booster); indinavir; nelfinavir",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ambiguous,annotation/convention,"ambiguous: the quoted text is the journal's data-deposition policy statement, not evidence of an actual deposition"
GPT-6 Astra QSP,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-6 Astra QSP,37701387,6,List,From which countries were the sequenced samples obtained?,Italy,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37701387,7,List,From what years were the sequenced samples obtained?,2020-2021,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37701387,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"RT, IN",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-6 Astra QSP,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-6 Astra QSP,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTIs,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Zidovudine (ZDV),ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37817087,11,List,What type of samples were sequenced?,"Serum, Plasma, DBS",Plasma; dried serum/plasma spots,ok,model error,
GPT-6 Astra QSP,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,wrong,annotation/convention,"wrong: GenBank accession numbers (OR259825 etc.) appear in a table; the QSP rule says accessions mean Yes, annotation says No"
GPT-6 Astra QSP,37878637,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,OR259825; OR259967; OR259851; OR259781,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,37880705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,wrong,annotation/convention,"wrong: systematic review of pretreatment drug resistance studies in Ethiopia (article type REVIEW); the QSP rule says reviews get No, the annotation says Yes and records pooled primary-study details"
GPT-6 Astra QSP,37880705,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,37880705,5,Number,How many individuals had samples obtained for HIV sequencing?,1070,0,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,37880705,6,List,From which countries were the sequenced samples obtained?,Ethiopia,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,37880705,7,List,From what years were the sequenced samples obtained?,2003-2018,Not applicable,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,37910452,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-6 Astra QSP,37914679,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
GPT-6 Astra QSP,37938856,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,37938856,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-6 Astra QSP,37938856,5,Number,How many individuals had samples obtained for HIV sequencing?,820 or 46,Not reported,ambiguous,annotation/convention,ambiguous: annotation hedges: '820 or 46'
GPT-6 Astra QSP,37946329,5,Number,How many individuals had samples obtained for HIV sequencing?,921,1078,ok,annotation/convention,R6 QID 5 denominator: both 1078 and 921 are stated in the paper
GPT-6 Astra QSP,37957382,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,model error,
GPT-6 Astra QSP,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","PR, RT, IN, CA, Env",ok,model error,
GPT-6 Astra QSP,37973713,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,ok,model error,
GPT-6 Astra QSP,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland",Poland,ok,model error,
GPT-6 Astra QSP,37976080,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,"ambiguous: ML paper reuses PhenoSense fold-ratio data from a database; the QSP rule ('reports IC50/EC50/fold change') supports Yes, the curators applied a 'new data' standard"
GPT-6 Astra QSP,38005921,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ok,model error,
GPT-6 Astra QSP,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,38020274,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Stavudine (d4T), lamivudine (3TC), nevirapine (NVP), ritonavir",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,38020274,5,Number,How many individuals had samples obtained for HIV sequencing?,311,Not reported,ok,model error,
GPT-6 Astra QSP,38058846,11,List,What type of samples were sequenced?,Not reported,Plasma,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,38140553,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-6 Astra QSP,38140553,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-6 Astra QSP,38140553,4,List,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,All nucleotide sequences obtained in the study were deposited in the international database of the Los Alamos laboratory (Supplemental Table S4). Table S4: Access numbers of all analyzed HIV-1 sequences in the Los Alamos National Laboratory database (GenBank).,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,38152686,6,List,From which countries were the sequenced samples obtained?,Not reported,Brazil,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,38314093,11,List,What type of samples were sequenced?,Serum,Plasma,ok,model error,
GPT-6 Astra QSP,38427738,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-6 Astra QSP,38427738,9,List,Which HIV genes were reported to have been sequenced?,"Gag, Pol, Env, Nef, vpu","PR, RT, IN, CA, Env",ok,model error,
GPT-6 Astra QSP,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,234,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,40400229,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes (PrEP),No,ok,model error,
GPT-6 Astra QSP,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-6 Astra QSP,40431710,10,List,What method was used for sequencing?,Sanger,NGS,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-6 Astra QSP,40431710,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-6 Astra QSP,40596906,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not stated,"Zidovudine (ZDV), lamivudine (3TC), nevirapine (NVP), lopinavir, ritonavir, efavirenz (EFV)",ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
GPT-6 Astra QSP,40713598,5,Number,How many individuals had samples obtained for HIV sequencing?,20,96,ok,annotation/convention,R6 QID 5 denominator: both 96 and 20 are stated in the paper
GPT-6 Astra QSP,40763144,5,Number,How many individuals had samples obtained for HIV sequencing?,295,363,ok,annotation/convention,R6 QID 5 denominator: both 363 and 295 are stated in the paper
GPT-6 Astra QSP,40779404,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Unknown,Yes,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Unknown'
GPT-6 Astra QSP,40779404,16,List,Which drugs were received by individuals in the study before sample sequencing?,TFV (no other ARVs specified; Data in supplementary methods),"Tenofovir (TFV; formulation unspecified), dolutegravir, abacavir, lamivudine",ambiguous,annotation/convention,ambiguous: annotation hedges: 'TFV (no other ARVs specified; Data in supplementary methods)'
GPT-6 Astra QSP,40839365,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",INSTIs,ok,model error,
