pmid,qid,question,chunk_ids,sections,scores,embedding_model
40391923,4,What were the GenBank accession numbers for sequenced HIV isolates?,2|13|4|10|11,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.5179|0.4764|0.4664|0.4506|0.4342,text-embedding-3-small
40391923,5,From which countries were the sequenced samples obtained?,2|3|13|10|9,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.4272|0.3987|0.3931|0.3699|0.3473,text-embedding-3-small
40391923,6,From which countries were the sequenced samples obtained?,2|3|13|10|9,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION,0.4272|0.3987|0.3931|0.3699|0.3473,text-embedding-3-small
40391923,7,From what years were the sequenced samples obtained?,2|3|10|13|6,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS,0.3979|0.3925|0.3533|0.3436|0.2973,text-embedding-3-small
40391923,8,Were samples cloned prior to sequencing?,3|2|10|12|13,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Supplementary Data|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes,0.3593|0.3099|0.2983|0.2833|0.2806,text-embedding-3-small
40391923,9,Which HIV genes were reported to have been sequenced?,2|13|10|3|1,Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > METHODS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > Notes|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > DISCUSSION|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study > RESULTS|Drug Resistance in People With Viremia on Dolutegravir-based Antiretroviral Therapy in Sub-Saharan Africa: The DTG RESIST Study,0.5230|0.5002|0.4704|0.4610|0.4567,text-embedding-3-small
40400229,1,Does the paper report HIV sequences from patient samples?,3|7|4|1|2,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS,0.5095|0.4443|0.4331|0.4219|0.4198,text-embedding-3-small
40400229,10,What method was used for sequencing?,2|3|7|5|8,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.2579|0.2430|0.2387|0.2366|0.2301,text-embedding-3-small
40400229,11,What type of samples were sequenced?,2|3|5|7|6,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.2984|0.2807|0.2718|0.2550|0.2535,text-embedding-3-small
40400229,12,How many individuals had samples obtained for HIV sequencing?,3|4|7|6|5,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.5350|0.5161|0.5073|0.4728|0.4687,text-embedding-3-small
40400229,13,Were the patients in the study in a clinical trial?,2|10|7|3|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.5005|0.4771|0.4768|0.4592|0.4553,text-embedding-3-small
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,3|7|1|4|6,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.5389|0.5296|0.4977|0.4909|0.4872,text-embedding-3-small
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,2|8|7|3|5,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.4405|0.4355|0.4263|0.4132|0.4086,text-embedding-3-small
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,2|3|7|5|8,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.4729|0.4329|0.4234|0.4196|0.4192,text-embedding-3-small
40400229,2,Does the paper report in vitro drug susceptibility data?,1|6|3|5|2,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS,0.4077|0.3948|0.3865|0.3696|0.3593,text-embedding-3-small
40400229,3,What were the GenBank accession numbers for sequenced HIV isolates?,7|6|3|4|1,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract,0.4684|0.4625|0.4437|0.4052|0.3537,text-embedding-3-small
40400229,4,What were the GenBank accession numbers for sequenced HIV isolates?,7|6|3|4|1,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > Abstract,0.4684|0.4625|0.4437|0.4052|0.3537,text-embedding-3-small
40400229,5,From which countries were the sequenced samples obtained?,2|3|6|7|10,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS,0.3440|0.3124|0.3003|0.2979|0.2939,text-embedding-3-small
40400229,6,From which countries were the sequenced samples obtained?,2|3|6|7|10,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS > AUTHOR CONTRIBUTIONS,0.3440|0.3124|0.3003|0.2979|0.2939,text-embedding-3-small
40400229,7,From what years were the sequenced samples obtained?,3|2|6|7|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.3429|0.3092|0.2839|0.2759|0.2688,text-embedding-3-small
40400229,8,Were samples cloned prior to sequencing?,3|2|5|7|6,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,0.2966|0.2917|0.2871|0.2778|0.2674,text-embedding-3-small
40400229,9,Which HIV genes were reported to have been sequenced?,6|3|7|4|2,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS,0.4548|0.4459|0.4348|0.3957|0.3847,text-embedding-3-small
40431710,1,Does the paper report HIV sequences from patient samples?,21|12|11|20|13,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,0.5408|0.5185|0.5075|0.5003|0.4833,text-embedding-3-small
40431710,10,What method was used for sequencing?,12|9|8|11|10,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,0.3152|0.3142|0.3022|0.2961|0.2785,text-embedding-3-small
40431710,11,What type of samples were sequenced?,8|12|11|9|10,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,0.3476|0.3460|0.3385|0.3118|0.3030,text-embedding-3-small
40431710,12,How many individuals had samples obtained for HIV sequencing?,11|2|12|10|13,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,0.5306|0.5077|0.5018|0.4985|0.4818,text-embedding-3-small
40431710,13,Were the patients in the study in a clinical trial?,21|5|10|20|9,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,0.4357|0.3877|0.3682|0.3623|0.3619,text-embedding-3-small
40431710,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,13|21|20|11|10,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,0.5776|0.5689|0.5659|0.5659|0.5573,text-embedding-3-small
