pmid,qid,question,chunk_ids,sections,scores
18715920,7,From what years were the sequenced samples obtained?,7|11|2|12|23,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Classical in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Antiviral compounds.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION,5.9761|4.2268|3.8535|3.4576|3.0242
18715920,8,Were samples cloned prior to sequencing?,6|7|12|3|16,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,3.8127|3.5833|2.8948|2.8772|0.9051
18715920,9,Which HIV genes were reported to have been sequenced?,26|6|22|28|12,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Automated in vitro selection of EVG-resistant viruses.,8.9505|8.1367|5.8124|5.3736|4.9123
19104010,1,Does the paper report HIV sequences from patient samples?,30|14|31|32|22,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is an authentic inhibitor of HIV-1 integration.",4.1329|3.8151|3.2979|2.6526|2.5409
19104010,10,What method was used for sequencing?,13|16|12|6|23,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > 2-LTR circle accumulation assay.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Drug combination studies.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is synergistic in combination with approved HIV-1 antiviral drugs.",6.1562|5.4522|4.5458|3.9407|3.5348
19104010,11,What type of samples were sequenced?,16|3|1|27|15,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Cells.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > Abstract|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Viral resistance selections.",3.6822|3.4348|2.4956|2.4860|0.6264
19104010,12,How many individuals had samples obtained for HIV sequencing?,16|27|17|6|34,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 inhibits HIV-1 IN function.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION",5.1967|4.3985|3.9825|3.7185|3.3602
19104010,13,Were the patients in the study in a clinical trial?,28|30|32|1|10,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > Abstract|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Antiviral and cytotoxicity assays.",4.5289|3.1698|3.0547|2.9962|2.9561
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,30|14|31|32|27,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.",6.6406|5.2703|4.9128|4.8254|4.5455
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,16|6|8|14|17,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > IN strand transfer assay.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 inhibits HIV-1 IN function.",5.0334|4.6426|4.5641|4.3547|4.2954
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,16|6|8|24|14,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > IN strand transfer assay.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is synergistic in combination with approved HIV-1 antiviral drugs.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.",5.0334|4.6426|4.5641|4.4385|4.3547
19104010,2,Does the paper report in vitro drug susceptibility data?,32|30|12|31|13,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Drug combination studies.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > 2-LTR circle accumulation assay.",7.0791|3.4998|3.3695|3.3248|3.3045
19104010,3,What were the GenBank accession numbers for sequenced HIV isolates?,16|27|14|9|13,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Antiviral and cytotoxicity assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > 2-LTR circle accumulation assay.",4.4396|2.3052|1.9008|1.8832|1.8656
