pmid,qid,question,chunk_ids,sections,scores,embedding_model
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,6|3|17|15|13,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.6019|0.5625|0.5578|0.5492|0.5381,text-embedding-3-small
18715920,5,From which countries were the sequenced samples obtained?,3|6|15|27|17,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.,0.4393|0.4318|0.3472|0.3457|0.3422,text-embedding-3-small
18715920,6,From which countries were the sequenced samples obtained?,3|6|15|27|17,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > DISCUSSION|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.,0.4393|0.4318|0.3472|0.3457|0.3422,text-embedding-3-small
18715920,7,From what years were the sequenced samples obtained?,6|3|9|8|15,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.,0.4036|0.3978|0.3476|0.3355|0.3321,text-embedding-3-small
18715920,8,Were samples cloned prior to sequencing?,3|6|7|8|9,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Classical in vitro selection experiments.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Automated in vitro selection experiments in 96-well plates.,0.3785|0.3690|0.3657|0.3427|0.3374,text-embedding-3-small
18715920,9,Which HIV genes were reported to have been sequenced?,6|20|17|15|3,Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Genotyping.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Replication kinetics of mutant HIV-1 viruses.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Confirmation of primary resistance mutations.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > RESULTS > Evaluation of phenotypic (cross-) resistance of the selected HIV-1 strains.|Resistance Mutations in Human Immunodeficiency Virus Type 1 Integrase Selected with Elvitegravir Confer Reduced Susceptibility to a Wide Range of Integrase Inhibitors ^▿^ > MATERIALS AND METHODS > Cells and viruses.,0.5959|0.5519|0.5476|0.5441|0.5436,text-embedding-3-small
19104010,1,Does the paper report HIV sequences from patient samples?,16|5|30|27|22,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Viruses.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is an authentic inhibitor of HIV-1 integration.",0.4810|0.4728|0.4500|0.4450|0.4436,text-embedding-3-small
19104010,10,What method was used for sequencing?,16|8|14|7|6,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > IN strand transfer assay.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Expression and purification of HIV-1 IN.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.",0.5649|0.4618|0.3996|0.3750|0.3656,text-embedding-3-small
19104010,11,What type of samples were sequenced?,16|14|5|8|7,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Alu-PCR assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Viruses.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > IN strand transfer assay.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Expression and purification of HIV-1 IN.",0.5186|0.3574|0.3555|0.3517|0.3470,text-embedding-3-small
19104010,12,How many individuals had samples obtained for HIV sequencing?,16|6|5|27|28,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Construction of infectious HIV-1 DNA clones with IN mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Viruses.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors.",0.5766|0.5080|0.5063|0.4913|0.4870,text-embedding-3-small
19104010,13,Were the patients in the study in a clinical trial?,11|10|24|23|28,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Antiviral and cytotoxicity assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Antiviral and cytotoxicity assays.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is synergistic in combination with approved HIV-1 antiviral drugs.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is synergistic in combination with approved HIV-1 antiviral drugs.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors.",0.3405|0.3362|0.3296|0.3272|0.3270,text-embedding-3-small
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,30|5|26|22|27,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Viruses.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Phenotypic resistance to GS-9160.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is an authentic inhibitor of HIV-1 integration.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 selected a novel pattern of IN inhibitor resistance mutations.",0.4964|0.4796|0.4699|0.4651|0.4566,text-embedding-3-small
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,16|2|28|31|23,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Compounds.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is synergistic in combination with approved HIV-1 antiviral drugs.",0.4478|0.4448|0.4150|0.4111|0.4041,text-embedding-3-small
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,2|16|28|23|31,"Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Compounds.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > MATERIALS AND METHODS > Clonal sequencing of viral DNA.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > Activity of GS-9160 against mutations conferring resistance to other IN inhibitors.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > RESULTS > GS-9160 is synergistic in combination with approved HIV-1 antiviral drugs.|Preclinical Evaluation of GS-9160, a Novel Inhibitor of Human Immunodeficiency Virus Type 1 Integrase ^▿^ ^†^ > DISCUSSION",0.4877|0.4813|0.4165|0.4107|0.4076,text-embedding-3-small
