PMID,QID,Type,Question,Human Answer,Model Answer,Outcome,GPT-4o FT Answer,GPT-4o FT Correct,Evidence,EvidenceLocation,Rationale,Model,failure_mode,annotation_error,notes
33855437,5,Number,How many individuals had samples obtained for HIV sequencing?,6,5357,FN_wrong_value,6,1,"“We ascertained the overall prevalence of doravirine and rilpivirine mutations in treatment-naive subjects genotyped in Quebec genotyping programme (n = 5357).” “Patient-derived subtype B (n = 3) and non-B clinical isolates (n = 3), as well as the HIV NL4.3 recombinant clone were subjected to in vitro cell culture selections to ascertain emergent resistance to doravirine and rilpivirine.”",main_text,"Page 4 explicitly identifies 5357 genotyped individuals. Six patient-derived isolates were also studied in culture, but their overlap with the clinical genotyping population is not specified, so they are not added as a demonstrably mutually exclusive patient group. The laboratory clone is not an individual.",GPT-6 Astra QSP,,,
34516245,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,FN_missed,Yes,1,"""Clonal sequencing confirmed the identity of the P0 stock viruses."" ""A minimum of 20 clones from each sample were sequenced.""",main_text,"Although laboratory-virus cloning and sequencing are described on pages 4 and 11, the question's applicability rule requires patient-derived sequences. None were reported.",GPT-6 Astra QSP,,,
35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",None,FN_missed,No,0,"“We included adults enrolled at Butha-Buthe Government Hospital who transitioned from tenofovir disoproxil fumarate (TDF)/lamivudine (3TC)/EFV to TDF/3TC/DTG within first-line ART from 10 February until 15 December 2020.” “In this study within DO-REAL, we assessed the effect of transitioning from EFV- to DTG-based ART on self-reported psychological and physical wellbeing.”",main_text,"Treatment regimens are described, but no HIV sequences from individuals are reported. The required answer is therefore None; this does not mean participants had no ARV exposure.",GPT-6 Astra QSP,,,
35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",None,FN_missed,No,0,"“We included adults enrolled at Butha-Buthe Government Hospital who transitioned from tenofovir disoproxil fumarate (TDF)/lamivudine (3TC)/EFV to TDF/3TC/DTG within first-line ART from 10 February until 15 December 2020.” “In this study within DO-REAL, we assessed the effect of transitioning from EFV- to DTG-based ART on self-reported psychological and physical wellbeing.”",main_text,"Although specific ARVs are named, there is no reported patient HIV sequencing to which prior drug exposure can be linked. The specified no-sequences rule requires None.",GPT-6 Astra QSP,,,
35913500,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,FP,No,1,"""One patient had an N155H resistance mutation at baseline."" ""For patients who start without viral suppression, an HIV viral load is repeated every 4 weeks until it is below the lower limit of detection for our laboratory’s assay (<30 copies/mL), with resistance testing performed at the second injection visit if the viral load remains detectable.""",main_text,"The Results report a patient-derived resistance mutation, and the Methods describe clinical resistance testing. This meets the mutation-reporting criterion, although full sequences and sequencing methods are not provided.",GPT-6 Astra QSP,,,
35913500,11,List,What type of samples were sequenced?,Not reported,Plasma,FP,No,1,"""For patients who start without viral suppression, an HIV viral load is repeated every 4 weeks until it is below the lower limit of detection for our laboratory’s assay (<30 copies/mL), with resistance testing performed at the second injection visit if the viral load remains detectable."" ""If an injection is delayed by 10 days or more, blood work for resistance testing is obtained in addition to viral load testing.""",main_text,Plasma is inferred under the supplied rule for resistance testing in patients with detectable viremia during treatment. The article does not explicitly identify the specimen matrix; blood work alone does not establish whole-blood sequencing.,GPT-6 Astra QSP,,,
35913500,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs, PIs, INSTIs",FP,No,1,"""Antiretroviral regimen at referral"" lists ""TAF/FTC/BIC,"" ""TAF/FTC/DRV-c,"" ""ABC/3TC/DTG,"" and ""TDF/3TC/DOR."" ""Includes DRV-c/DTG, 3TC/DTG, 3TC/DOR/DTG, and TAF/FTC/RPV/DTG.""",table,"Table 1 documents prior/referral regimens containing NRTIs, NNRTIs, PIs, and INSTIs. These are cohort-level histories; the article does not link individual regimens to particular genotypes or specify their timing relative to historical baseline resistance tests.",GPT-6 Astra QSP,,,
35913500,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir alafenamide (TAF), tenofovir disoproxil fumarate (TDF), emtricitabine (FTC), lamivudine (3TC), abacavir (ABC), bictegravir (BIC), dolutegravir (DTG), elvitegravir (ELV), darunavir (DRV), doravirine (DOR), rilpivirine (RPV), cabotegravir (CAB)",FP,No,1,"""Antiretroviral regimen at referral"" lists ""TAF/FTC/BIC,"" ""TAF/FTC/DRV-c,"" ""ABC/3TC/DTG,"" ""TDF/3TC/DOR,"" and ""ELV-c containing regimen."" ""Includes DRV-c/DTG, 3TC/DTG, 3TC/DOR/DTG, and TAF/FTC/RPV/DTG."" ""Includes TAF/FTC/ELV-c and TAF/FTC/DRV/ELV-c.""",table,Table 1 and its footnotes identify the oral drugs used at referral. Cabotegravir and rilpivirine were also administered before protocol-specified follow-up resistance testing at the second injection visit. The article does not link these cohort-level exposures to individual sequencing results; cobicistat is a booster rather than an ARV.,GPT-6 Astra QSP,,,
35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,Not reported,FN_missed,0,0,"""One patient had an N155H resistance mutation at baseline."" ""If an injection is delayed by 10 days or more, blood work for resistance testing is obtained in addition to viral load testing.""",main_text,"At least one individual has a reported mutation, but the total number undergoing genotyping is not specified. The cohort size of 39 and the number with resistance mutations do not establish the total number sampled for sequencing.",GPT-6 Astra QSP,,,
35913500,6,List,From which countries were the sequenced samples obtained?,Not Reported,United States,FP,No,1,"""Ward 86 is one of the oldest HIV clinics in the United States and the safety-net HIV clinic for the city and county of San Francisco."" ""Limitations of our study are that we evaluated a small cohort of patients at a single clinical site during the first year of the CAB/RPV-LA rollout.""",main_text,"The clinical cohort and resistance-testing program were based in San Francisco, United States.",GPT-6 Astra QSP,,,
35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,Not reported,FN_missed,No,0,"""Of 51 patients who received injections between June 2021 and April 2022, our analytic sample with at least 2 follow-up injections consisted of 39 patients (Table 1)."" ""One patient had an N155H resistance mutation at baseline.""",main_text,"The program operated during 2021–2022, but the article does not date the samples underlying the reported baseline resistance findings or identify collection dates for completed genotypes. Treatment dates alone do not establish sequencing-sample collection dates.",GPT-6 Astra QSP,,,
36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,FP,Sanger sequencing,0,“PCR amplicons were purified with illustraTM ExoProStarTM (Cytiva) and sequenced by Macrogen Inc.” “Lasergene software was used to assemble and manually edit the sequences.”,main_text,"The methods on page 424 describe direct sequencing of purified PCR amplicons, supporting Sanger sequencing under the supplied classification rule. The paper does not explicitly name Sanger chemistry or a sequencing instrument.",GPT-6 Astra QSP,,,
36597160,5,Number,How many individuals had samples obtained for HIV sequencing?,6,154,FN_wrong_value,6,1,"""For the 314 patients with virologic success, 143 had a genotype available at baseline in the electronic health record (EHR); for the 13 patients with virologic failure, genotypes were available for 9, either available in the EHR or retrospectively collected at the virology lab."" ""This patient continued E/C/F/TDF for an additional year but with persistent low levels viraemia. 18 months later, INSTI associated resistance was confirmed and the patient switched to PI/r""",table,"Table 4 documents 152 individuals with historical baseline genotypes. Table 3 adds patient 11, whose baseline genotype was unavailable but whose failure genotype was reported, and its footnote adds later resistance testing for patient 08, whose baseline and initial failure genotypes were unavailable/not done. Thus 154 distinct individuals have reported genotypic information across historical, study-period, and later follow-up testing; six had available genotypes at the study-period failure endpoint.",GPT-6 Astra QSP,,,
36597160,7,List,From what years were the sequenced samples obtained?,2014,Not reported,FN_missed,2014-2015,1,"""Eligible patients were adult patients (≥18 years old) with controlled HIV-1 infection on any stable ART regimen (no limit on the previous number of regimens) who switched to E/C/F/TDF between February 2014 (date of approval of E/C/F/TDF in France) and August 2015."" ""At baseline (date of the switch), the following data were extracted: date of HIV infection, date of first ART, number of previous ART and type of regimen, nadir CD4 T cell count or CD4 T cell count at ART initiation, CD4 T cell count (within 6 months before the switch), the reason for switching to E/C/F/TDF, creatinine levels and estimated Glomerular filtration rate (eGFR) using MDRD, history of prior virologic failure and previous genotypes.""",main_text,"The 2014–2015 dates describe treatment switching, not specimen collection. Genotypes include historical tests and subsequent failure tests, but their actual collection years are not provided; the switching dates cannot establish the complete sequencing-sample year span.",GPT-6 Astra QSP,,,
36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2021,FP,2020-2021,0,"“Participants were recruited between 28 August 2020 and 10 November 2021.” “Baseline GART was performed retrospectively for all participants after completion of week 24 visits, on plasma samples stored at enrollment (with results not returned to clinicians).”",main_text,"Baseline sequencing specimens were collected at enrollment during 2020–2021. Follow-up resistance testing is described by study week, without explicit calendar collection dates.",GPT-6 Astra QSP,,,
36659824,11,List,What type of samples were sequenced?,Not reported,Plasma,FP,No,1,"“At the baseline visit, samples were collected for routine testing, confirmation of HIV serology and HIV resistance genotyping.” “In such cases, National French Guidelines also recommended performance of a resistance genotypic test and determination of BIC, FTC and tenofovir (TFV) plasma concentrations.”",main_text,Genotyping was performed at diagnosis and assessed during plasma-viremia-defined treatment failure. Plasma is inferred using the specified specimen rules; the article does not explicitly describe the material extracted for sequencing.,GPT-6 Astra QSP,,,
36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,FN_wrong_value,0,0,"“At the baseline visit, samples were collected for routine testing, confirmation of HIV serology and HIV resistance genotyping.” “Thus, 112 were included in the ITT-FDA Snapshot analysis (see flow chart, Figure 1).”",main_text,"Baseline genotyping was part of the sampling protocol for the 112-person analyzed HIV cohort (pages 770–771; Figure 1, page 772). Follow-up resistance testing involved members of this same cohort and does not add unique individuals; the paper does not separately enumerate successful genotypes.",GPT-6 Astra QSP,,,
36660819,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",FP,PBMC,0,"“The additional participant who had non–protocol-defined virologic failure at week 48 (Q8W) had no RAMs to RPV or INSTIs present from baseline peripheral blood mononuclear cells; the RPV RAM E138K and the integrase inhibitor mutation S230S/R were detected at week 56.” “The 2 participants with CVF since the week 96 analysis had no RPV or INSTI RAMs at baseline; however, both had treatment-emergent RAMs in SVF samples (Supplementary Table 1).”",main_text,Page 4 explicitly identifies baseline PBMC genotyping. Plasma is included under the specified inference rule for samples collected at suspected virological failure; those failure-sample genotypes are described on page 7.,GPT-6 Astra QSP,,,
36660819,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,FP,No,1,"“Endpoints assessed at week 152 included the following: the proportion of participants with plasma HIV-1 RNA less than 50 copies/mL and HIV-1 RNA of 50 copies/mL or greater, incidence of confirmed virologic failure (CVF; 2 consecutive plasma HIV-1 RNA measurements ≥200 copies/mL), treatment-emergent genotypic and phenotypic resistance, incidence and severity of adverse events (AEs), proportion of discontinuations due to AEs, CAB+RPV pharmacokinetics, and treatment satisfaction measured using the HIV Treatment Satisfaction Questionnaire status version (HIVTSQs) [22].”",main_text,"The Outcomes section on page 2 explicitly identifies phenotypic resistance as an assessed endpoint, meeting the criterion for phenotypic resistance testing. Numerical patient-virus susceptibility results and assay details are not provided in the supplied PDF; referenced supplementary files are not included.",GPT-6 Astra QSP,,,
36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,14,FN_wrong_value,1045,0,"“Overall, 12 (2.3%) participants in the Q8W arm and 2 (0.4%) in the Q4W arm had CVF.” “Eight and 10 participants with CVF had treatment-emergent, resistance-associated mutations to RPV and integrase inhibitors, respectively.”",main_text,"The Abstract on page 1 identifies 14 participants in the virological-failure population for which resistance outcomes are reported. This is the identifiable resistance-analysis population, rather than all 1045 treated participants; the PDF does not separately enumerate every baseline sample genotyped. The non–protocol-defined failure is included in the reported total and is not added again.",GPT-6 Astra QSP,,,
36694270,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,FN_missed,Sanger sequencing,1,"“One-step RT-PCR and nested PCR was performed on a GeneAmp®9700PCR instrument (ABI, USA).” “The target bands were subjected to 1% agarose gel electrophoresis for validation, and the amplified product was sequenced.” “Sequences were then spliced and edited using the Seqman pro and Megalign7.0V software, and were submitted to the drug resistance database of Stanford University (https://hivdb.stanford.edu/hivdb/by-sequences/) for HIV-1 subtypes and resistance mutation analysis.”",main_text,"The paper reports amplicon sequencing but does not identify sequencing chemistry, a sequencing instrument, or explicitly state Sanger, direct PCR sequencing, or NGS. The ABI instrument mentioned is a PCR thermocycler, not a sequencing platform.",GPT-6 Astra QSP,,,
36738248,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported,Yes,FP,No,1,"“At sample collection, 20.4% of PLHIV were on ART and 76.3% were ART naive.” “The SHCS Drug Resistance Database contains the HIV sequence data, primarily partial pol genes, sequenced from these plasma samples using SS.”",main_text,"Plasma sequences were obtained from ART-experienced individuals, satisfying the specified Yes criterion. The article does not separately establish clinical virological failure for every treated participant.",GPT-6 Astra QSP,,,
36779485,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,FN_missed,Yes,1,“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “Our retrospective analysis indicates that rilpivirine DRMs are common in a setting wherein NNRTI-based treatment was widely implemented.”,main_text,"This research letter reanalyzes previously described patient sequence data from reference 7. It does not report generating new sequences from clinical samples, so it does not meet the specified new-sequence criterion.",GPT-6 Astra QSP,,,
36779485,11,List,What type of samples were sequenced?,Plasma,Not applicable,FN_missed,No,0,"“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “We acknowledge that our resistance data are not obtained from patients with a suppressed viral load, hence the prevalence of rilpivirine DRMs might be an overestimation.”",main_text,"The letter does not report newly sequencing clinical specimens. Under the Question 1 exclusion, the specimen-type answer is Not applicable.",GPT-6 Astra QSP,,,
36779485,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,FN_missed,Yes,1,“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “Rilpivirine cross-resistance was common in patients failing NNRTI-based ART in our cohort with 74.5% of patients presenting with at least one rilpivirine mutation.”,main_text,"The existing dataset includes individuals with treatment failure, but no new patient sequences are generated in this paper. The prescribed Question 1 applicability rule therefore requires Not applicable.",GPT-6 Astra QSP,,,
36779485,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,FN_missed,Yes,1,“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “Rilpivirine cross-resistance was common in patients failing NNRTI-based ART in our cohort with 74.5% of patients presenting with at least one rilpivirine mutation.”,main_text,"Previously treated individuals are represented in the reanalyzed dataset. However, because the paper does not meet the new patient-sequence criterion in Question 1, the explicit exclusion rule for this question requires No.",GPT-6 Astra QSP,,,
36779485,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI",None,FN_missed,NNRTI,1,“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “Our retrospective analysis indicates that rilpivirine DRMs are common in a setting wherein NNRTI-based treatment was widely implemented.”,main_text,"Although NNRTI exposure is described for the existing cohort, the paper reports no newly generated patient sequences. The prescribed exclusion rule therefore requires None rather than extraction of historical treatment classes.",GPT-6 Astra QSP,,,
36779485,16,List,Which drugs were received by individuals in the study before sample sequencing?,RPV,None,FN_missed,Rilpivirine,1,“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “Our retrospective analysis indicates that rilpivirine DRMs are common in a setting wherein NNRTI-based treatment was widely implemented.”,main_text,"The article does not report newly generated patient sequences, so the specified exclusion rule requires None. Drugs discussed as potential therapies or in cited trials do not establish individual drug exposure in this cohort.",GPT-6 Astra QSP,,,
36779485,5,Number,How many individuals had samples obtained for HIV sequencing?,1649,0,FN_missed,1649,1,“Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].” “Our retrospective analysis indicates that rilpivirine DRMs are common in a setting wherein NNRTI-based treatment was widely implemented.”,main_text,"Existing data represent 1649 individuals, but new sample sequencing is not reported. Under the specified rule for analyses using sequences from previous studies, the answer is 0.",GPT-6 Astra QSP,,,
36779485,6,List,From which countries were the sequenced samples obtained?,South Africa,Not applicable,FN_missed,South Africa,1,“We investigated rilpivirine cross-resistance in treatment-naive and experienced patients in South Africa.” “Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described [7].”,main_text,"The underlying cohort is South African, but the article does not report newly generated patient sequences. The Question 1 exclusion therefore requires Not applicable.",GPT-6 Astra QSP,,,
36795586,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,FP,No,1,"“Targeted HIV genotype testing was only sporadically available on a limited basis for CAHLIV failing second-line ART, and these results did not include information on DTG resistance.” “The average number of HIV genotype results per year per COE was 12 (range, 0–30), with no DTG resistance testing.”",main_text,"The Methods and Results on page 577 document patient HIV genotyping and the availability of resulting genotypes, meeting the question's criterion for genotypic resistance testing. However, the article reports testing availability rather than individual sequences or mutation results.",GPT-6 Astra QSP,,,
36795586,11,List,What type of samples were sequenced?,Not reported,Plasma,FP,No,1,"“Assessment of ART drug resistance mutations via HIV genotype testing was not available as part of routine care at the COEs or pre-switch to DTG.” “Targeted HIV genotype testing was only sporadically available on a limited basis for CAHLIV failing second-line ART, and these results did not include information on DTG resistance.”",main_text,Genotyping was associated with second-line treatment failure. Plasma is inferred under the supplied rule for specimens obtained at virological failure; the article does not explicitly name the specimen type.,GPT-6 Astra QSP,,,
36795586,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,FP,No,1,"“Targeted HIV genotype testing was only sporadically available on a limited basis for CAHLIV failing second-line ART, and these results did not include information on DTG resistance.” “The average number of HIV genotype results per year per COE was 12 (range, 0–30), with no DTG resistance testing.”",main_text,The genotyped population is explicitly described as children and adolescents failing second-line ART.,GPT-6 Astra QSP,,,
36795586,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,FP,No,1,"“Targeted HIV genotype testing was only sporadically available on a limited basis for CAHLIV failing second-line ART, and these results did not include information on DTG resistance.” “The average number of HIV genotype results per year per COE was 12 (range, 0–30), with no DTG resistance testing.”",main_text,The patients receiving targeted genotyping had failed second-line ART and therefore had previous ARV exposure.,GPT-6 Astra QSP,,,
36795586,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTIs; NNRTIs; PIs,FP,No,1,"“Targeted HIV genotype testing was only sporadically available on a limited basis for CAHLIV failing second-line ART, and these results did not include information on DTG resistance.” “Single drug substitutions (SDS) were defined as an ART regimen change in which the nucleoside reverse transcriptase inhibitor (NRTI) backbone remained the same, and the only change was from the nonnucleoside reverse transcriptase (NNRTI) or protease inhibitor (PI) to DTG.”",main_text,"The article places targeted genotyping in patients failing second-line ART and identifies NRTI, NNRTI, and PI treatment in the cohort. These classes are consistent with the supplied historical second-line treatment inference rule. DTG use is not established as preceding genotyping.",GPT-6 Astra QSP,,,
36795586,6,List,From which countries were the sequenced samples obtained?,Not reported,Botswana; Eswatini; Lesotho; Malawi; Tanzania; Uganda,FP,No,1,"“COEs included in the study were from Botswana, Eswatini, Lesotho, Malawi, Tanzania-Mbeya, Tanzania-Mwanza and Uganda.” “The average number of HIV genotype results per year per COE was 12 (range, 0–30), with no DTG resistance testing.”",main_text,Page 577 identifies the six countries providing patient care and reports genotyping availability across these centers. The article does not identify which individual centers contributed the available genotypes.,GPT-6 Astra QSP,,,
