PMID,GPT-4o base Correct,GPT-4o FT Correct,GPT-4o FT+QSP Correct,GPT-4o QSP Correct,Llama3.1-70B base Correct,Llama3.1-70B FT Correct,Llama3.1-70B FT+QSP Correct,Llama3.1-70B QSP Correct,Llama3.1-8B base Correct,Llama3.1-8B FT Correct,Llama3.1-8B FT+QSP Correct,Llama3.1-8B QSP Correct,question_count,GPT-4o base Exact Match,GPT-4o FT Exact Match,GPT-4o FT+QSP Exact Match,GPT-4o QSP Exact Match,Llama3.1-70B base Exact Match,Llama3.1-70B FT Exact Match,Llama3.1-70B FT+QSP Exact Match,Llama3.1-70B QSP Exact Match,Llama3.1-8B base Exact Match,Llama3.1-8B FT Exact Match,Llama3.1-8B FT+QSP Exact Match,Llama3.1-8B QSP Exact Match,GPT-4o FT vs base,GPT-4o QSP vs base,GPT-4o FT+QSP vs base,Llama3.1-70B FT vs base,Llama3.1-70B QSP vs base,Llama3.1-70B FT+QSP vs base,Llama3.1-8B FT vs base,Llama3.1-8B QSP vs base,Llama3.1-8B FT+QSP vs base
27124362,16,16,16,14,14,16,16,16,16,16,15,9,16,1,1,1,0,0,1,1,1,1,1,0,0,both_exact,base_only,both_exact,target_only,target_only,target_only,both_exact,base_only,base_only
28559249,13,13,12,16,14,14,14,14,14,14,14,14,16,0,0,0,1,0,0,0,0,0,0,0,0,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
29373677,14,15,14,16,11,12,13,12,14,12,6,13,16,0,0,0,1,0,0,0,0,0,0,0,0,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
30053052,15,16,15,12,12,13,13,12,13,9,12,14,16,0,1,0,0,0,0,0,0,0,0,0,0,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
30803972,16,15,16,15,14,16,16,14,14,15,15,14,16,1,0,1,0,0,1,1,0,0,0,0,0,base_only,base_only,both_exact,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact
31988104,15,14,14,12,13,14,15,16,15,15,12,11,16,0,0,0,0,0,0,0,1,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact
32601157,15,15,14,15,13,15,14,16,15,15,15,15,16,0,0,0,0,0,0,0,1,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact
33855437,13,16,15,14,11,15,14,13,12,13,12,13,16,0,1,0,0,0,0,0,0,0,0,0,0,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
34516245,16,16,11,12,10,16,15,9,13,12,10,14,16,1,1,0,0,0,1,0,0,0,0,0,0,both_exact,base_only,base_only,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
35730213,15,14,14,14,15,14,14,15,11,14,14,9,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
35913500,11,11,11,11,9,11,11,11,11,11,10,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
35945163,8,12,14,8,8,6,7,6,6,6,6,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36415058,16,16,15,14,14,16,16,16,16,16,16,16,16,1,1,0,0,0,1,1,1,1,1,1,1,both_exact,base_only,base_only,target_only,target_only,target_only,both_exact,both_exact,both_exact
36454248,13,15,14,13,14,13,12,13,13,13,14,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36519389,16,16,14,12,11,16,16,15,16,16,16,11,16,1,1,0,0,0,1,1,0,1,1,1,0,both_exact,base_only,base_only,target_only,neither_exact,target_only,both_exact,base_only,both_exact
36571282,13,15,15,13,13,14,15,14,14,15,8,15,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36597160,12,15,15,14,9,5,5,11,6,6,5,11,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36645792,10,12,15,13,11,15,12,14,12,12,6,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36659824,7,7,10,10,7,7,11,11,7,9,5,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36660819,9,14,9,10,11,8,8,9,9,8,9,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36694270,12,14,13,13,14,14,15,14,14,13,14,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36706364,9,14,14,12,13,6,12,15,8,9,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36738248,13,16,14,14,11,15,14,16,12,16,13,12,16,0,1,0,0,0,0,0,1,0,1,0,0,target_only,neither_exact,neither_exact,neither_exact,target_only,neither_exact,target_only,neither_exact,neither_exact
36751650,15,16,16,16,13,16,16,16,14,16,8,14,16,0,1,1,1,0,1,1,1,0,1,0,0,target_only,target_only,target_only,target_only,target_only,target_only,target_only,neither_exact,neither_exact
36779485,15,15,13,15,16,14,14,14,16,15,10,12,16,0,0,0,0,1,0,0,0,1,0,0,0,neither_exact,neither_exact,neither_exact,base_only,base_only,base_only,base_only,base_only,base_only
36795586,15,16,16,16,11,16,16,16,16,16,13,8,16,0,1,1,1,0,1,1,1,1,1,0,0,target_only,target_only,target_only,target_only,target_only,target_only,both_exact,base_only,base_only
36851704,15,14,14,13,15,15,14,15,14,15,15,15,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36851760,15,16,16,16,15,15,5,16,14,16,14,16,16,0,1,1,1,0,0,0,1,0,1,0,1,target_only,target_only,target_only,neither_exact,target_only,neither_exact,target_only,target_only,neither_exact
36920025,15,16,16,16,15,16,16,16,15,12,12,8,16,0,1,1,1,0,1,1,1,0,0,0,0,target_only,target_only,target_only,target_only,target_only,target_only,neither_exact,neither_exact,neither_exact
36931676,9,16,10,10,8,8,7,12,9,9,9,11,16,0,1,0,0,0,0,0,0,0,0,0,0,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36961945,13,16,16,14,14,16,15,16,12,15,16,11,16,0,1,1,0,0,1,0,1,0,0,1,0,target_only,neither_exact,target_only,target_only,target_only,neither_exact,neither_exact,neither_exact,target_only
36967989,13,15,15,15,11,14,14,13,13,13,15,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
36982978,15,10,16,15,13,16,14,15,15,16,14,8,16,0,0,1,0,0,1,0,0,0,1,0,0,neither_exact,neither_exact,target_only,target_only,neither_exact,neither_exact,target_only,neither_exact,neither_exact
37017009,15,16,15,13,15,16,15,13,14,12,5,13,16,0,1,0,0,0,1,0,0,0,0,0,0,target_only,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37029656,12,16,16,14,13,13,14,13,11,14,13,14,16,0,1,1,0,0,0,0,0,0,0,0,0,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37039023,14,16,15,14,16,14,15,14,13,13,13,15,16,0,1,0,0,1,0,0,0,0,0,0,0,target_only,neither_exact,neither_exact,base_only,base_only,base_only,neither_exact,neither_exact,neither_exact
37042390,16,16,14,16,15,14,15,16,14,16,6,15,16,1,1,0,1,0,0,0,1,0,1,0,0,both_exact,both_exact,base_only,neither_exact,target_only,neither_exact,target_only,neither_exact,neither_exact
37052343,16,16,16,12,14,16,16,16,16,15,2,12,16,1,1,1,0,0,1,1,1,1,0,0,0,both_exact,base_only,both_exact,target_only,target_only,target_only,base_only,base_only,base_only
37071019,15,15,10,7,13,15,15,15,10,14,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37085698,16,16,16,15,15,16,16,16,13,16,15,14,16,1,1,1,0,0,1,1,1,0,1,0,0,both_exact,base_only,both_exact,target_only,target_only,target_only,target_only,neither_exact,neither_exact
37104815,14,15,12,13,11,14,13,13,12,13,11,11,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37112971,15,16,16,16,16,16,14,16,15,15,15,15,16,0,1,1,1,1,1,0,1,0,0,0,0,target_only,target_only,target_only,both_exact,both_exact,base_only,neither_exact,neither_exact,neither_exact
37147875,10,15,14,15,12,14,15,14,11,10,11,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37272233,9,15,14,13,7,14,9,15,11,9,9,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37279764,15,14,16,15,15,15,15,15,11,12,8,14,16,0,0,1,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37327289,15,16,16,16,16,16,16,16,13,15,14,16,16,0,1,1,1,1,1,1,1,0,0,0,1,target_only,target_only,target_only,both_exact,both_exact,both_exact,neither_exact,target_only,neither_exact
37340869,10,9,10,12,11,9,12,9,9,11,8,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37358226,14,16,12,13,12,16,16,16,16,15,16,11,16,0,1,0,0,0,1,1,1,1,0,1,0,target_only,neither_exact,neither_exact,target_only,target_only,target_only,base_only,base_only,both_exact
37376649,14,15,13,12,10,13,12,11,11,11,9,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37381002,13,16,16,15,13,16,13,16,11,14,16,14,16,0,1,1,0,0,1,0,1,0,0,1,0,target_only,neither_exact,target_only,target_only,target_only,neither_exact,neither_exact,neither_exact,target_only
37439411,13,15,14,14,15,15,12,15,12,14,8,15,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37495103,14,16,16,14,14,14,6,14,14,15,12,15,16,0,1,1,0,0,0,0,0,0,0,0,0,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37498738,12,15,13,11,12,13,12,12,14,15,10,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37515095,15,15,14,13,13,15,7,14,14,12,10,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37515146,14,16,16,15,15,16,16,15,14,16,11,15,16,0,1,1,0,0,1,1,0,0,1,0,0,target_only,neither_exact,target_only,target_only,neither_exact,target_only,target_only,neither_exact,neither_exact
37520425,10,16,14,12,15,12,13,14,15,9,4,11,16,0,1,0,0,0,0,0,0,0,0,0,0,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37537871,14,13,16,15,12,13,8,15,9,13,6,14,16,0,0,1,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37540331,15,16,16,14,13,16,16,16,15,16,15,13,16,0,1,1,0,0,1,1,1,0,1,0,0,target_only,neither_exact,target_only,target_only,target_only,target_only,target_only,neither_exact,neither_exact
37541705,10,11,12,12,10,9,8,9,12,8,13,11,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37546367,14,15,15,14,14,13,14,13,13,15,14,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37554471,12,12,10,13,10,14,14,11,10,14,13,8,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37573167,15,16,16,16,15,16,16,16,15,12,14,13,16,0,1,1,1,0,1,1,1,0,0,0,0,target_only,target_only,target_only,target_only,target_only,target_only,neither_exact,neither_exact,neither_exact
37574435,7,14,15,14,8,14,11,13,6,8,7,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37585352,12,14,16,16,13,14,13,14,14,10,10,14,16,0,0,1,1,0,0,0,0,0,0,0,0,neither_exact,target_only,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37593123,12,15,13,14,15,14,15,15,11,14,8,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37626789,16,15,14,14,14,16,16,14,14,16,14,15,16,1,0,0,0,0,1,1,0,0,1,0,0,base_only,base_only,base_only,target_only,neither_exact,target_only,target_only,neither_exact,neither_exact
37632026,14,15,15,14,15,15,15,15,14,9,9,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37632071,14,16,16,15,16,16,16,16,16,16,9,9,16,0,1,1,0,1,1,1,1,1,1,0,0,target_only,neither_exact,target_only,both_exact,both_exact,both_exact,both_exact,base_only,base_only
37649807,14,16,12,12,9,16,16,16,16,16,16,8,16,0,1,0,0,0,1,1,1,1,1,1,0,target_only,neither_exact,neither_exact,target_only,target_only,target_only,both_exact,base_only,both_exact
37662576,16,16,16,16,13,16,16,16,16,16,16,16,16,1,1,1,1,0,1,1,1,1,1,1,1,both_exact,both_exact,both_exact,target_only,target_only,target_only,both_exact,both_exact,both_exact
37674678,16,15,15,15,13,15,15,15,16,14,15,14,16,1,0,0,0,0,0,0,0,1,0,0,0,base_only,base_only,base_only,neither_exact,neither_exact,neither_exact,base_only,base_only,base_only
37701387,13,13,13,15,11,12,12,13,12,12,14,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37716367,15,16,16,16,16,16,16,16,16,16,15,12,16,0,1,1,1,1,1,1,1,1,1,0,0,target_only,target_only,target_only,both_exact,both_exact,both_exact,both_exact,base_only,base_only
37755428,13,13,12,14,13,13,16,14,11,12,14,14,16,0,0,0,0,0,0,1,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact
37775947,13,14,11,14,12,15,9,13,13,15,12,15,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37817087,14,16,14,15,13,16,16,15,14,15,8,13,16,0,1,0,0,0,1,1,0,0,0,0,0,target_only,neither_exact,neither_exact,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact
37823653,14,15,15,13,15,15,15,14,14,12,11,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37872202,15,14,14,13,14,14,14,16,14,14,14,8,16,0,0,0,0,0,0,0,1,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact
37878637,16,16,15,14,14,13,16,15,15,11,12,15,16,1,1,0,0,0,0,1,0,0,0,0,0,both_exact,base_only,base_only,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact
37880705,14,16,14,16,16,16,15,15,14,14,11,15,16,0,1,0,1,1,1,0,0,0,0,0,0,target_only,target_only,neither_exact,both_exact,base_only,base_only,neither_exact,neither_exact,neither_exact
37896785,14,14,16,15,14,16,15,16,13,13,16,15,16,0,0,1,0,0,1,0,1,0,0,1,0,neither_exact,neither_exact,target_only,target_only,target_only,neither_exact,neither_exact,neither_exact,target_only
37896860,12,16,16,15,14,11,5,15,13,4,9,15,16,0,1,1,0,0,0,0,0,0,0,0,0,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37910452,16,16,16,14,13,16,16,16,15,16,13,16,16,1,1,1,0,0,1,1,1,0,1,0,1,both_exact,base_only,both_exact,target_only,target_only,target_only,target_only,target_only,neither_exact
37914679,13,14,14,13,12,15,14,13,11,10,11,14,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37920909,16,16,16,16,13,16,15,15,14,16,16,15,16,1,1,1,1,0,1,0,0,0,1,1,0,both_exact,both_exact,both_exact,target_only,neither_exact,neither_exact,target_only,neither_exact,target_only
37938856,15,15,15,12,9,6,12,15,6,9,15,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37941373,14,16,15,16,14,14,14,15,13,14,14,14,16,0,1,0,1,0,0,0,0,0,0,0,0,target_only,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37946329,15,15,14,13,15,14,14,15,13,15,7,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37957382,11,14,10,11,12,11,10,14,12,11,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37966701,16,16,14,14,14,16,16,16,16,16,13,10,16,1,1,0,0,0,1,1,1,1,1,0,0,both_exact,base_only,base_only,target_only,target_only,target_only,both_exact,base_only,base_only
37973713,15,16,13,14,14,13,13,13,15,14,12,13,16,0,1,0,0,0,0,0,0,0,0,0,0,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
37976080,13,16,16,14,13,14,15,12,13,16,8,16,16,0,1,1,0,0,0,0,0,0,1,0,1,target_only,neither_exact,target_only,neither_exact,neither_exact,neither_exact,target_only,target_only,neither_exact
37976185,10,14,15,15,12,13,16,15,8,9,11,15,16,0,0,0,0,0,0,1,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact
37993493,13,15,15,13,14,14,14,13,11,13,12,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
38005921,13,13,14,13,14,13,12,9,9,15,8,9,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
38020274,14,16,15,13,14,14,14,15,10,16,15,14,16,0,1,0,0,0,0,0,0,0,1,0,0,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact
38022124,16,16,16,12,14,16,16,16,16,16,13,8,16,1,1,1,0,0,1,1,1,1,1,0,0,both_exact,base_only,both_exact,target_only,target_only,target_only,both_exact,base_only,base_only
38031075,14,16,14,12,9,16,16,16,16,9,8,8,16,0,1,0,0,0,1,1,1,1,0,0,0,target_only,neither_exact,neither_exact,target_only,target_only,target_only,base_only,base_only,base_only
38033131,16,16,10,13,16,16,16,16,16,16,16,15,16,1,1,0,0,1,1,1,1,1,1,1,0,both_exact,base_only,base_only,both_exact,both_exact,both_exact,both_exact,base_only,both_exact
38058846,9,14,14,12,10,11,12,14,10,7,12,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
38072961,13,16,16,15,10,5,16,15,9,6,6,16,16,0,1,1,0,0,0,1,0,0,0,0,1,target_only,neither_exact,target_only,neither_exact,neither_exact,target_only,neither_exact,target_only,neither_exact
38090027,7,12,12,9,6,6,14,13,9,9,8,15,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
38140553,14,16,16,16,13,16,9,16,14,16,13,14,16,0,1,1,1,0,1,0,1,0,1,0,0,target_only,target_only,target_only,target_only,target_only,neither_exact,target_only,neither_exact,neither_exact
38140649,16,16,16,14,14,16,8,16,16,14,15,16,16,1,1,1,0,0,1,0,1,1,0,0,1,both_exact,base_only,both_exact,target_only,target_only,neither_exact,base_only,both_exact,base_only
38140667,16,6,12,14,14,16,16,7,9,16,14,10,16,1,0,0,0,0,1,1,0,0,1,0,0,base_only,base_only,base_only,target_only,neither_exact,target_only,target_only,neither_exact,neither_exact
38142692,14,16,11,12,16,16,16,16,16,13,4,10,16,0,1,0,0,1,1,1,1,1,0,0,0,target_only,neither_exact,neither_exact,both_exact,both_exact,both_exact,base_only,base_only,base_only
38152686,14,16,13,15,16,16,15,15,14,14,7,14,16,0,1,0,0,1,1,0,0,0,0,0,0,target_only,neither_exact,neither_exact,both_exact,base_only,base_only,neither_exact,neither_exact,neither_exact
38314093,9,12,13,11,10,16,13,14,12,9,13,12,16,0,0,0,0,0,1,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
38427738,16,16,14,15,11,16,16,16,15,15,13,7,16,1,1,0,0,0,1,1,1,0,0,0,0,both_exact,base_only,base_only,target_only,target_only,target_only,neither_exact,neither_exact,neither_exact
38864613,16,16,16,16,13,16,15,15,12,13,9,8,16,1,1,1,1,0,1,0,0,0,0,0,0,both_exact,both_exact,both_exact,target_only,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40391923,13,15,15,14,15,10,13,15,14,3,7,13,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40400229,12,12,12,9,10,11,11,12,8,7,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40431710,11,12,12,13,13,8,7,14,10,10,5,12,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
40431742,14,14,14,14,16,14,16,14,9,13,11,16,16,0,0,0,0,1,0,1,0,0,0,0,1,neither_exact,neither_exact,neither_exact,base_only,base_only,both_exact,neither_exact,target_only,neither_exact
40490983,14,15,14,14,15,15,13,15,6,10,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact,neither_exact
