PMID,QID,Question,Type,Category,Answer
40400229,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40400229,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40400229,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NtRTIs and NRTIs
40400229,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Tenofovir disoproxil maleate and emtricitabine
40431710,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40431710,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40431710,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40431710,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
40431710,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1
40431710,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
40431710,7,From what years were the sequenced samples obtained?,List,Demographics,"1994, 1996"
40431710,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
40431710,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not specified
40431710,10,What method was used for sequencing?,List,Technical,Next-generation sequencing
40431710,11,What type of samples were sequenced?,List,Technical,Proviral DNA and plasma
40431710,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40431710,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40431710,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40431710,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, NNRTIs"
40431710,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"AZT, RTV, delavirdine, efavirenz"
40431742,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40431742,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40431742,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40431742,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40431742,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1677
40431742,6,From which countries were the sequenced samples obtained?,List,Demographics,Argentina
40431742,7,From what years were the sequenced samples obtained?,List,Demographics,2017-2021
40431742,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
40431742,9,Which HIV genes were reported to have been sequenced?,List,Technical,Protease and reverse-transcriptase regions of the HIV-1 pol gene
40431742,10,What method was used for sequencing?,List,Technical,Sanger sequencing
40431742,11,What type of samples were sequenced?,List,Technical,Plasma samples
40431742,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
40431742,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40431742,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
40431742,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
40431742,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
40490983,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40490983,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40490983,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40490983,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
40490983,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,187
40490983,6,From which countries were the sequenced samples obtained?,List,Demographics,Kenya
40490983,7,From what years were the sequenced samples obtained?,List,Demographics,2011-2021
40490983,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
40490983,9,Which HIV genes were reported to have been sequenced?,List,Technical,Protease and reverse transcriptase
40490983,10,What method was used for sequencing?,List,Technical,Sanger sequencing
40490983,11,What type of samples were sequenced?,List,Technical,Plasma HIV-1 RNA
40490983,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40490983,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40490983,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40490983,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NNRTIs and PIs
40490983,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Efavirenz, nevirapine, atazanavir/ritonavir, and lopinavir/ritonavir"
40573423,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40573423,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40573423,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40573423,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40573423,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
40573423,6,From which countries were the sequenced samples obtained?,List,Demographics,South Korea
40573423,7,From what years were the sequenced samples obtained?,List,Demographics,2021-2024
40573423,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
40573423,9,Which HIV genes were reported to have been sequenced?,List,Technical,"env, gag, pol, protease, reverse transcriptase, and integrase"
40573423,10,What method was used for sequencing?,List,Technical,Sanger sequencing
40573423,11,What type of samples were sequenced?,List,Technical,Plasma or serum
40573423,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
40573423,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
40573423,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
40573423,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
40573423,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
40596906,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40596906,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40596906,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
40596906,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,PV526713-PV526742
40596906,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,30
40596906,6,From which countries were the sequenced samples obtained?,List,Demographics,Brazil
40596906,7,From what years were the sequenced samples obtained?,List,Demographics,2007-2022
40596906,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
40596906,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV pol region (protease/reverse transcriptase-PR/RT)
40596906,10,What method was used for sequencing?,List,Technical,ViroSeq Genotyping System
40596906,11,What type of samples were sequenced?,List,Technical,Clinical samples
40596906,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40596906,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40596906,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40596906,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, NNRTIs"
40596906,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Zidovudine (ZDV), lamivudine (3TC), nevirapine (NVP), lopinavir/ritonavir, efavirenz (EFV)"
40713598,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40713598,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40713598,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown
40713598,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Unknown
40713598,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,20
40713598,6,From which countries were the sequenced samples obtained?,List,Demographics,Ghana
40713598,7,From what years were the sequenced samples obtained?,List,Demographics,Unknown
40713598,8,Were samples cloned prior to sequencing?,Boolean,Technical,Unknown
40713598,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV-1 pol gene (protease and reverse transcriptase regions)
40713598,10,What method was used for sequencing?,List,Technical,Next-generation sequencing (NGS)
40713598,11,What type of samples were sequenced?,List,Technical,Frozen plasma samples
40713598,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40713598,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Unknown
40713598,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40713598,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NNRTI-based ART
40713598,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
40763144,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40763144,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40763144,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40763144,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
40763144,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,295
40763144,6,From which countries were the sequenced samples obtained?,List,Demographics,Uganda
40763144,7,From what years were the sequenced samples obtained?,List,Demographics,2021-2023
40763144,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
40763144,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
40763144,10,What method was used for sequencing?,List,Technical,Sanger sequencing or Next generation sequencing
40763144,11,What type of samples were sequenced?,List,Technical,Plasma or dried blood spot (DBS) samples
40763144,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40763144,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
40763144,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40763144,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NNRTI
40763144,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Efavirenz and nevirapine
40779404,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40779404,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40779404,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40779404,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40779404,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,2028
40779404,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
40779404,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
40779404,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
40779404,9,Which HIV genes were reported to have been sequenced?,List,Technical,"PR, RT, and IN"
40779404,10,What method was used for sequencing?,List,Technical,NGS technology
40779404,11,What type of samples were sequenced?,List,Technical,Whole blood samples
40779404,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No
40779404,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40779404,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40779404,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs (TFV), INSTIs, NNRTIs, and PIs"
40779404,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"TFV, unspecified INSTIs, NNRTIs, and PIs"
40839365,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40839365,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40839365,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40839365,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
40839365,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1035
40839365,6,From which countries were the sequenced samples obtained?,List,Demographics,Malawi
40839365,7,From what years were the sequenced samples obtained?,List,Demographics,2022-2023
40839365,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
40839365,9,Which HIV genes were reported to have been sequenced?,List,Technical,"Protease, reverse transcriptase, and integrase"
40839365,10,What method was used for sequencing?,List,Technical,HIV-1 Genotyping kit with Integrase and the 3500XL Genetic Analyzers (Applied Biosystems)
40839365,11,What type of samples were sequenced?,List,Technical,Plasma
40839365,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40839365,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40839365,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40839365,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
40839365,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
40857111,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40857111,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40857111,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40857111,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
40857111,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,22
40857111,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
40857111,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
40857111,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
40857111,9,Which HIV genes were reported to have been sequenced?,List,Technical,"PR, RT, and IN"
40857111,10,What method was used for sequencing?,List,Technical,Not reported
40857111,11,What type of samples were sequenced?,List,Technical,Not reported
40857111,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40857111,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40857111,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
40857111,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
40857111,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
40872801,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40872801,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40872801,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40872801,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not mentioned
40872801,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,9685
40872801,6,From which countries were the sequenced samples obtained?,List,Demographics,Tanzania
40872801,7,From what years were the sequenced samples obtained?,List,Demographics,2004-2024
40872801,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not mentioned
40872801,9,Which HIV genes were reported to have been sequenced?,List,Technical,"HIV-1 genes, including the reverse transcriptase gene"
40872801,10,What method was used for sequencing?,List,Technical,Not mentioned
40872801,11,What type of samples were sequenced?,List,Technical,Blood samples
40872801,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40872801,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not mentioned
40872801,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40872801,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, NNRTIs, PIs, and INSTIs"
40872801,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"EFV, NVP, 3TC, FTC, AZT, TDF, and DTG"
40938120,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40938120,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40938120,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
40938120,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,PX133190-PX134237
40938120,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,"1,260"
40938120,6,From which countries were the sequenced samples obtained?,List,Demographics,China
40938120,7,From what years were the sequenced samples obtained?,List,Demographics,2019-2022
40938120,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
40938120,9,Which HIV genes were reported to have been sequenced?,List,Technical,pol gene (protease and RT genes)
40938120,10,What method was used for sequencing?,List,Technical,Applied Biosystems 3730XL Genetic Analyzer
40938120,11,What type of samples were sequenced?,List,Technical,Venous blood samples
40938120,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No
40938120,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
40938120,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
40938120,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,None
40938120,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,None
40938996,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40938996,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40938996,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40938996,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not mentioned
40938996,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not mentioned
40938996,6,From which countries were the sequenced samples obtained?,List,Demographics,Not mentioned
40938996,7,From what years were the sequenced samples obtained?,List,Demographics,Not mentioned
40938996,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
40938996,9,Which HIV genes were reported to have been sequenced?,List,Technical,Gag-Pol and Env-Nef
40938996,10,What method was used for sequencing?,List,Technical,Sanger sequencing
40938996,11,What type of samples were sequenced?,List,Technical,Molecular clones
40938996,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not mentioned
40938996,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not mentioned
40938996,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not mentioned
40938996,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not mentioned
40938996,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not mentioned
40965168,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40965168,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40965168,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown
40965168,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Unknown
40965168,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,24
40965168,6,From which countries were the sequenced samples obtained?,List,Demographics,Unknown
40965168,7,From what years were the sequenced samples obtained?,List,Demographics,Unknown
40965168,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
40965168,9,Which HIV genes were reported to have been sequenced?,List,Technical,gag and protease
40965168,10,What method was used for sequencing?,List,Technical,Unknown
40965168,11,What type of samples were sequenced?,List,Technical,Plasma samples
40965168,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Unknown
40965168,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40965168,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Unknown
40965168,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
40965168,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
40974886,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40974886,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
40974886,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown
40974886,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40974886,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,70
40974886,6,From which countries were the sequenced samples obtained?,List,Demographics,Unknown
40974886,7,From what years were the sequenced samples obtained?,List,Demographics,2016-2019
40974886,8,Were samples cloned prior to sequencing?,Boolean,Technical,Unknown
40974886,9,Which HIV genes were reported to have been sequenced?,List,Technical,"Protease, reverse transcriptase, and integrase"
40974886,10,What method was used for sequencing?,List,Technical,GenoSure Archive
40974886,11,What type of samples were sequenced?,List,Technical,Whole blood
40974886,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Unknown
40974886,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40974886,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40974886,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTI, NNRTI, PI, and INSTI"
40974886,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
41004608,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
41004608,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
41004608,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
41004608,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
41004608,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1182
41004608,6,From which countries were the sequenced samples obtained?,List,Demographics,UK
41004608,7,From what years were the sequenced samples obtained?,List,Demographics,2015-2021
41004608,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
41004608,9,Which HIV genes were reported to have been sequenced?,List,Technical,All HIV genes
41004608,10,What method was used for sequencing?,List,Technical,Sequence capture method and Genomancer pipeline
41004608,11,What type of samples were sequenced?,List,Technical,Blood samples from individuals with recently acquired HIV-1
41004608,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
41004608,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
41004608,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
41004608,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
41004608,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
41012586,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
41012586,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
41012586,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
41012586,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
41012586,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,249
41012586,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
41012586,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
41012586,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
41012586,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not available
41012586,10,What method was used for sequencing?,List,Technical,Not available
41012586,11,What type of samples were sequenced?,List,Technical,Not available
41012586,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
41012586,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
41012586,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
41012586,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
41012586,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
41023944,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
41023944,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
41023944,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
41023944,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
41023944,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,28
41023944,6,From which countries were the sequenced samples obtained?,List,Demographics,Mozambique
41023944,7,From what years were the sequenced samples obtained?,List,Demographics,2022-2024
41023944,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
41023944,9,Which HIV genes were reported to have been sequenced?,List,Technical,Integrase region
41023944,10,What method was used for sequencing?,List,Technical,Sanger method
41023944,11,What type of samples were sequenced?,List,Technical,Plasma samples
41023944,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
41023944,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
41023944,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
41023944,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NRTIs and/or NNRTIs
41023944,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
41029850,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
41029850,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
41029850,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, but sequences have been submitted to Genebank."
41029850,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,"PQ893197, PQ893192, OQ985810, OR259747, and PQ893191"
41029850,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,203
41029850,6,From which countries were the sequenced samples obtained?,List,Demographics,Cameroon
41029850,7,From what years were the sequenced samples obtained?,List,Demographics,2022-2023
41029850,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not mentioned
41029850,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV-1 protease and reverse-transcriptase genes
41029850,10,What method was used for sequencing?,List,Technical,Sanger sequencing
41029850,11,What type of samples were sequenced?,List,Technical,Not mentioned
41029850,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
41029850,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not mentioned
41029850,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
41029850,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"PI/r, NRTI, DTG, DRV/r"
41029850,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"ATV/r, LPV/r, DTG, DRV/r, NRTI"
41056006,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
41056006,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
41056006,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
41056006,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
41056006,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,10
41056006,6,From which countries were the sequenced samples obtained?,List,Demographics,USA and Dominican Republic
