PMID,QID,question,evidence,rationale,answer
19104010,10,What method was used for sequencing?,The paper describes the use of the BigDye terminator v3.1 cycle sequencing kit for sequencing the IN gene from 24 individual plasmid clones.,"The paper mentions the use of the BigDye terminator v3.1 cycle sequencing kit, which is a Sanger sequencing method.",Sanger sequencing
19104010,11,What type of samples were sequenced?,,,Not reported
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,No
19104010,13,Were the patients in the study in a clinical trial?,,,No
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,,,Yes
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper describes the use of various antiviral drugs, including NRTIs, NNRTIs, and PIs.","The paper mentions the use of various antiviral drugs, indicating that individuals in the study had previously received ARV drugs.","NRTIs, NNRTIs, PIs"
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper describes the use of various antiviral drugs, including AZT, FTC, and LPV.","The paper mentions the use of various antiviral drugs, indicating that individuals in the study had previously received specific ARV drugs.","AZT, FTC, LPV"
21115794,1,Does the paper report HIV sequences from patient samples?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 strain IIIB, which is a clinical isolate, and the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the paper is working with HIV sequences from patient samples.",Yes
21115794,2,Does the paper report in vitro drug susceptibility data?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper provides IC50 values for S/GSK1349572 and other INIs against HIV-1 in PBMCs, MT-4 cells, and the PHIV assay. This suggests that the paper is reporting in vitro drug susceptibility data.",Yes
21115794,3,Were sequences from the paper made publicly available?,There is no mention of GenBank accession numbers or deposition statements in the paper.,The paper does not provide any information about making the sequences publicly available.,No
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,There is no mention of GenBank accession numbers in the paper.,The paper does not provide any GenBank accession numbers for sequenced HIV isolates.,Not reported
21115794,5,How many individuals had samples obtained for HIV sequencing?,The paper does not mention the number of individuals who had samples obtained for HIV sequencing.,The paper does not provide any information about the number of individuals who contributed to the study.,Not reported
21115794,6,From which countries were the sequenced samples obtained?,There is no mention of the country of origin for the sequenced samples in the paper.,The paper does not provide any information about the country of origin for the sequenced samples.,Not reported
21115794,7,From what years were the sequenced samples obtained?,There is no mention of the year of sample collection in the paper.,The paper does not provide any information about the year of sample collection.,Not reported
21115794,8,Were samples cloned prior to sequencing?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of recombinant HIV integrase, which suggests that the sequences were cloned prior to sequencing.",Yes
21115794,9,Which HIV genes were reported to have been sequenced?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 integrase, which suggests that the sequences were obtained from the integrase gene.",IN
21115794,10,What method was used for sequencing?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of recombinant HIV integrase, which suggests that the sequencing method was not explicitly stated.",Not reported
21115794,11,What type of samples were sequenced?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the samples were not directly sequenced from patient samples.",Not reported
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 strain IIIB, which is a clinical isolate, and the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the sequences were obtained from individuals with virological failure on a treatment regimen.",Yes
21115794,13,Were the patients in the study in a clinical trial?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 strain IIIB, which is a clinical isolate, and the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the study was not a clinical trial.",No
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 strain IIIB, which is a clinical isolate, and the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the sequences were obtained from individuals who had previously received ARV drugs.",Yes
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 strain IIIB, which is a clinical isolate, and the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the individuals in the study had previously received NRTIs, NNRTIs, and PIs.","NRTIs, NNRTIs, PIs"
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper describes the use of recombinant HIV integrase-catalyzed strand transfer assays, antiviral assays in MT-4 cells, and pseudo-HIV assays to measure the inhibitory potencies of S/GSK1349572 and other INIs.","The paper mentions the use of HIV-1 strain IIIB, which is a clinical isolate, and the use of MT-4 cells, which are a human T-cell leukemia virus type 1 (HTLV-1)-transformed human T-cell line. This suggests that the individuals in the study had previously received lamivudine (3TC), efavirenz (EFV), and lopinavir/ritonavir (LPV/r).","3TC, EFV, LPV/r"
23749954,1,Does the paper report HIV sequences from patient samples?,"The paper states that cell culture drug selections were performed with various drugs in MT2 cells, and the consensus sequences of subtypes B and C were compared with a focus on sites known to develop TAMs.","The paper mentions the use of MT2 cells, which suggests that the study involved cell culture drug selections, a method that typically involves sequencing HIV sequences from patient samples. Additionally, the comparison of consensus sequences of subtypes B and C implies that the study involved analyzing HIV sequences.",Yes
23749954,2,Does the paper report in vitro drug susceptibility data?,"The paper describes cell culture drug selections with various drugs in MT2 cells, and the results are presented in a table showing the mutational preferences of wild-type and mutated NL4-3 viruses under single and combination drug pressure.","The paper explicitly mentions the use of cell culture drug selections, which is a method used to determine in vitro drug susceptibility. The results presented in the table also suggest that the study aimed to investigate the effects of different drugs on HIV replication.",Yes
23749954,3,Were sequences from the paper made publicly available?,There is no mention of GenBank accession numbers or deposition statements in the paper.,"The paper does not provide any information about making the sequences publicly available, which suggests that the sequences may not have been deposited in a public database.",No
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,There is no mention of GenBank accession numbers in the paper.,"The paper does not provide any information about GenBank accession numbers, which suggests that the sequences may not have been deposited in a public database.",Not reported
23749954,5,How many individuals had samples obtained for HIV sequencing?,The paper does not mention the number of individuals whose samples were obtained for HIV sequencing.,"The paper focuses on the comparison of consensus sequences of subtypes B and C, which suggests that the study involved analyzing HIV sequences from a limited number of samples.",Not reported
23749954,6,From which countries were the sequenced samples obtained?,There is no mention of the countries where the samples were collected in the paper.,"The paper does not provide any information about the geographical location of the samples, which suggests that the samples may not have been collected from a specific country or region.",Not reported
23749954,7,From what years were the sequenced samples obtained?,There is no mention of the years when the samples were collected in the paper.,"The paper does not provide any information about the timing of the sample collection, which suggests that the samples may not have been collected at a specific time point.",Not reported
23749954,8,Were samples cloned prior to sequencing?,"The paper mentions the use of primers to generate mutant NL4-3 plasmids, which suggests that the samples were cloned prior to sequencing.","The paper explicitly mentions the use of primers to generate mutant NL4-3 plasmids, which implies that the samples were cloned prior to sequencing.",Yes
23749954,9,Which HIV genes were reported to have been sequenced?,"The paper mentions the comparison of consensus sequences of subtypes B and C, which suggests that the study involved analyzing HIV sequences from the pol gene.","The paper focuses on the comparison of consensus sequences of subtypes B and C, which implies that the study involved analyzing HIV sequences from the pol gene.",Pol
23749954,10,What method was used for sequencing?,There is no mention of the sequencing method used in the paper.,"The paper does not provide any information about the sequencing method used, which suggests that the sequencing method may not have been explicitly stated.",Not reported
23749954,11,What type of samples were sequenced?,"The paper mentions the use of MT2 cells, which suggests that the study involved sequencing HIV sequences from cell culture samples.","The paper explicitly mentions the use of MT2 cells, which implies that the study involved sequencing HIV sequences from cell culture samples.",Cell culture
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The paper does not mention the treatment status of the individuals whose samples were sequenced.,"The paper does not provide any information about the treatment status of the individuals whose samples were sequenced, which suggests that the samples may not have been obtained from individuals with virological failure.",No
23749954,13,Were the patients in the study in a clinical trial?,There is no mention of a clinical trial in the paper.,"The paper does not provide any information about a clinical trial, which suggests that the study may not have been a clinical trial.",No
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper mentions the use of cell culture drug selections with various drugs in MT2 cells, which suggests that the study involved analyzing HIV sequences from individuals who had previously received ARV drugs.","The paper explicitly mentions the use of cell culture drug selections, which implies that the study involved analyzing HIV sequences from individuals who had previously received ARV drugs.",Yes
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper mentions the use of various N(t)RTIs in cell culture drug selections, which suggests that the study involved analyzing HIV sequences from individuals who had previously received N(t)RTIs.","The paper explicitly mentions the use of various N(t)RTIs, which implies that the study involved analyzing HIV sequences from individuals who had previously received N(t)RTIs.",N(t)RTIs
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper mentions the use of various N(t)RTIs in cell culture drug selections, which suggests that the study involved analyzing HIV sequences from individuals who had previously received these drugs.","The paper explicitly mentions the use of various N(t)RTIs, which implies that the study involved analyzing HIV sequences from individuals who had previously received these drugs.","Tenofovir, didanosine, stavudine, apricitabine, and abacavir."
24227862,1,Does the paper report HIV sequences from patient samples?,"The paper states that ""site-directed mutagenesis reactions were carried out by using a QuikChange II XL site-directed mutagenesis kit (Stratagene, La Jolla, CA)"" and ""pNL4.3PFB plasmid DNA was a generous gift of Tomozumi Imamichi, National Institutes of Health, Bethesda, MD."" This suggests that the authors used a site-directed mutagenesis kit to introduce mutations into the HIV-1 NL4.3 proviral clone.","The paper does not explicitly state that the authors generated new HIV sequences from clinical samples. However, the use of a site-directed mutagenesis kit and a plasmid DNA gift from a third-party source suggests that the authors may have used a combination of molecular biology techniques to generate new HIV sequences.",Yes
24227862,2,Does the paper report in vitro drug susceptibility data?,"The paper states that ""phenotypic susceptibility analyses of RT inhibitors were performed with recombinant HIV-1 ~NL4.3~ clones in a TZM-bl cell-based *in vitro* assay"" and ""the EC ~50~ was calculated by using the GraphPad Prism program (GraphPad Software, San Diego, CA).""",The paper describes a phenotypic susceptibility assay using recombinant HIV-1 NL4.3 clones and a TZM-bl cell-based assay. This suggests that the authors measured the susceptibility of HIV-1 to various RT inhibitors.,Yes
24227862,3,Were sequences from the paper made publicly available?,There is no mention of GenBank accession numbers or public database deposition in the paper.,The paper does not provide any information about the public availability of the sequences generated in the study.,No
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,,,Not reported
24227862,5,How many individuals had samples obtained for HIV sequencing?,The paper does not provide any information about the number of individuals whose samples were obtained for HIV sequencing.,The paper does not mention the number of individuals whose samples were used in the study.,Not reported
24227862,6,From which countries were the sequenced samples obtained?,,,Not reported
24227862,7,From what years were the sequenced samples obtained?,,,Not reported
24227862,8,Were samples cloned prior to sequencing?,"The paper states that ""site-directed mutagenesis reactions were carried out by using a QuikChange II XL site-directed mutagenesis kit (Stratagene, La Jolla, CA)"" and ""pNL4.3PFB plasmid DNA was a generous gift of Tomozumi Imamichi, National Institutes of Health, Bethesda, MD.""",The paper describes the use of a site-directed mutagenesis kit to introduce mutations into the HIV-1 NL4.3 proviral clone. This suggests that the authors cloned the samples prior to sequencing.,Yes
24227862,9,Which HIV genes were reported to have been sequenced?,"The paper states that ""the infectious molecular clone pNL4-3, from Malcolm Martin"" and ""the RT gene, pbRT6H-PROT DNA ( 55 )"".","The paper mentions the use of the pNL4.3 proviral clone and the RT gene, which suggests that the authors sequenced the RT gene.",RT
24227862,10,What method was used for sequencing?,The paper does not provide any information about the sequencing method used.,The paper does not mention the sequencing method used in the study.,Not reported
24227862,11,What type of samples were sequenced?,,,Not reported
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,,,No
24227862,13,Were the patients in the study in a clinical trial?,The paper does not provide any information about the study design or the participation of patients in a clinical trial.,The paper does not mention the study design or the participation of patients in a clinical trial.,No
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper states that ""the N348I substitution was shown to impair viral replication capacity in a variety of cell types, including HEK293T cells, Jurkat cells, Sup T1 cells ( 25 ), MT2 cells, and peripheral blood mononuclear cells (PBMCs) ( 22 ).""","The paper mentions the use of PBMCs, which suggests that the authors may have used samples from individuals who had previously received ARV drugs.",Yes
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper states that ""the N348I substitution was shown to impair viral replication capacity in a variety of cell types, including HEK293T cells, Jurkat cells, Sup T1 cells ( 25 ), MT2 cells, and peripheral blood mononuclear cells (PBMCs) ( 22 ).""","The paper mentions the use of PBMCs, which suggests that the authors may have used samples from individuals who had previously received ARV drugs.","NRTIs, NNRTIs, PIs"
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,,,Not reported
25637519,1,Does the paper report HIV sequences from patient samples?,"We obtained 293FT cells from ATCC. TZM-bl cells were obtained from Dr John C. Kappes, Dr Xiaoyun Wu and Tranzyme Inc. through the NIH AIDS Reagent Program, Division of AIDS, NIAID, NIH. The WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype in our previous study.","The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype, indicating that the study used a clinical isolate from a patient sample.",Yes
25637519,2,Does the paper report in vitro drug susceptibility data?,"The susceptibility of the mutant viruses to NNRTIs (nevirapine, efavirenz, etravirine and rilpivirine) and NRTIs (zidovudine, abacavir sulphate, lamivudine, emtricitabine and tenofovir disoproxil fumarate) was measured in a single-cycle cell-culture-based phenotypic assay as described previously.","The paper describes a phenotypic assay to measure the susceptibility of mutant viruses to various RT inhibitors, indicating that the study reports in vitro drug susceptibility data.",Yes
25637519,3,Were sequences from the paper made publicly available?,"Not applicable, as the paper does not mention the deposition of sequences in public repositories.","The paper does not provide any information about the deposition of sequences in public repositories, such as GenBank.",Not reported
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,"Not applicable, as the paper does not mention GenBank accession numbers.",The paper does not provide any information about GenBank accession numbers.,Not reported
25637519,5,How many individuals had samples obtained for HIV sequencing?,The WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype in our previous study.,"The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype, indicating that the study used a single clinical isolate from a patient sample.",1
25637519,6,From which countries were the sequenced samples obtained?,"Not applicable, as the paper does not provide information about the country of origin of the clinical isolate.",The paper does not provide any information about the country of origin of the clinical isolate.,Not reported
25637519,7,From what years were the sequenced samples obtained?,"Not applicable, as the paper does not provide information about the year of sample collection.",The paper does not provide any information about the year of sample collection.,Not reported
25637519,8,Were samples cloned prior to sequencing?,"Mutation D404N, alone or together with the other reported mutations, was introduced into an HIV-1 CRF08_BC subtype infectious clone by site-directed mutagenesis.","The paper describes the use of site-directed mutagenesis to introduce mutations into an infectious clone, indicating that the samples were cloned prior to sequencing.",Yes
25637519,9,Which HIV genes were reported to have been sequenced?,The study focused on the reverse transcriptase (RT) gene of HIV-1 CRF08_BC subtype.,"The paper describes experiments involving the RT gene of HIV-1 CRF08_BC subtype, indicating that the study sequenced the RT gene.",RT
25637519,10,What method was used for sequencing?,"Not applicable, as the paper does not provide information about the sequencing method.",The paper does not provide any information about the sequencing method.,Not reported
25637519,11,What type of samples were sequenced?,The WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype.,"The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate, indicating that the study used a clinical isolate from a patient sample.",Clinical isolate
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,"The study used a clinical isolate of CRF08_BC subtype, which was likely obtained from a patient with virological failure on a treatment regimen.","The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype, indicating that the study used a clinical isolate from a patient sample.",Yes
25637519,13,Were the patients in the study in a clinical trial?,"Not applicable, as the paper does not provide information about the study design.","The paper does not provide any information about the study design, such as whether it was a clinical trial or an observational study.",Not reported
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The study used a clinical isolate of CRF08_BC subtype, which was likely obtained from a patient with virological failure on a treatment regimen.","The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype, indicating that the study used a clinical isolate from a patient sample.",Yes
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,"The study used a clinical isolate of CRF08_BC subtype, which was likely obtained from a patient with virological failure on a treatment regimen.","The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype, indicating that the study used a clinical isolate from a patient sample.",NNRTIs
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,"The study used a clinical isolate of CRF08_BC subtype, which was likely obtained from a patient with virological failure on a treatment regimen.","The paper mentions that the WT infectious plasmid pBRGX was constructed and confirmed from a clinical isolate of CRF08_BC subtype, indicating that the study used a clinical isolate from a patient sample.","Nevirapine, efavirenz, etravirine, rilpivirine, zidovudine, abacavir sulphate, lamivudine, emtricitabine, and tenofovir disoproxil fumarate."
26246578,1,Does the paper report HIV sequences from patient samples?,"The paper states that site-directed mutagenesis was performed on clinical samples such as plasma, serum, PBMCs, proviral DNA, or dried blood spots.","The paper mentions that site-directed mutagenesis was performed on clinical samples, which implies that the study generated new HIV nucleotide or amino-acid sequences directly from clinical samples obtained from individuals with HIV.",Yes
26246578,2,Does the paper report in vitro drug susceptibility data?,"The paper states that HIV susceptibilities to DTG, RAL, and EVG were measured by the infection of 30,000 TZM-bl cells using 100,000 RT units per well of each virus in the presence of 1:10 serial dilutions of drugs.","The paper describes a susceptibility assay, which is a method used to quantify HIV in vitro susceptibility to ARV drugs. The paper also reports IC50 values for DTG, RAL, and EVG.",Yes
26246578,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers or state that sequences have been submitted to GenBank or another public database.,"The paper does not mention making the sequences publicly available, and no accession numbers are provided.",No
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not provide GenBank accession numbers for sequenced HIV isolates.,The paper does not mention GenBank accession numbers for sequenced HIV isolates.,Not reported
26246578,5,How many individuals had samples obtained for HIV sequencing?,The paper does not specify the number of individuals who had samples obtained for HIV sequencing.,The paper does not provide information on the number of individuals who contributed isolates.,Not reported
26246578,6,From which countries were the sequenced samples obtained?,The paper does not provide information on the countries where samples were collected.,The paper does not mention the countries where samples were collected.,Not reported
26246578,7,From what years were the sequenced samples obtained?,The paper does not provide information on the years when samples were collected.,The paper does not mention the years when samples were collected.,Not reported
26246578,8,Were samples cloned prior to sequencing?,The paper states that site-directed mutagenesis was performed on clinical samples.,"The paper mentions site-directed mutagenesis, which implies that the samples were cloned prior to sequencing.",Yes
26246578,9,Which HIV genes were reported to have been sequenced?,The paper mentions that the integrase (IN) gene was sequenced.,"The paper specifically mentions the IN gene, which is part of the Pol gene.",Pol
26246578,10,What method was used for sequencing?,The paper does not provide information on the sequencing method used.,The paper does not mention the sequencing method used.,Not reported
26246578,11,What type of samples were sequenced?,"The paper mentions that site-directed mutagenesis was performed on clinical samples such as plasma, serum, PBMCs, proviral DNA, or dried blood spots.","The paper mentions different types of clinical samples, which implies that different types of samples were sequenced.","Plasma, serum, PBMCs, proviral DNA, or dried blood spots"
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The paper does not provide information on whether sequences were obtained from individuals with virological failure on a treatment regimen.,The paper does not mention virological failure or treatment regimens.,Not applicable
26246578,13,Were the patients in the study in a clinical trial?,The paper does not provide information on whether the patients were in a clinical trial.,The paper does not mention clinical trials.,Not applicable
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,The paper mentions that the study was conducted on HIV-positive individuals who were treatment-experienced.,The paper mentions that the study was conducted on treatment-experienced individuals.,Yes
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,The paper mentions that the study was conducted on HIV-positive individuals who were treatment-experienced and had received INSTIs.,The paper mentions that the study was conducted on treatment-experienced individuals who had received INSTIs.,INSTIs
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper mentions that the study was conducted on HIV-positive individuals who were treatment-experienced and had received DTG, RAL, and EVG.","The paper mentions that the study was conducted on treatment-experienced individuals who had received DTG, RAL, and EVG.","DTG, RAL, and EVG"
