PMID,QID,Question,Type,Category,Human Answer,GPT-4o base,GPT-4o base correct,GPT-4o FT,GPT-4o FT correct,Llama3.1-70B base,Llama3.1-70B base correct,Llama3.1-70B FT,Llama3.1-70B FT correct,Llama3.1-8B base,Llama3.1-8B base correct,Llama3.1-8B FT,Llama3.1-8B FT correct,is_not_empty
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"RAL, EVG, DTG, BIC, CAB, LEN",0,No,1,No,1,No,1,False
19104010,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
19104010,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
19104010,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,Yes,0,No,1,False
19104010,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN,No,0,No,0,"Integrase, IN",1,No,0,Integrase (IN),1,No,0,True
19104010,10,What method was used for sequencing?,List,Technical,Sanger,No,1,No,1,No,1,No,1,No,1,No,1,True
19104010,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,Viral DNA,0,No,1,False
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,Yes,0,No,1,No,1,No,1,False
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,INSTI,0,No,1,"NRTI, NNRTI, PI",0,No,1,False
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"GS-9160, L-870,810, GS-9137, MK-0518",0,No,1,"NRTI (Nucleoside Reverse Transcriptase Inhibitor), including Abacavir (ABC), Zidovudine'(AZT), Zalcitabine (DDC), Didanosine (DDI), Lamivudine (3TC), Stavudine (D4T), Emtricitabine(FTC), Tenofovir (TFV); NNRTI (Non-Nucleosid Reverse Transcriptase Inhibitor), including Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Doravirine (DOR); PI (Protease Inhibitor), including Amprenavir (APV), Lopinavir'(LPV), Atazanavir (ATV), Derunavir (DRV)",0,No,1,False
21115794,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
21115794,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
21115794,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN,No,0,No,0,No,0,No,0,No,0,No,0,True
21115794,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,INSTI,0,No,1,No,1,No,1,False
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"Raltegravir (RAL), Elvitegravir(EVG)",0,No,1,No,1,No,1,False
23749954,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,,Yes,0,Yes,0,Yes,0,We recently reported the preferential selection of the K65R resistance,0,Yes,0,Yes,0,False
23749954,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,Not specified,0,0,1,0,1,0,1,False
23749954,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,Yes,0,No,1,False
23749954,9,Which HIV genes were reported to have been sequenced?,List,Technical,RT,No,0,No,0,Not specified,0,No,0,No,0,No,0,True
23749954,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,Yes,0,No,1,False
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,NRTI,0,No,1,NRTI,0,No,1,False
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"Tenofovir, didanosine, stavudine, apricitabine, and abacavir",0,No,1,"Tenofovir, Didanosine, Stavudine, Apricitabine, Abacavir",0,No,1,False
24227862,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
24227862,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
24227862,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,9,Which HIV genes were reported to have been sequenced?,List,Technical,RT,No,0,No,0,"Reverse transcriptase, RT",1,RT,1,No,0,No,0,True
24227862,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,PBMC,0,No,1,No,1,No,1,False
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,Yes,0,No,1,No,1,No,1,False
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,NNRTI,0,No,1,NNRTI,0,No,1,False
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"Nevirapine (NVP), Etravirine (ETR), Rilpivirine (RPV)",0,No,1,"Etravirine (ETR), Rilpivirine (RPV)",0,No,1,False
25637519,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,Yes,0,No,1,Yes,0,False
25637519,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
25637519,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
25637519,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
25637519,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,China,0,No,1,No,1,No,1,False
25637519,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
25637519,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,Yes,0,No,1,No,1,Yes,0,False
25637519,9,Which HIV genes were reported to have been sequenced?,List,Technical,RT,No,0,No,0,"Reverse transcriptase, RT",1,RT,1,Pol gene,0,Full genome,0,True
25637519,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,Sanger sequencing,0,False
25637519,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,Other,0,No,1,No,1,Plasma,0,False
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,Yes,0,No,1,No,1,No,1,False
25637519,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,Yes,0,No,1,No,1,No,1,False
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"NRTI, NNRTI",0,No,1,"NRTI, NNRTI, PI, INSTI",0,No,1,False
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"Abacavir (ABC), Zidovudine'(AZT), Zalcitabine (DDC), Didanosine (DDI), Lamivudine (3TC), Stavudine (D4T), Emtricitabine(FTC), Tenofovir (TFV), Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Doravirine (DOR)",0,No,1,"NRTI (Abacavir, Zidovudine, Zalcitabine, Didanosine, Lamivudine, Stavudine, Emtricitabine, Tenofovir); NNRTI (Nevirapine, Delavirdine, Efavirenz, Etravirine, Rilpivirine, Doravirine); PI (Amprenavir, Lopinavir, Atazanavir, Derunavir); INSTI (Raltegravir, Elvitegravir, Dolutegravir, Bictegravir, cabotegravir, Lenacapavir)",0,No,1,False
26246578,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
26246578,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
26246578,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN,No,0,No,0,No,0,No,0,Integrase (IN),1,No,0,True
26246578,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,INSTI,0,No,1,No,1,No,1,False
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"RAL, EVG, DTG",0,No,1,No,1,No,1,False
26311878,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
26311878,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
26311878,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,9,Which HIV genes were reported to have been sequenced?,List,Technical,,No,1,No,1,Integrase,0,No,1,No,1,No,1,False
26311878,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,Other,0,No,1,No,1,No,1,False
26311878,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26311878,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,INSTI,0,No,1,No,1,No,1,False
26311878,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"RAL, EVG, DTG",0,No,1,No,1,No,1,False
26559830,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
26559830,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
26559830,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,Yes,0,No,1,Yes,0,Yes,0,False
26559830,9,Which HIV genes were reported to have been sequenced?,List,Technical,PR,No,1,No,1,Protease,0,Protease,0,Protease,0,Protease,0,True
26559830,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,Molecular clones,0,Molecular clones,0,False
26559830,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
26559830,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,PI,0,No,1,PI,0,No,1,False
26559830,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"Amprenavir (APV), Lopinavir (LPV), Atazanavir (ATV), Darunavir (DRV), Nelfinavir (NFV)",0,No,1,PI,0,No,1,False
27009474,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
27009474,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
27009474,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
27009474,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,KU761565,KU761565,1,KU761565,1,KU761565,1,KU761565,1,KU761565,1,KU761565,1,True
27009474,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1,1,1,1,1,1,1,1,1,0,0,1,1,True
27009474,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,United States,0,No,1,USA,0,No,1,United States,0,False
27009474,7,From what years were the sequenced samples obtained?,List,Demographics,2014,No,1,2014,0,2014,0,2014,0,2014,0,2014,0,True
27009474,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes,No,0,No,0,Yes,1,Yes,1,No,0,Yes,1,True
27009474,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN,"Integrase, IN",1,IN,1,"Integrase, IN",1,"PR, RT, IN",0,No,0,Pol,0,True
27009474,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,Sanger sequencing,0,False
27009474,11,What type of samples were sequenced?,List,Technical,Plasma,No,1,Plasma,0,Plasma,0,Plasma,0,Plasma,0,Plasma,0,True
27009474,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,Yes,0,False
27009474,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
27009474,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,True
27009474,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTI, INSTI","NRTI, INSTI",1,"NRTI, INSTI",1,"INSTI, NRTI",1,"NRTI, INSTI",1,INSTI,1,No,0,True
27009474,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Tenofovir, Emtricitabine, Elvitegravir","Tenofovir, Emtricitabine, Elvitegravir, Cobicistat",1,"Tenofovir (TFV), Emtricitabine (FTC), Elvitegravir (EVG), Cobicistat",1,"Tenofovir, Emtricitabine, Elvitegravir, Cobicistat",1,"Tenofovir (TFV), Emtricitabine (FTC), Elvitegravir (EVG)",1,"Raltegravir (RAL), Elvitegravir(EVG), Dolutagravir (DTG), Bictegravir (BIC), cabotagravir (CAB), Lenacapavir (LEN)",0,No,0,True
27124362,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
27124362,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,,0,1,0,1,0,1,0,1,0,1,0,1,False
27124362,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,9,Which HIV genes were reported to have been sequenced?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
27124362,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,NNRTI,0,No,1,No,1,No,1,False
27124362,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,1,No,1,"RPV, DOR",0,No,1,No,1,No,1,False
28559249,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes,No,0,Yes,1,No,0,No,0,No,0,No,0,True
28559249,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
28559249,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1,0,0,0,0,0,0,0,0,0,0,0,0,True
28559249,6,From which countries were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,7,From what years were the sequenced samples obtained?,List,Demographics,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,8,Were samples cloned prior to sequencing?,Boolean,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,9,Which HIV genes were reported to have been sequenced?,List,Technical,RT,No,0,RT,1,No,0,No,0,No,0,No,0,True
28559249,10,What method was used for sequencing?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,11,What type of samples were sequenced?,List,Technical,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,,No,1,Yes,0,No,1,No,1,No,1,No,1,False
28559249,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,,No,1,No,1,No,1,No,1,No,1,No,1,False
28559249,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,,No,0,Yes,1,No,0,No,0,No,0,No,0,False
28559249,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,,NRTI,0,NRTI,0,No,0,No,0,No,0,No,0,False
28559249,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,,No,0,No,0,No,0,No,0,No,0,No,0,False
29373677,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
29373677,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,True
29373677,3,Were sequences from the paper made publicly available?,Boolean,Data availability,,No,1,No,1,Yes,0,No,1,No,1,No,1,False
