PMID,QID,annotation_verdict,reason
40965168,10,ambiguous,annotation hedges: 'Not stated'
40965168,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40965168,13,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
40965168,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41004608,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41012586,10,ambiguous,annotation hedges: 'Not stated'
41012586,11,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41012586,5,ambiguous,annotation hedges: '249 (uncertain)'
41056006,10,convention,annotation defaults to Sanger; the PDF never mentions it
41056006,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41056006,6,ambiguous,annotation hedges: 'Not provided (multicenter trial)'
41057785,10,ambiguous,annotation hedges: 'Sanger (not stated)'
41057785,11,ambiguous,annotation hedges: 'Plasma (not stated)'
41088231,8,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41088231,9,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41091504,8,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41093949,10,ambiguous,annotation hedges: 'Not stated'
41112839,10,convention,annotation defaults to Sanger; the PDF never mentions it
41130593,5,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41130593,6,ambiguous,annotation hedges: 'Not provided (multicenter trial)'
41130593,8,ambiguous,all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
41140464,12,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
41140464,14,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
41140464,15,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
41140464,6,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
41140464,7,wrong,PDF is a systematic review/meta-analysis; QSP rules say No/None
