PMID,Set,source,candidates,status,size_mb,pages,sha256
37649807,original120,frontier_compare/pdfs/37649807.pdf,1,ok,0.64,9.0,730fcc7b290df201
37662576,original120,frontier_compare/pdfs/37662576.pdf,1,ok,5.11,12.0,72ed4e0fd950605c
37674678,original120,frontier_compare/pdfs/37674678.pdf,1,ok,2.05,12.0,12d20004f510888f
37701387,original120,,0,missing,,,
37716367,original120,,0,missing,,,
37755428,original120,frontier_compare/pdfs/37755428.pdf,1,ok,0.11,3.0,b4cc1892297c391e
37775947,original120,,0,missing,,,
37817087,original120,frontier_compare/pdfs/37817087.pdf,1,ok,1.33,10.0,666c96bb953a879a
37823653,original120,frontier_compare/pdfs/37823653.pdf,1,ok,0.87,12.0,7abce2cd182bef3f
37872202,original120,frontier_compare/pdfs/37872202.pdf,1,ok,7.96,15.0,bad745e9bd0f4f1a
37878637,original120,frontier_compare/pdfs/37878637.pdf,1,ok,1.3,18.0,a664ae5e53b5e3d8
37880705,original120,frontier_compare/pdfs/37880705.pdf,1,ok,1.61,9.0,3b8f2ca3857967ba
37896785,original120,frontier_compare/pdfs/37896785.pdf,1,ok,1.37,12.0,35d938ff1d853333
37896860,original120,frontier_compare/pdfs/37896860.pdf,1,ok,1.34,15.0,e3e308664a3e08b7
37910452,original120,frontier_compare/pdfs/37910452.pdf,1,ok,1.65,15.0,0d794530d65c7df6
37914679,original120,frontier_compare/pdfs/37914679.pdf,1,ok,0.17,3.0,592d61a24c863006
37920909,original120,frontier_compare/pdfs/37920909.pdf,1,ok,0.19,3.0,f4e7f8678e756c0d
37938856,original120,frontier_compare/pdfs/37938856.pdf,1,ok,0.32,15.0,62471db47d98915d
37941373,original120,frontier_compare/pdfs/37941373.pdf,1,ok,1.37,8.0,b12c45047bcba5ad
37946329,original120,frontier_compare/pdfs/37946329.pdf,1,ok,0.35,3.0,0072e9c37b0009c9
37957382,original120,frontier_compare/pdfs/37957382.pdf,1,ok,10.93,31.0,3a8f879668b44d6d
37966701,original120,frontier_compare/pdfs/37966701.pdf,1,ok,0.34,11.0,ec37c33a4ca60692
37973713,original120,frontier_compare/pdfs/37973713.pdf,1,ok,0.75,8.0,9bc2a1e89eacd6ac
37976080,original120,frontier_compare/pdfs/37976080.pdf,1,ok,0.61,14.0,554a7034e2d2caeb
37976185,original120,,0,missing,,,
37993493,original120,frontier_compare/pdfs/37993493.pdf,1,ok,1.35,16.0,32fb2074d1aeb9f3
38005921,original120,frontier_compare/pdfs/38005921.pdf,1,ok,3.55,14.0,43330658ce0e5cc9
38020274,original120,frontier_compare/pdfs/38020274.pdf,1,ok,0.98,14.0,0ff07f45efee7894
38022124,original120,frontier_compare/pdfs/38022124.pdf,1,ok,0.28,11.0,4daccf14c8d1475a
38031075,original120,frontier_compare/pdfs/38031075.pdf,1,ok,0.91,8.0,6c1a213200a4c013
38033131,original120,frontier_compare/pdfs/38033131.pdf,1,ok,1.41,18.0,1609ac6a5b74ae4a
38058846,original120,frontier_compare/pdfs/38058846.pdf,1,ok,0.88,6.0,60232dc75a3fa26a
38072961,original120,frontier_compare/pdfs/38072961.pdf,1,ok,1.63,5.0,35ecfd3686ad6a40
38090027,original120,frontier_compare/pdfs/38090027.pdf,1,ok,2.47,10.0,82c440b947126945
38140553,original120,frontier_compare/pdfs/38140553.pdf,1,ok,8.06,16.0,eacff1d497458b87
38140649,original120,frontier_compare/pdfs/38140649.pdf,1,ok,1.8,21.0,015b963c146cdd3c
38140667,original120,frontier_compare/pdfs/38140667.pdf,1,ok,0.38,21.0,ca5699309e448bb1
38142692,original120,,0,missing,,,
38152686,original120,frontier_compare/pdfs/38152686.pdf,1,ok,0.42,3.0,c1551629a3d33561
38314093,original120,frontier_compare/pdfs/38314093.pdf,1,ok,0.69,9.0,7a8448a0f493648e
38427738,original120,frontier_compare/pdfs/38427738.pdf,1,ok,15.69,20.0,572f9644b69830f1
38864613,original120,frontier_compare/pdfs/38864613.pdf,1,ok,2.16,14.0,686d68a296b41301
40391923,new30,frontier_compare/pdfs/40391923.pdf,1,ok,0.37,4.0,1e6b2df94eee5e1d
40400229,new30,frontier_compare/pdfs/40400229.pdf,1,ok,0.35,4.0,08543db8bb6545af
40431710,new30,frontier_compare/pdfs/40431710.pdf,1,ok,0.79,8.0,6d11380c11d5687b
40431742,new30,frontier_compare/pdfs/40431742.pdf,1,ok,0.79,14.0,55cf4a04d035ad6f
40490983,new30,frontier_compare/pdfs/40490983.pdf,1,ok,1.47,12.0,e962eb93abe26c6f
40573423,new30,frontier_compare/pdfs/40573423.pdf,1,ok,0.89,12.0,bd83930f7dcd7ed7
40596906,new30,frontier_compare/pdfs/40596906.pdf,1,ok,1.73,10.0,ce582a14f9d28761
40713598,new30,frontier_compare/pdfs/40713598.pdf,1,ok,1.34,6.0,2b50333bc32212cd
40763144,new30,frontier_compare/pdfs/40763144.pdf,1,ok,0.64,13.0,0f26e97b94d629e7
40779404,new30,frontier_compare/pdfs/40779404.pdf,1,ok,0.55,6.0,ac81c5010e0b423a
40839365,new30,frontier_compare/pdfs/40839365.pdf,1,ok,0.65,7.0,acc927d2dc1c1c42
40857111,new30,frontier_compare/pdfs/40857111.pdf,1,ok,0.38,5.0,a74c9832a7883a06
40872801,new30,frontier_compare/pdfs/40872801.pdf,1,ok,1.62,22.0,bc533d4c7e29e6e3
40938120,new30,frontier_compare/pdfs/40938120.pdf,1,ok,0.68,16.0,466541256cbc7f0c
40938996,new30,frontier_compare/pdfs/40938996.pdf,1,ok,1.79,16.0,9da5f05ee776dcf9
40965168,new30,frontier_compare/pdfs/40965168.pdf,1,ok,1.88,9.0,78785b6bc86537b7
40974886,new30,frontier_compare/pdfs/40974886.pdf,1,ok,1.14,8.0,cb101ab16658af2f
41004608,new30,frontier_compare/pdfs/41004608.pdf,1,ok,0.93,10.0,171adfd437cd19c7
41012586,new30,frontier_compare/pdfs/41012586.pdf,1,ok,0.45,11.0,0e40c18eebf3d992
41023944,new30,frontier_compare/pdfs/41023944.pdf,1,ok,1.08,8.0,1801f78502ee4a29
41029850,new30,frontier_compare/pdfs/41029850.pdf,1,ok,1.42,9.0,35d15f4a1dc80893
41056006,new30,frontier_compare/pdfs/41056006.pdf,1,ok,1.32,16.0,6efe89d8b122b4ec
41057785,new30,frontier_compare/pdfs/41057785.pdf,1,ok,1.86,9.0,1db44873059a9213
41088231,new30,frontier_compare/pdfs/41088231.pdf,1,ok,2.24,10.0,036d1597bdd5e11d
41091504,new30,frontier_compare/pdfs/41091504.pdf,1,ok,5.93,13.0,9e28c47f76076ba8
41093949,new30,frontier_compare/pdfs/41093949.pdf,1,ok,1.68,9.0,dab8125826fd67f1
41112839,new30,frontier_compare/pdfs/41112839.pdf,1,ok,1.52,7.0,0b3dcb4057cf410f
41129268,new30,frontier_compare/pdfs/41129268.pdf,1,ok,4.86,23.0,678a39284b6c848f
41130593,new30,frontier_compare/pdfs/41130593.pdf,1,ok,0.55,18.0,4986117f9e3e00d4
41140464,new30,frontier_compare/pdfs/41140464.pdf,1,ok,0.71,9.0,e9d7a13da8062678
