PMID,QID,Model,verdict,note
37540331,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37541705,14,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,14,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,15,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,15,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,15,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,6,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,6,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,7,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,7,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37541705,7,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37546367,16,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37546367,16,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37546367,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 3274 and 2074 are stated in the paper
37554471,11,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37554471,12,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37554471,14,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37554471,15,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37554471,15,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
37554471,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37554471,16,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37554471,16,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
37554471,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37554471,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37554471,6,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37573167,16,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37573167,16,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37593123,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37593123,6,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37593123,7,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37593123,7,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37632071,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37649807,11,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37649807,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37649807,6,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37649807,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37649807,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37701387,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37701387,6,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37701387,6,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37701387,6,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37701387,7,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37701387,7,Kimi K3 QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37701387,7,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
37701387,9,GPT-6 Astra QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37775947,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37775947,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37872202,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37872202,6,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
37878637,4,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37878637,4,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37896785,15,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
37896785,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37896785,16,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
37914679,15,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
37914679,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37938856,11,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37938856,11,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37938856,11,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37938856,11,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37946329,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 1078 and 921 are stated in the paper
37966701,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37966701,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37966701,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
37993493,5,GPT-4o FT,annotation/convention,R6 QID 5 denominator: both 600 and 33 are stated in the paper
37993493,5,GPT-4o QSP,annotation/convention,R6 QID 5 denominator: both 600 and 33 are stated in the paper
37993493,5,GPT-4o FT+QSP,annotation/convention,R6 QID 5 denominator: both 600 and 33 are stated in the paper
38020274,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38020274,16,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38020274,16,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38020274,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38022124,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38022124,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38022124,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38031075,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38031075,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38031075,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38031075,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38033131,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38033131,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38033131,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38033131,6,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38033131,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38033131,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38090027,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38090027,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38090027,6,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38090027,7,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38090027,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38140553,4,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38140553,4,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38140667,11,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,12,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,12,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,14,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,14,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,15,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,16,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,6,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,7,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,9,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
38140667,9,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
38142692,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,16,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,6,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,6,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,7,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38142692,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38152686,6,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38152686,6,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38152686,6,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38314093,15,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
38314093,15,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38314093,15,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38314093,16,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
38314093,16,GPT-4o QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38427738,10,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
38427738,10,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
40400229,5,GPT-4o FT,annotation/convention,R6 QID 5 denominator: both 54 and 47 are stated in the paper
40400229,5,GPT-4o FT+QSP,annotation/convention,R6 QID 5 denominator: both 54 and 47 are stated in the paper
40431710,13,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
40713598,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 96 and 20 are stated in the paper
40763144,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 363 and 295 are stated in the paper
40839365,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 288 and 212 are stated in the paper
40872801,1,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
40938120,5,GPT-6 Astra QSP,annotation/convention,R6 QID 5 denominator: both 1260 and 1048 are stated in the paper
40938120,5,Kimi K3 QSP,annotation/convention,R6 QID 5 denominator: both 1260 and 1048 are stated in the paper
40938120,5,GPT-4o FT,annotation/convention,R6 QID 5 denominator: both 1260 and 1048 are stated in the paper
40938120,5,GPT-4o FT+QSP,annotation/convention,R6 QID 5 denominator: both 1260 and 1048 are stated in the paper
40938996,10,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40938996,11,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
40938996,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40938996,12,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40938996,14,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40938996,15,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40938996,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40965168,6,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40965168,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40965168,9,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
40974886,5,Kimi K3 QSP,annotation/convention,R6 QID 5 denominator: both 241 and 223 are stated in the paper
40974886,5,GPT-4o FT,annotation/convention,R6 QID 5 denominator: both 241 and 223 are stated in the paper
40974886,5,GPT-4o QSP,annotation/convention,R6 QID 5 denominator: both 241 and 223 are stated in the paper
41004608,12,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
41004608,14,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
41004608,15,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
41004608,16,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
41012586,12,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,12,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,14,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,14,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,15,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,15,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,16,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,16,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,6,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,6,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,9,GPT-4o FT,model error,M2 cascade: the model's own QID 1 answer was wrong
41012586,9,GPT-4o FT+QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,11,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,12,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,14,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,15,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,16,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,7,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
41056006,7,GPT-4o FT,borderline,M1: annotation empty but the model's answer is in the PDF text
41056006,7,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41056006,7,GPT-4o FT+QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
41056006,9,GPT-4o QSP,model error,M2 cascade: the model's own QID 1 answer was wrong
41088231,15,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
41088231,15,Kimi K3 QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
41088231,16,GPT-6 Astra QSP,borderline,M1: annotation empty but the model's answer is in the PDF text
