pmid,qid,question,chunk_ids,sections,scores
40400229,6,From which countries were the sequenced samples obtained?,3|2|9|5|4,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS,4.1814|2.8935|2.8335|1.8728|1.4210
40400229,7,From what years were the sequenced samples obtained?,2|3|4|5|9,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS,4.0727|3.8966|2.5853|1.8728|1.2790
40400229,8,Were samples cloned prior to sequencing?,4|6|3|2|9,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS,2.8834|2.1775|0.8319|0.7810|0.6525
40400229,9,Which HIV genes were reported to have been sequenced?,6|3|4|2|9,HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > RESULTS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > METHODS|HIV seroconversions and genotypic viral resistance profiles in the PrEP impact trial > CONCLUSIONS,5.1368|4.9614|3.8237|3.5344|3.3197
40431710,1,Does the paper report HIV sequences from patient samples?,21|13|12|20|19,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,10.2160|6.5355|5.9747|5.5464|3.9283
40431710,10,What method was used for sequencing?,11|10|17|18|20,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,2.3622|2.2791|2.2347|1.9763|1.6694
40431710,11,What type of samples were sequenced?,12|13|11|10|17,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,4.0690|3.3555|3.0556|2.5438|2.2253
40431710,12,How many individuals had samples obtained for HIV sequencing?,10|21|16|11|14,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,6.5546|4.9064|4.4644|3.6889|3.4749
40431710,13,Were the patients in the study in a clinical trial?,14|15|6|5|2,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report,7.6635|6.2747|6.1080|5.6753|4.0736
40431710,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,21|16|6|11|14,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 1. Case Report|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,13.1027|7.2029|5.7988|5.6082|5.4732
40431710,15,Which drug classes were received by individuals in the study before sample sequencing?,16|14|18|15|21,Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion|Emergence of Bictegravir Resistance in a Treatment-Experienced PWH on Functional Monotherapy and Rapid Replacement by an Ancient Wild-Type Strain Following Transient Treatment Interruption > 2. Discussion,8.7695|7.4154|7.2982|6.3120|6.2673
