PMID,QID,Question,Human-Answer,bm25_text_coverage,semantic_text_coverage,coverage_delta,bm25_chunk_ids,semantic_chunk_ids,bm25_reconstructed_sections,semantic_reconstructed_sections,bm25_excerpt,semantic_excerpt
36659824,9,Which HIV genes were reported to have been sequenced?,"RT, IN",1.0,1.0,0.0,24|9|18|8|21,4|10|3|27|6,Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Discussion | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Patients and methods > Statistical analysis | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Discussion | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Patients and methods > Statistical analysis | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Discussion,Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Patients and methods > Procedures | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Results > Study participants | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Patients and methods > Procedures | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Funding | Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Patients and methods > Outcomes,"[Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Discussion] In our study, there was a low incidence of side effects and only a few led to discontinuation of study medication. Dizziness is frequently reported with BIC/FTC/TAF (≥1/100, \<1/10) unlike the other side effects reported that led to study discontinuation (modification of fat distribution and dryness of the mouth). Those are not commonly reported…","[Same-day initiation of bictegravir/emtricitabine/tenofovir alafenamide: Week 48 results of the FAST study---IMEA 055 > Patients and methods > Procedures] After the baseline visit, participants were seen at W2, W4 and W12, and then every 12 weeks until W48. At each visit, participants had routine safety monitoring as well as measurement of CD4 and CD8 cell counts and pVL. Plasma HIV-1-RNA was quantified using the COBAS 6800 ^®^ HIV-1 Test kit (Roche, Bale, Switzerland) with …"
36660819,9,Which HIV genes were reported to have been sequenced?,"RT, IN",1.0,1.0,0.0,27|15|6|21|5,7|8|28|13|12,"Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > DISCUSSION > Limitations | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > RESULTS > Safety | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > METHODS > Randomization | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > DISCUSSION | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > METHODS > Study Design","Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > METHODS > Outcomes | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > METHODS > Statistical Analysis | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > DISCUSSION > Conclusions | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > RESULTS > Virologic Failure | Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > RESULTS > Efficacy","[Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > DISCUSSION > Limitations] The current study has several limitations. The lack of blinding may have caused participants to anticipate and report more AEs due to the administration of CAB+RPV LA. Due to the difference in dosing frequency, more frequent safety ass…","[Long-Acting Cabotegravir and Rilpivirine Dosed Every 2 Months in Adults With Human Immunodeficiency Virus 1 Type 1 Infection: 152-Week Results From ATLAS-2M, a Randomized, Open-Label, Phase 3b, Noninferiority Study > METHODS > Outcomes] The primary endpoint was the proportion of participants with plasma HIV-1 RNA of 50 copies/mL or greater at week 48 using the US Food and Drug Administration Snapshot algorithm \[ 21 \], as previously published \[ 10 \]. Endpoints assessed a…"
36694270,9,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",1.0,1.0,0.0,10|3|8|2|1,3|6|9|2|8,Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Discussion | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > HIV-1 gene amplification and drug resistance analysis | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Discussion | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Patients and methods > Patients | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > ABSTRACT,Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > HIV-1 gene amplification and drug resistance analysis | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Drug resistance differences between cerebrospinal fluid and plasma genotypes | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Discussion | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Patients and methods > Patients | Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Discussion,"[Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > Discussion] Currently, the international recommended ARV treatment regimen is combination of NRTIs and third-class drugs, and the third-class drugs can be NNRTIs or enhanced PIs or INSTIs; or compound single-tablet regimens (STR) \[ ^18--20^ \]. Long-term fixed drug treatment regimens are also prone to lead to common drug resistance mutations. For example, in our study, The…","[Differences in drug resistance of HIV-1 genotypes in CSF and plasma and analysis of related factors > HIV-1 gene amplification and drug resistance analysis] We amplified the nucleotide sequences of HIV-1 protease, reverse transcriptase and integrase using nested polymerase chain reaction (nest-pcr) method. A viral nucleic acid extraction kit (Jiangsu Shuoshi Company, China) was used to extract RNA from 00 μL plasma and CFS. The first round of PCR was performed using the HiS…"
36706364,9,Which HIV genes were reported to have been sequenced?,"RT, IN",1.0,1.0,0.0,18|15|2|9|20,10|12|6|5|2,Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Discussion | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Results > Follow up of participants not suppressed at week 24 and/or week 48 | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Abstract > Methods | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Methods > Outcomes and analysis | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Discussion,Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Results > Baseline characteristics | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Results > Virologic failure | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Methods > Study design | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Methods > Study design | Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Abstract > Methods,"[Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Discussion] Despite the substantial proportion with low-level viraemia, only two participants fulfilled the study definition of virological failure over 72 weeks and neither of these participants (nor an additional patient who qualified for genotype resistance testing) had integrase resistance mutations. Resistance has been identified in NADIA (t…","[Recycling tenofovir in second-line antiretroviral treatment with dolutegravir: outcomes and viral load trajectories to 72 weeks > Results > Baseline characteristics] The baseline characteristics of the 62 participants enrolled between August 2019 and July 2020, are described in Table 1 . Low, intermediate or high-level resistance to tenofovir, XTC or both was found in 89.3% (50/56 participants with results). Of these, 35.7% (20/56) had K65R mutations and 82.1% (46/56) had M…"
36738248,9,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",1.0,1.0,0.0,2|4|3|19|18,4|3|9|2|10,Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Study population | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Sequencing | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Study population | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Discussion | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Discussion,Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Sequencing | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Study population | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Results | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Study population | Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Results,"[Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Study population] Our study population consisted of people living with HIV (PLHIV) enrolled in the SHCS and the Zurich Primary HIV Cohort Study (ZPHI). The SHCS is a prospective multicentre study that is highly representative of the HIV-1 epidemic in Switzerland and includes broad, in-depth and high-quality genetic, biological, clin…","[Frequency matters: comparison of drug resistance mutation detection by Sanger and next-generation sequencing in HIV-1 > Materials and methods > Sequencing] SS was performed by amplification and sequencing of HIV genomic regions targeted by antiretroviral (ARV) drugs, such as the protease (PR), reverse transcriptase (RT) and integrase (IN) regions. This method of population sequencing generates a single consensus sequence per sample, which represents the predominant HIV vari…"
36751650,9,Which HIV genes were reported to have been sequenced?,"PR, RT",1.0,1.0,0.0,2|19|8|11|16,8|7|17|2|11,"Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > Abstract > Methods | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > DISCUSSION | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > METHODS > Subtyping and Genotypic Resistance Analysis | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > RESULTS > Prevalence and the Factors Associated With PDR | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > DISCUSSION","Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > METHODS > Subtyping and Genotypic Resistance Analysis | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > METHODS > Testing and Sequencing | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > DISCUSSION | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > Abstract > Methods | Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > RESULTS > Prevalence and the Factors Associated With PDR","[Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > Abstract > Methods] Individuals newly diagnosed with HIV in Guangxi from 2016 to 2020, which mainly included MSM and the heterosexual (HES) population, were recruited in this study. Pol sequences were sequenced to analyze PDR and construct a genetic network. The risk factors for PDR and the effect on ART were respectively analyzed. [Disparity of H…","[Disparity of HIV-1 Pretreatment Drug Resistance in Men Who Have Sex With Men and the Heterosexual Population in Guangxi, China > METHODS > Subtyping and Genotypic Resistance Analysis] All sequences were edited with Sequencher v5.1 software (Genecodes, Ann Arbor, Michigan) and aligned using BioEdit 7.1 software (Ibis Biosciences, Carlsbad, California) \[ 26 \]. Reference sequences were downloaded from the Los Alamos HIV database, which included all major HIV-1 subtypes and c…"
36779485,9,Which HIV genes were reported to have been sequenced?,RT,1.0,1.0,0.0,9|8|4|1|2,4|6|3|7|2,Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract,Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract | Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract,"[Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract] We acknowledge that our resistance data are not obtained from patients with a suppressed viral load, hence the prevalence of rilpivirine DRMs might be an overestimation. Hermans *et al.* \[ 13 \] reported that viremia is common (19.8%) in patients treated with NNRTIs and that many patients (58.5%) were switched late or not at all corroborating the hi…",[Impact of rilpivirine cross-resistance on long-acting cabotegravir-rilpivirine in low and middle-income countries > Abstract] Genotypic sequence data from 277 patients initiating ART and 1372 patients experiencing NNRTI-treatment failure were included for analysis as previously described \[ 7 \]. Pol sequences were submitted to Stanford HIVdb v9.0 to identify rilpivirine DRMs. The following mutations were included as rilpivirine DRMs (Stanford HIVdb penalty score ≥10): A98G…
36851704,9,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",1.0,1.0,0.0,1|13|7|14|4,4|5|12|6|10,"HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > Abstract | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 4. Discussion | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.1. Demographic and Clinical Characteristics | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 4. Discussion | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.3. Laboratory Procedures","HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.3. Laboratory Procedures | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.4. Data Analysis | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.2. HIV Drug Resistance | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.4. Data Analysis | HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 3. Results > 3.2. HIV Drug Resistance","[HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > Abstract] The first nationally representative cross-sectional HIV drug resistance (HIVDR) survey was conducted in Uruguay in 2018--2019 among adults diagnosed with HIV and initiating or reinitiating antiretroviral therapy (ART). *Protease* , *reverse transcriptase* , and *integrase* genes of HIV-1 were sequenced. A total of…","[HIV Drug Resistance in Adults Initiating or Reinitiating Antiretroviral Therapy in Uruguay---Results of a Nationally Representative Survey, 2018--2019 > 2. Materials and Methods > 2.3. Laboratory Procedures] Whole blood specimens were collected by venipuncture in EDTA-containing tubes from participants before initiating or reinitiating ART. Plasma was separated within 12 h of collection; all plasma specimens were stored at −80 °C at the National HIV-AIDS Reference Laborator…"
36851760,9,Which HIV genes were reported to have been sequenced?,IN,1.0,1.0,0.0,11|14|6|12|1,4|6|2|7|1,Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.2. Genotyping and Analysis of Resistance-Associated Mutations | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > Abstract,Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.2. Genotyping and Analysis of Resistance-Associated Mutations | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.2. Genotyping and Analysis of Resistance-Associated Mutations | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > Abstract | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.2. Genotyping and Analysis of Resistance-Associated Mutations | Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > Abstract,"[Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 4. Discussion] This first report from Benin and Mali found that no major INI RAMs were identified, consistent with prior studies \[ 7 , 14 , 18 \], further supporting evidence that primary INI RAMs are rare. This finding is congruent with studies from the United States \[ 19 \] and Europe \[ 20 \], where INI drug-resistance mutations (DRMs) have rarely been identifi…",[Prevalence of HIV-1 Natural Polymorphisms and Integrase-Resistance-Associated Mutations in African Children > 2. Materials and Methods > 2.2. Genotyping and Analysis of Resistance-Associated Mutations] HIV-1 RNA was extracted from the 107 DBSs using EasyMag technology as per the manufacturer's instructions. Target integrase regions of the HIV-1 were subsequently amplified by PCR after reverse-transcription production of complementary DNA (cDNA) and sequenced using the Sange…
36920025,9,Which HIV genes were reported to have been sequenced?,PR,1.0,1.0,0.0,26|34|46|40|39,46|40|41|39|7,Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Discussion | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Discussion > Protease mutation networks and compensatory mutations in the resistant pathways | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Data availability | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Materials and methods > Primer-ID deep sequencing of viral RNA | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Materials and methods > DNA preparation and amplification of the protease-coding region,Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Data availability | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Materials and methods > Primer-ID deep sequencing of viral RNA | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Materials and methods > Protease expression and purification | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Materials and methods > DNA preparation and amplification of the protease-coding region | Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Results > Selection for high-level resistance during passage in cell culture follows two pathways,"[Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Discussion] The potency of these inhibitors can be inferred by the high genetic barrier to high-level resistance. The maximum drug concentrations of DRV achieved in the blood are nearly 1000-fold above the EC ~50~ in cell culture ( Kurt Yilmaz et al., 2009 ), and therapy failure with resistance mutations for therapies involving DRV are rare a…","[Selection of HIV-1 for resistance to fifth-generation protease inhibitors reveals two independent pathways to high-level resistance > Data availability] The sequencing data (Figure 2, 3, and 4) is available at NIH Sequencing Read Archive (SRA) under BioProject ID PRJNA853351.All source data files for enzymatic Ki and Km (Table 1, Figure 2 and 5) have been uploaded to the Carolina Digital Repository: Swanstrom, Ron, and Ean Spielvogel. Km and Ki Dataset for Selection of Hiv-…"
36931676,9,Which HIV genes were reported to have been sequenced?,RT,1.0,1.0,0.0,11|20|5|7|25,24|23|27|8|21,"Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Ethics | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Selected findings from the past 10 years to date > Studies on late presentation | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Study population | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Coverage and validation of the study population | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Selected findings from the past 10 years to date > Studies on patient-reported outcomes and experiences","Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Selected findings from the past 10 years to date > Studies on drug resistance mutations | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Selected findings from the past 10 years to date > Studies on elite controllers | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Future plans | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Cohort variables | Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Selected findings from the past 10 years to date > Studies on comorbidity and mortality","[Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Ethics] At time of entering HIV care, PLHIV are informed about the registry, after which they can either give verbal consent or opt out. Participants always have the right to exit InfCareHIV, although this has been very uncommon. Participants can request an extract on their data from the registry, free of charge, in accordance with the European…","[Cohort profile: InfCareHIV, a prospective registry-based cohort study of people with diagnosed HIV in Sweden > Cohort description > Selected findings from the past 10 years to date > Studies on drug resistance mutations] Sönnerborg *et al* have also studied HIV drug resistance, both transmitted and acquired, and the molecular HIV epidemiology. Among several key findings, an increase of transmitted drug resistance in the InfCareHIV cohort ^3^ was reported. A pronounced HIV-1…"
36961945,9,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",1.0,1.0,0.0,15|14|5|12|7,6|7|14|2|16,Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > DISCUSSION | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > DISCUSSION | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > MATERIALS AND METHODS > Study Cohort | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > RESULTS > 3TC/FTC ART regimen and M184V/I | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > MATERIALS AND METHODS > Sequence Analysis > Archived Proviral DNA,Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > MATERIALS AND METHODS > Sequence Analysis > Blood Plasma | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > MATERIALS AND METHODS > Sequence Analysis > Archived Proviral DNA | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > DISCUSSION | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > Abstract > Methods: | Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > DISCUSSION,"[Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > DISCUSSION] Our observations are limited by the small cohort sample size, the short duration of follow-up for most of the participants, and other factors, such as possible differences in medication adherence. Additionally, although we used stored PBMC samples, our comparative analysis was limited because we did not have available…","[Comparative analysis of pre-existing HIV drug resistance mutations in proviral DNA via Next-Generation Sequencing and routine HIV RNA genotyping > MATERIALS AND METHODS > Sequence Analysis > Blood Plasma] Bulk genotyping of HIV reverse transcriptase (RT) was performed to identify transmitted drug resistance (GeneSeq HIV; Monogram Biosciences, Inc., South San Francisco, CA or Viroseq v.2.0; Celera Diagnostics, Alameda, CA) in blood plasma before ART initiation. ^17\ ,\ 18^ C…"
