pmid,k,example_pmids
37052343,5,38376918|19938977|26129754|31611857|25694653
37071019,5,25552724|25348535|36347497|36708743|38376918
37085698,5,25956162|36298841|36578581|20718620|20029816
37104815,5,37167996|29892063|36566079|32027734|37317505
37112971,5,35061671|37112921|37293603|36016383|20029816
37147875,5,33228206|37317505|25956162|38558010|36347497
37272233,5,37293603|36479423|31611857|29309418|37194419
37279764,5,37112921|28178281|26129754|20029816|25261422
37327289,5,35215928|36016383|20483657|37279560|38376918
37340869,5,34978890|38207125|36240386|36082606|37399555
37358226,5,37279560|36479423|20666602|19933171|31611857
37376649,5,34694877|37194419|36082606|26041893|36566079
37381002,5,20718620|25956162|35215928|20029816|35508579
37439411,5,37317505|36708743|35508579|38206187|20666602
37495103,5,37317505|37194419|37293603|34835480|36578581
37498738,5,38376918|31611857|30420517|20666602|36074794
37515095,5,37112921|25956162|36016295|31611857|30517632
37515146,5,34835480|35305571|20029816|35061671|25504831
37520425,5,36479423|37293603|37317505|37279560|31611857
37537871,5,25956162|30333167|38376918|26041893|37317505
37540331,5,37167996|37112915|19938977|36479423|37317505
37541705,5,37815035|37167996|34694877|36566079|34694878
37546367,5,27231099|38376918|25956162|37293603|35631067
37554471,5,36479423|37293603|38207125|37317505|36299554
37573167,5,31611857|37258034|36479423|35508579|37317505
37574435,5,37194419|36728219|36082606|38206187|38207125
37585352,5,25956162|38376918|37112921|26115688|29415189
37593123,5,37112921|25956162|31611857|28178281|36016383
37626789,5,26196688|20455758|19933171|20345882|36680436
37632026,5,36479423|36101479|20345882|37367727|20029816
37632071,5,37317505|38137828|36479423|31611857|20666602
37649807,5,37293603|37279560|36479423|34694877|37399555
37662576,5,25552724|25956162|38376918|31611857|20124001
37674678,5,37112921|25956162|28178281|26129754|25410050
37701387,5,36479423|26196688|37317505|29892063|31611857
37716367,5,34370795|35283836|20718620|35508579|29584723
37755428,5,30517632|36476348|37293603|35305571|36578581
37775947,5,25956162|38376918|31611857|20345882|29415189
37817087,5,25956162|20029816|36578581|26196688|37112921
37823653,5,25956162|35838991|38376918|31611857|35508579
37872202,5,25348535|31611857|36074794|25552724|25956162
37878637,5,31611857|38376918|26196688|35215928|20029816
37880705,5,35631067|35061671|35283836|20666602|25956162
37896785,5,25504831|37167996|20718620|20345882|25754408
37896860,5,37293603|37279560|26196688|20345882|35508579
37910452,5,37293603|37317505|20666602|31611857|26196688
37914679,5,35838991|36479423|35508579|33228206|37317505
37920909,5,36578581|25956162|38207125|37293603|37317505
37938856,5,37167996|37279560|27231099|32027734|29892063
37941373,5,36578581|25956162|35300056|37317505|37293603
37946329,5,36479423|36578581|35508579|37815035|34370795
37957382,5,38376918|36074794|30420517|31611857|30700598
37966701,5,37399555|36240386|38207125|34978890|37317505
37973713,5,35508579|35631067|36298841|36578581|38206187
37976080,5,35061671|35305571|36366418|30560685|34855860
37976185,5,36240386|37167996|31611857|32027734|31600343
37993493,5,37279560|36680436|37317505|37293603|36541644
38005921,5,36298841|20718620|36074794|25552724|35134180
38020274,5,38207125|35493118|26196688|31611857|36479423
38022124,5,37131300|36479423|37194419|38558010|35508579
38031075,5,37279560|37317505|37293603|36479423|31611857
38033131,5,37279560|36479423|37293603|26196688|25970253
38058846,5,36479423|37317505|37293603|36299554|37167996
38072961,5,36479423|37293603|37317505|25642847|36240386
38090027,5,37194419|38207125|37317505|36479423|37112915
38140553,5,36298841|36146776|37112921|35215928|31611857
38140649,5,37112921|36578581|36298841|35508579|36016383
38140667,5,37194419|37317505|37293603|38207125|36728219
38142692,5,37167996|36479423|20345882|35905753|37293603
38152686,5,36479423|37293603|37317505|33228206|36299554
38314093,5,25956162|31611857|20718620|20124001|38376918
38427738,5,25348535|25956162|25552724|31611857|25691633
38864613,5,36082606|25348535|35546110|26149983|25552724
