pmid,k,example_pmids
37716367,10,34370795|35283836|20718620|35508579|29584723|36298841|28744024|26041893|31611857|20666602
37755428,10,30517632|36476348|37293603|35305571|36578581|37317505|36680436|37167996|36479423|35508579
37775947,10,25956162|38376918|31611857|20345882|29415189|37194419|25642847|26196688|20666602|35305571
37817087,10,25956162|20029816|36578581|26196688|37112921|25552724|37167996|29658302|37317505|20666602
37823653,10,25956162|35838991|38376918|31611857|35508579|26041893|35305571|29892063|20666602|35631067
37872202,10,25348535|31611857|36074794|25552724|25956162|20530226|38206187|26149983|37283423|30420517
37878637,10,31611857|38376918|26196688|35215928|20029816|37279560|25261422|29892063|38206187|25970253
37880705,10,35631067|35061671|35283836|20666602|25956162|35305571|36578581|31611857|19686436|35215928
37896785,10,25504831|37167996|20718620|20345882|25754408|37293603|36578581|20029816|20666602|35508579
37896860,10,37293603|37279560|26196688|20345882|35508579|36680436|36479423|19933171|27231099|31600343
37910452,10,37293603|37317505|20666602|31611857|26196688|37279560|36074794|36479423|36299554|19686436
37914679,10,35838991|36479423|35508579|33228206|37317505|20666602|25420695|19933171|20388636|25956162
37920909,10,36578581|25956162|38207125|37293603|37317505|34835480|36479423|33228206|35631067|36240386
37938856,10,37167996|37279560|27231099|32027734|29892063|36479423|25504831|36240386|33055182|19933171
37941373,10,36578581|25956162|35300056|37317505|37293603|20029816|20718620|37194419|34835480|37112921
37946329,10,36479423|36578581|35508579|37815035|34370795|35631067|37367727|25754408|30517632|34835480
37957382,10,38376918|36074794|30420517|31611857|30700598|31723024|25956162|32848246|37283423|26041893
37966701,10,37399555|36240386|38207125|34978890|37317505|36728219|34694877|31611857|36082606|37194419
37973713,10,35508579|35631067|36298841|36578581|38206187|20029816|26196688|20666602|25642847|36016383
37976080,10,35061671|35305571|36366418|30560685|34855860|25410050|27231099|37112921|25653132|34835480
37976185,10,36240386|37167996|31611857|32027734|31600343|37194419|28178281|36566079|35508579|29309418
37993493,10,37279560|36680436|37317505|37293603|36541644|26196688|34835480|36479423|35305571|33055182
38005921,10,36298841|20718620|36074794|25552724|35134180|26041893|36708743|20666602|32027734|29026792
38020274,10,38207125|35493118|26196688|31611857|36479423|38376918|20345882|37279560|37293603|27231099
38022124,10,37131300|36479423|37194419|38558010|35508579|25420695|37317505|37112915|27231099|31611857
38031075,10,37279560|37317505|37293603|36479423|31611857|20666602|34694877|35508579|27231099|35905753
38033131,10,37279560|36479423|37293603|26196688|25970253|34835480|20345882|35508579|35215928|27231099
38058846,10,36479423|37317505|37293603|36299554|37167996|35493118|30631792|26196688|38207125|33228206
38072961,10,36479423|37293603|37317505|25642847|36240386|33228206|36299554|31611857|29892063|38376918
38090027,10,37194419|38207125|37317505|36479423|37112915|25694653|25635815|35508579|37815035|27231099
38140553,10,36298841|36146776|37112921|35215928|31611857|20029816|36016383|25956162|37335033|35061671
38140649,10,37112921|36578581|36298841|35508579|36016383|35631067|31611857|19686436|34422316|20718620
38140667,10,37194419|37317505|37293603|38207125|36728219|36082606|36479423|37112915|36299554|37258034
38142692,10,37167996|36479423|20345882|35905753|37293603|37279560|37317505|36680436|36566079|35493118
38152686,10,36479423|37293603|37317505|33228206|36299554|30631792|38558010|36347497|36728219|36578581
38314093,10,25956162|31611857|20718620|20124001|38376918|25410050|36578581|25865741|29026792|26041893
38427738,10,25348535|25956162|25552724|31611857|25691633|38376918|38206187|19933797|37303226|20124001
38864613,10,36082606|25348535|35546110|26149983|25552724|25956162|37317505|37303226|37185867|31611857
