pmid,k,example_pmids
37585352,5,28178281|34835480|33119663|32045455|25659108
37593123,5,27782811|25899877|35300056|25879488|26020400
37626789,5,37624329|26196688|28178281|24655349|36680436
37632026,5,34835480|36680436|28178281|25659108|31416460
37632071,5,38131882|38137828|37624329|29892063|37258034
37649807,5,37624329|28178281|33119663|36680436|37279560
37662576,5,20660676|29511083|20308382|36680168|34694877
37674678,5,27782811|35300056|25899877|25879488|25653132
37701387,5,38131882|37131300|38558010|33228206|37112915
37716367,5,36610438|34515004|25754408|35794938|33119663
37755428,5,37293603|36479423|34369051|36299554|36101479
37775947,5,36680436|34694878|34978890|37258034|35061879
37817087,5,34835480|36366418|35794938|28178281|31600343
37823653,5,25754408|25649964|25659108|27231099|25681380
37872202,5,20660667|29511083|34694877|19933797|26149983
37878637,5,33501504|25413141|28178281|32761071|25889106
37880705,5,24655349|28178281|34835480|36366418|25649964
37896785,5,34835480|33119663|36366418|35508579|32045455
37896860,5,26196688|37624329|28178281|33119663|37279560
37910452,5,37624329|33119663|28178281|37279560|36680436
37914679,5,35300056|34515004|27782811|36186451|25879488
37920909,5,35300056|36186451|35061879|36680436|27782811
37938856,5,37624329|33119663|34694878|37279560|36566079
37941373,5,35300056|36186451|27782811|34835480|35061879
37946329,5,35300056|27782811|36680436|34515004|25879488
37957382,5,31611857|38376918|37283423|20810731|27403940
37966701,5,38207125|37399555|36566079|34978890|36240386
37973713,5,25652746|25649964|36366418|35061671|37112921
37976080,5,25899877|34855860|27782811|25754408|30517632
37976185,5,25681380|29584723|36225747|27231099|32761071
37993493,5,33228206|36225747|36541644|27231099|36680436
38005921,5,36366418|31600343|34835480|28178281|38058650
38020274,5,36680436|37279560|34835480|34694878|33501504
38022124,5,37131300|38131882|37565832|38137828|37112915
38031075,5,37624329|36680436|34835480|33119663|37279560
38033131,5,37624329|26196688|28178281|37279560|36680436
38058846,5,36680436|33119663|37317505|26196688|25659108
38072961,5,27782811|34835480|34515004|37317505|33119663
38090027,5,38131882|37131300|37194419|36728219|37317505
38140553,5,35061671|30517632|37112921|36366418|25413141
38140649,5,37112921|35794938|35061671|36016383|25652746
38140667,5,33228206|25691633|37112915|36225747|33635845
38142692,5,35905753|37112915|38137828|27231099|20453629
38152686,5,36299554|36479423|36347497|30631792|35893472
38314093,5,34515004|25653132|27782811|35300056|26020400
38427738,5,35491829|25552724|19933797|27645238|20421122
38864613,5,19933797|36082606|35491829|25367908|25482475
