QID,model_name,base A,base P,base R,base F,FT A,FT P,FT R,FT F,QSP A,QSP P,QSP R,QSP F,FT+QSP A,FT+QSP P,FT+QSP R,FT+QSP F
4,Llama3.1-8B,0.9866666666666668,1.0,0.9090909090909092,0.9523809523809524,0.9533333333333334,1.0,0.6818181818181818,0.8108108108108109,0.9733333333333334,0.8461538461538461,1.0,0.9166666666666666,0.7666666666666667,0.3555555555555555,0.7272727272727273,0.4776119402985074
5,GPT-4o,0.8266666666666667,0.9625,0.77,0.8555555555555556,0.8333333333333334,0.9629629629629628,0.78,0.8618784530386739,0.8333333333333334,0.9310344827586208,0.81,0.8663101604278076,0.8333333333333334,0.9411764705882352,0.8,0.8648648648648648
5,Llama3.1-70B,0.8133333333333334,0.9615384615384616,0.75,0.8426966292134831,0.8,1.0,0.7,0.8235294117647058,0.8466666666666667,0.963855421686747,0.8,0.8743169398907104,0.7866666666666666,0.9857142857142858,0.69,0.8117647058823529
5,Llama3.1-8B,0.7333333333333333,0.9411764705882352,0.64,0.7619047619047621,0.7333333333333333,0.9545454545454546,0.63,0.7590361445783134,0.78,0.8526315789473684,0.81,0.8307692307692308,0.6266666666666667,0.8142857142857143,0.57,0.6705882352941175
6,GPT-4o,0.8066666666666666,0.9692307692307692,0.7,0.8129032258064517,0.92,0.9431818181818182,0.9222222222222224,0.9325842696629216,0.8533333333333334,0.8333333333333334,0.9444444444444444,0.8854166666666667,0.88,0.8829787234042553,0.9222222222222224,0.9021739130434784
6,Llama3.1-70B,0.8,0.875,0.7777777777777778,0.823529411764706,0.8666666666666667,0.9605263157894736,0.8111111111111111,0.8795180722891566,0.9133333333333332,0.9753086419753086,0.8777777777777778,0.9239766081871346,0.8466666666666667,1.0,0.7444444444444445,0.8535031847133758
6,Llama3.1-8B,0.6933333333333334,1.0,0.4888888888888889,0.6567164179104478,0.7466666666666667,0.9333333333333332,0.6222222222222222,0.7466666666666667,0.8,0.8488372093023255,0.8111111111111111,0.8295454545454545,0.7133333333333334,0.9272727272727272,0.5666666666666667,0.7034482758620689
7,GPT-4o,0.86,0.9571428571428572,0.788235294117647,0.864516129032258,0.9266666666666666,0.9404761904761904,0.9294117647058824,0.9349112426035504,0.88,0.8526315789473684,0.9529411764705882,0.9,0.8933333333333333,0.896551724137931,0.9176470588235294,0.9069767441860463
7,Llama3.1-70B,0.84,0.8860759493670886,0.8235294117647058,0.8536585365853657,0.86,0.9444444444444444,0.8,0.8662420382165604,0.9266666666666666,0.9404761904761904,0.9294117647058824,0.9349112426035504,0.8533333333333334,0.9846153846153848,0.7529411764705882,0.8533333333333333
7,Llama3.1-8B,0.8066666666666666,0.9242424242424242,0.7176470588235294,0.8079470198675496,0.7733333333333333,0.9636363636363636,0.6235294117647059,0.7571428571428571,0.84,0.7904761904761904,0.976470588235294,0.8736842105263157,0.74,0.896551724137931,0.611764705882353,0.7272727272727274
8,GPT-4o,0.9666666666666668,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9666666666666668,1.0,0.4444444444444444,0.6153846153846153,0.9266666666666666,0.375,0.3333333333333333,0.3529411764705882,0.9466666666666668,0.6,0.3333333333333333,0.4285714285714285
8,Llama3.1-70B,0.9333333333333332,0.4,0.2222222222222222,0.2857142857142857,0.9533333333333334,0.75,0.3333333333333333,0.4615384615384615,0.9333333333333332,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.9466666666666668,0.6666666666666666,0.2222222222222222,0.3333333333333333
8,Llama3.1-8B,0.9266666666666666,0.375,0.3333333333333333,0.3529411764705882,0.9333333333333332,0.4,0.2222222222222222,0.2857142857142857,0.8266666666666667,0.1851851851851851,0.5555555555555556,0.2777777777777778,0.9266666666666666,0.375,0.3333333333333333,0.3529411764705882
9,GPT-4o,0.6733333333333333,0.9871794871794872,0.616,0.7586206896551724,0.7466666666666667,0.9484536082474226,0.736,0.8288288288288288,0.7133333333333334,0.9659090909090908,0.68,0.7981220657276995,0.78,0.96,0.768,0.8533333333333333
9,Llama3.1-70B,0.68,0.963855421686747,0.64,0.7692307692307693,0.7066666666666667,0.9879518072289156,0.656,0.7884615384615384,0.7533333333333333,0.9583333333333334,0.736,0.832579185520362,0.6066666666666667,0.9852941176470588,0.536,0.694300518134715
9,Llama3.1-8B,0.6133333333333333,0.971830985915493,0.552,0.7040816326530612,0.5533333333333333,0.9833333333333332,0.472,0.6378378378378378,0.7866666666666666,0.9428571428571428,0.792,0.8608695652173913,0.54,0.9516129032258064,0.472,0.6310160427807486
10,GPT-4o,0.86,0.9285714285714286,0.8024691358024691,0.8609271523178809,0.88,0.9315068493150684,0.8395061728395061,0.8831168831168831,0.8666666666666667,0.9552238805970148,0.7901234567901234,0.8648648648648647,0.8933333333333333,0.9333333333333332,0.8641975308641975,0.8974358974358974
10,Llama3.1-70B,0.7866666666666666,0.9803921568627452,0.6172839506172839,0.7575757575757576,0.8533333333333334,0.9682539682539684,0.7530864197530864,0.8472222222222222,0.8733333333333333,0.9558823529411764,0.8024691358024691,0.87248322147651,0.8133333333333334,0.9818181818181818,0.6666666666666666,0.7941176470588236
10,Llama3.1-8B,0.82,0.95,0.7037037037037037,0.8085106382978724,0.7266666666666667,0.8846153846153846,0.5679012345679012,0.6917293233082706,0.84,0.9014084507042254,0.7901234567901234,0.8421052631578947,0.6733333333333333,0.82,0.5061728395061729,0.6259541984732825
11,GPT-4o,0.7066666666666667,0.8870967741935484,0.5978260869565217,0.7142857142857144,0.8466666666666667,0.925925925925926,0.8152173913043478,0.8670520231213872,0.78,0.8734177215189873,0.75,0.8070175438596491,0.8733333333333333,0.9195402298850576,0.8695652173913043,0.8938547486033519
11,Llama3.1-70B,0.7733333333333333,0.8625,0.75,0.8023255813953489,0.8,0.9696969696969696,0.6956521739130435,0.810126582278481,0.8066666666666666,0.8888888888888888,0.782608695652174,0.8323699421965318,0.7133333333333334,0.9454545454545454,0.5652173913043478,0.7074829931972788
11,Llama3.1-8B,0.7333333333333333,0.8714285714285714,0.6630434782608695,0.7530864197530863,0.7,0.912280701754386,0.5652173913043478,0.6979865771812079,0.64,0.7111111111111111,0.6956521739130435,0.7032967032967032,0.62,0.7966101694915254,0.5108695652173914,0.6225165562913908
12,GPT-4o,0.88,0.9574468085106383,0.7377049180327869,0.8333333333333334,0.9066666666666666,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.9133333333333332,0.913793103448276,0.8688524590163934,0.8907563025210085,0.8733333333333333,0.85,0.8360655737704918,0.8429752066115703
12,Llama3.1-70B,0.8333333333333334,0.875,0.6885245901639344,0.7706422018348624,0.84,0.9743589743589745,0.6229508196721312,0.76,0.9,0.896551724137931,0.8524590163934426,0.8739495798319327,0.86,0.9347826086956522,0.7049180327868853,0.8037383177570093
12,Llama3.1-8B,0.7933333333333333,0.8571428571428571,0.5901639344262295,0.6990291262135924,0.8133333333333334,0.9230769230769232,0.5901639344262295,0.7200000000000001,0.8,0.691358024691358,0.918032786885246,0.7887323943661971,0.74,0.7037037037037037,0.6229508196721312,0.6608695652173914
13,GPT-4o,0.98,0.875,1.0,0.9333333333333332,0.98,0.875,1.0,0.9333333333333332,0.96,0.7777777777777778,1.0,0.8750000000000001,0.9666666666666668,0.8333333333333334,0.9523809523809524,0.888888888888889
13,Llama3.1-70B,0.9733333333333334,0.8695652173913043,0.9523809523809524,0.909090909090909,0.9733333333333334,0.9473684210526316,0.8571428571428571,0.9,0.9666666666666668,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.94,0.9285714285714286,0.6190476190476191,0.742857142857143
13,Llama3.1-8B,0.94,0.7307692307692307,0.9047619047619048,0.8085106382978723,0.94,0.9285714285714286,0.6190476190476191,0.742857142857143,0.94,0.7,1.0,0.8235294117647058,0.9466666666666668,0.9333333333333332,0.6666666666666666,0.7777777777777778
14,GPT-4o,0.8733333333333333,0.9655172413793104,0.7671232876712328,0.8549618320610687,0.9066666666666666,0.8933333333333333,0.9178082191780822,0.9054054054054056,0.88,0.9104477611940298,0.8356164383561644,0.8714285714285713,0.84,0.7951807228915663,0.9041095890410958,0.846153846153846
14,Llama3.1-70B,0.78,0.7702702702702703,0.7808219178082192,0.7755102040816327,0.8533333333333334,0.981132075471698,0.7123287671232876,0.8253968253968254,0.8733333333333333,0.8857142857142857,0.8493150684931506,0.8671328671328671,0.8666666666666667,1.0,0.726027397260274,0.8412698412698413
14,Llama3.1-8B,0.76,0.7605633802816901,0.7397260273972602,0.75,0.7933333333333333,0.8888888888888888,0.6575342465753424,0.7559055118110236,0.7333333333333333,0.6513761467889908,0.9726027397260274,0.7802197802197802,0.6866666666666666,0.6911764705882353,0.6438356164383562,0.6666666666666666
15,GPT-4o,0.6933333333333334,0.64,0.7164179104477612,0.676056338028169,0.86,0.859375,0.8208955223880597,0.8396946564885497,0.7133333333333334,0.7068965517241379,0.6119402985074627,0.6559999999999999,0.7533333333333333,0.7678571428571429,0.6417910447761194,0.6991869918699187
15,Llama3.1-70B,0.5133333333333333,0.475,0.8507462686567164,0.6096256684491979,0.7266666666666667,0.7708333333333334,0.5522388059701493,0.6434782608695653,0.78,0.7833333333333333,0.7014925373134329,0.7401574803149608,0.66,0.9,0.2686567164179104,0.4137931034482758
15,Llama3.1-8B,0.6133333333333333,0.5542168674698795,0.6865671641791045,0.6133333333333333,0.7133333333333334,0.7307692307692307,0.5671641791044776,0.6386554621848739,0.6266666666666667,0.5591397849462365,0.7761194029850746,0.65,0.64,0.6326530612244898,0.4626865671641791,0.5344827586206897
16,GPT-4o,0.6266666666666667,0.5102040816326531,0.4385964912280701,0.4716981132075472,0.8066666666666666,0.78,0.6842105263157895,0.7289719626168225,0.62,0.5,0.2982456140350877,0.3736263736263736,0.7,0.6428571428571429,0.4736842105263157,0.5454545454545454
16,Llama3.1-70B,0.4333333333333333,0.3653846153846153,0.6666666666666666,0.4720496894409938,0.7066666666666667,0.696969696969697,0.4035087719298245,0.5111111111111111,0.72,0.6829268292682927,0.4912280701754385,0.5714285714285715,0.6933333333333334,0.9230769230769232,0.2105263157894736,0.3428571428571428
16,Llama3.1-8B,0.5133333333333333,0.3787878787878788,0.4385964912280701,0.4065040650406504,0.6466666666666666,0.5714285714285714,0.2807017543859649,0.3764705882352941,0.5466666666666666,0.4067796610169492,0.4210526315789473,0.4137931034482759,0.62,0.5,0.2807017543859649,0.3595505617977528
