PMID,QID,Question,Type,Category,Answer
40573423,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40573423,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40573423,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"Yes, the sequences from the paper were made publicly available."
40573423,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40573423,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,487 individuals had samples obtained for HIV sequencing.
40573423,6,From which countries were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained from South Korea.
40573423,7,From what years were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained between 2021 and 2024.
40573423,8,Were samples cloned prior to sequencing?,Boolean,Technical,"No, the samples were not cloned prior to sequencing."
40573423,9,Which HIV genes were reported to have been sequenced?,List,Technical,"The HIV genes that were reported to have been sequenced include env, gag, pol, protease, reverse transcriptase, and integrase."
40573423,10,What method was used for sequencing?,List,Technical,Sanger sequencing was used for sequencing.
40573423,11,What type of samples were sequenced?,List,Technical,The type of samples that were sequenced were plasma or serum.
40573423,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, some sequences were obtained from individuals with virological failure on a treatment regimen."
40573423,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
40573423,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
40573423,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,The drug classes that were received by individuals in the study before sample sequencing were INSTIs and NRTIs.
40573423,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"The drugs that were received by individuals in the study before sample sequencing were INSTIs and NRTIs, including DTG, RAL, EVG, BIC, CAB, and TDF."
40596906,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
40596906,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No.
40596906,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes.
40596906,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,PV526713-PV526742.
40596906,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,15.
40596906,6,From which countries were the sequenced samples obtained?,List,Demographics,Brazil.
40596906,7,From what years were the sequenced samples obtained?,List,Demographics,2007-2022.
40596906,8,Were samples cloned prior to sequencing?,Boolean,Technical,No.
40596906,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV pol region (protease/reverse transcriptase-PR/RT).
40596906,10,What method was used for sequencing?,List,Technical,ViroSeq Genotyping System.
40596906,11,What type of samples were sequenced?,List,Technical,Blood samples.
40596906,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes.
40596906,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No.
40596906,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
40596906,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NRTIs and protease inhibitors.
40596906,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"ZDV, 3TC, NVP, lopinavir/ritonavir, and efavirenz."
40713598,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40713598,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40713598,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40713598,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40713598,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,20
40713598,6,From which countries were the sequenced samples obtained?,List,Demographics,Ghana
40713598,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
40713598,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
40713598,9,Which HIV genes were reported to have been sequenced?,List,Technical,"HIV-1 pol gene, protease (PR), and reverse transcriptase (RT)"
40713598,10,What method was used for sequencing?,List,Technical,Next-generation sequencing (NGS)
40713598,11,What type of samples were sequenced?,List,Technical,Frozen plasma samples
40713598,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
40713598,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available
40713598,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40713598,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
40713598,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available
40763144,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40763144,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40763144,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the sequences from the paper were not made publicly available."
40763144,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40763144,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available.
40763144,6,From which countries were the sequenced samples obtained?,List,Demographics,Uganda.
40763144,7,From what years were the sequenced samples obtained?,List,Demographics,2021-2023.
40763144,8,Were samples cloned prior to sequencing?,Boolean,Technical,No.
40763144,9,Which HIV genes were reported to have been sequenced?,List,Technical,NNRTI genes.
40763144,10,What method was used for sequencing?,List,Technical,Sanger sequencing or Next generation sequencing.
40763144,11,What type of samples were sequenced?,List,Technical,Plasma or dried blood spot (DBS) samples.
40763144,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes.
40763144,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No.
40763144,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
40763144,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NNRTI.
40763144,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Efavirenz and nevirapine.
40779404,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
40779404,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
40779404,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
40779404,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
40779404,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,20
40779404,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
40779404,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
40779404,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
40779404,9,Which HIV genes were reported to have been sequenced?,List,Technical,"Protease (PR), Reverse Transcriptase (RT), and Integrase (IN)"
40779404,10,What method was used for sequencing?,List,Technical,Next-Generation Sequencing (NGS)
40779404,11,What type of samples were sequenced?,List,Technical,Whole blood samples
40779404,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No
40779404,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
40779404,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
40779404,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"TFV, INSTIs, NNRTIs, and PR inhibitors"
40779404,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"TFV, INSTIs, NNRTIs, and PR inhibitors"
40839365,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
40839365,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No.
40839365,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes.
40839365,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40839365,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,212.
40839365,6,From which countries were the sequenced samples obtained?,List,Demographics,Malawi.
40839365,7,From what years were the sequenced samples obtained?,List,Demographics,2022-2023.
40839365,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available.
40839365,9,Which HIV genes were reported to have been sequenced?,List,Technical,"Protease, reverse transcriptase, and integrase."
40839365,10,What method was used for sequencing?,List,Technical,Sanger sequencing.
40839365,11,What type of samples were sequenced?,List,Technical,Plasma.
40839365,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes.
40839365,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
40839365,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
40839365,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Antiretroviral therapy (ART).
40839365,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Dolutegravir.
40857111,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
40857111,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes.
40857111,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No.
40857111,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40857111,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,22.
40857111,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available.
40857111,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
40857111,8,Were samples cloned prior to sequencing?,Boolean,Technical,No.
40857111,9,Which HIV genes were reported to have been sequenced?,List,Technical,"Protease (PR), reverse transcriptase (RT), and integrase (IN) genes."
40857111,10,What method was used for sequencing?,List,Technical,Not available.
40857111,11,What type of samples were sequenced?,List,Technical,Not available.
40857111,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes.
40857111,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes.
40857111,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
40857111,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"Nucleoside/nucleotide reverse transcriptase inhibitors (NRTIs), non-nucleoside reverse transcriptase inhibitors (NNRTIs), and integrase strand transfer inhibitors (INSTIs)."
40857111,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Bictegravir (BIC), dolutegravir (DTG), emtricitabine (FTC), tenofovir alafenamide (TAF), and tenofovir disoproxil fumarate (TDF)."
40872801,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40872801,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40872801,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"Yes, sequences from the paper may be made publicly available."
40872801,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40872801,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,9685 individuals had samples obtained for HIV sequencing.
40872801,6,From which countries were the sequenced samples obtained?,List,Demographics,Tanzania.
40872801,7,From what years were the sequenced samples obtained?,List,Demographics,2004-2024.
40872801,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available.
40872801,9,Which HIV genes were reported to have been sequenced?,List,Technical,"HIV-1 subtypes, including subtype C, subtypes A1 and D, CRFs, and URFs."
40872801,10,What method was used for sequencing?,List,Technical,Not available.
40872801,11,What type of samples were sequenced?,List,Technical,HIV patient samples.
40872801,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes.
40872801,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not available.
40872801,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
40872801,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, including 3TC, FTC, AZT, and TDF."
40872801,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"3TC, FTC, AZT, d4T, and TDF."
40938120,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
40938120,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No.
40938120,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes.
40938120,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,PX133190-PX134237.
40938120,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,"1,260."
40938120,6,From which countries were the sequenced samples obtained?,List,Demographics,China.
40938120,7,From what years were the sequenced samples obtained?,List,Demographics,2019-2022.
40938120,8,Were samples cloned prior to sequencing?,Boolean,Technical,No.
40938120,9,Which HIV genes were reported to have been sequenced?,List,Technical,The pol gene.
40938120,10,What method was used for sequencing?,List,Technical,Sanger sequencing.
40938120,11,What type of samples were sequenced?,List,Technical,Plasma.
40938120,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No.
40938120,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No.
40938120,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No.
40938120,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not specified.
40938120,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not specified.
40938996,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"No, the paper does not report HIV sequences from patient samples."
40938996,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40938996,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the passage does not explicitly state that the sequences were made publicly available."
40938996,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,No GenBank accession numbers for sequenced HIV isolates were provided.
40938996,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,The passage does not provide a specific number of individuals.
40938996,6,From which countries were the sequenced samples obtained?,List,Demographics,The passage does not provide information about the countries where the sequenced samples were obtained.
40938996,7,From what years were the sequenced samples obtained?,List,Demographics,No information about the years when the sequenced samples were obtained was provided.
40938996,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
40938996,9,Which HIV genes were reported to have been sequenced?,List,Technical,The HIV genes that were reported to have been sequenced include the NC gene and the IN gene.
40938996,10,What method was used for sequencing?,List,Technical,"The method used for sequencing was not explicitly stated, but it appears to have involved the use of Seqtk."
40938996,11,What type of samples were sequenced?,List,Technical,The type of samples that were sequenced were HIV-1 clones.
40938996,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,"Yes, the sequences were obtained from individuals with virological failure on a treatment regimen."
40938996,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No information about whether the patients in the study were in a clinical trial was provided.
40938996,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
40938996,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,No information about which drug classes were received by individuals in the study before sample sequencing was provided.
40938996,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,The passage does not provide information about which drugs were received by individuals in the study before sample sequencing.
40965168,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40965168,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40965168,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the sequences from the paper were not made publicly available."
40965168,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available.
40965168,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,24 individuals.
40965168,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available.
40965168,7,From what years were the sequenced samples obtained?,List,Demographics,Not available.
40965168,8,Were samples cloned prior to sequencing?,Boolean,Technical,"Yes, the samples were cloned prior to sequencing."
40965168,9,Which HIV genes were reported to have been sequenced?,List,Technical,The gag and protease genes.
40965168,10,What method was used for sequencing?,List,Technical,Next-generation sequencing or Sanger sequencing.
40965168,11,What type of samples were sequenced?,List,Technical,Plasma samples.
40965168,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available.
40965168,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"Yes, the patients were in a clinical trial."
40965168,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not available.
40965168,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
40965168,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not available.
40974886,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,"Yes, the paper reports HIV sequences from patient samples."
40974886,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,"Yes, the paper reports in vitro drug susceptibility data."
40974886,3,Were sequences from the paper made publicly available?,Boolean,Data availability,"No, the sequences from the paper were not made publicly available."
40974886,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,No GenBank accession numbers were provided for sequenced HIV isolates.
40974886,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,70 individuals had samples obtained for HIV sequencing.
40974886,6,From which countries were the sequenced samples obtained?,List,Demographics,No information is available about the countries where the sequenced samples were obtained.
40974886,7,From what years were the sequenced samples obtained?,List,Demographics,The sequenced samples were obtained from 2016 to 2019.
40974886,8,Were samples cloned prior to sequencing?,Boolean,Technical,No information is available about whether samples were cloned prior to sequencing.
40974886,9,Which HIV genes were reported to have been sequenced?,List,Technical,"The HIV genes PR, RT, and IN were reported to have been sequenced."
40974886,10,What method was used for sequencing?,List,Technical,No information is available about the sequencing method used.
40974886,11,What type of samples were sequenced?,List,Technical,Whole blood samples were sequenced.
40974886,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No information is available about whether sequences were obtained from individuals with virological failure on a treatment regimen.
40974886,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,"Yes, the patients in the study were in a clinical trial."
40974886,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,"Yes, the paper reports HIV sequences from individuals who had previously received ARV drugs."
40974886,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"The individuals in the study had previously received various drug classes, including INSTI-containing regimens."
40974886,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"The individuals in the study had previously received B/F/TAF or comparator regimens, including INSTI-containing regimens."
41004608,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes.
41004608,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes.
41004608,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No clear answer can be provided based on the given evidence.
41004608,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,No answer can be provided based on the given evidence.
41004608,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1182.
41004608,6,From which countries were the sequenced samples obtained?,List,Demographics,The UK.
41004608,7,From what years were the sequenced samples obtained?,List,Demographics,2015-2021.
41004608,8,Were samples cloned prior to sequencing?,Boolean,Technical,No answer can be provided based on the given evidence.
41004608,9,Which HIV genes were reported to have been sequenced?,List,Technical,"3'PPT, Env, and NC."
41004608,10,What method was used for sequencing?,List,Technical,Sequence capture method and Genomancer.
41004608,11,What type of samples were sequenced?,List,Technical,HIV-positive samples.
41004608,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No.
41004608,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No clear answer can be provided based on the given evidence.
41004608,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes.
41004608,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,INSTI-based regimen.
41004608,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,INSTIs.
